symbol,displayName,displayNameEn,positionOpenType,baseCoin,quoteCoin,baseCoinName,quoteCoinName,futureType,settleCoin,contractSize,minLeverage,maxLeverage,countryConfigContractMaxLeverage,priceScale,volScale,amountScale,priceUnit,volUnit,minVol,maxVol,bidLimitPriceRate,askLimitPriceRate,takerFeeRate,makerFeeRate,maintenanceMarginRate,initialMarginRate,riskBaseVol,riskIncrVol,riskLongShortSwitch,riskIncrMmr,riskIncrImr,riskLevelLimit,priceCoefficientVariation,indexOrigin,state,isNew,isHot,isHidden,conceptPlate,conceptPlateId,riskLimitType,maxNumOrders,marketOrderMaxLevel,marketOrderPriceLimitRate1,marketOrderPriceLimitRate2,triggerProtect,appraisal,showAppraisalCountdown,automaticDelivery,apiAllowed,depthStepList,limitMaxVol,threshold,baseCoinIconUrl,id,vid,baseCoinId,createTime,openingTime,openingCountdownOption,showBeforeOpen,isMaxLeverage,isZeroFeeRate,riskLimitMode,isZeroFeeSymbol,riskLimitCustom,deliveryTime,deliveryPriceTrend
1000BONK_USDT,1000BONK_USDT永续,1000BONK_USDT PERPETUAL,3,1000BONK,USDT,1000BONK,USDT,1,USDT,10000.0,1,125,0,6,0,4,1e-06,1,1,7000,0.2,0.2,0.0,0,0.004,0.008,7000,7000,0,0.056,0.092,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'HTX', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-MEME']","[45, 29]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.000001', '0.00001']",7000,0,https://public.mocortech.com/coin/F20230701183339957f6FILkmD4OXkNx.png,388,128f589271cb4951b03e71e6323eb7be,,1682234025000,0,1,True,False,True,INCREASE,True,,,
1INCH_USDT,1INCH_USDT永续,1INCH_USDT PERPETUAL,3,1INCH,USDT,1INCH,USDT,1,USDT,1.0,1,200,0,4,0,4,0.0001,1,1,770000,0.2,0.2,0.0,0,0.004,0.005,770000,770000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'OKX', 'MEXC']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001', '0.01']",770000,0,https://public.mocortech.com/coin/F20210423145109842epcoefNYmlEV5b.png,79,128f589271cb4951b03e71e6323eb7be,94bdc6c5ad054d79b5f0962a44e513fc,1608891389000,0,1,True,False,True,INCREASE,True,,,
AAVE_USDT,AAVE_USDT永续,AAVE_USDT PERPETUAL,3,AAVE,USDT,AAVE,USDT,1,USDT,0.01,1,200,0,2,0,4,0.01,1,1,750000,0.2,0.2,0.0,0,0.004,0.005,750000,750000,0,0.056,0.095,1,0.2,"['BITGET', 'BINANCE', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.01', '0.1', '1']",750000,0,https://public.mocortech.com/coin/F20210517144223460epQP5CDTW9Y2kc.png,62,128f589271cb4951b03e71e6323eb7be,be5984068aa142c89100831e7bc34e27,1602819218000,0,1,True,False,True,INCREASE,True,,,
ADA_USDT,ADA_USDT永续,ADA_USDT PERPETUAL,3,ADA,USDT,ADA,USDT,1,USDT,1.0,1,200,0,4,0,4,0.0001,1,1,2800000,0.1,0.1,0.0,0,0.004,0.005,2800000,2800000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001', '0.01']",2800000,0,https://public.mocortech.com/coin/F20210422152002914k5dNIzkG3B2JdR.png,27,128f589271cb4951b03e71e6323eb7be,2e42b66d3b774954b26146f7f2055b5c,1594213380000,0,1,True,False,True,INCREASE,True,,,
AI16Z_USDT,AI16Z_USDT永续,AI16Z_USDT PERPETUAL,3,AI16Z,USDT,AI16Z,USDT,1,USDT,1.0,1,100,0,4,0,4,0.0001,1,1,220000,0.2,0.2,0.0,0,0.005,0.01,220000,220000,0,0.055,0.09,1,0.2,['MEXC'],0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001']",220000,0,https://public.mocortech.com/coin/F20241213105408673SgUMMDJygb1fjK.jpeg,886,128f589271cb4951b03e71e6323eb7be,2b8470c517fa48698da99f2dae11896d,1734580041000,1734581520000,1,False,False,True,INCREASE,True,,,
AIXBT_USDT,AIXBT_USDT永续,AIXBT_USDT PERPETUAL,3,AIXBT,USDT,AIXBT,USDT,1,USDT,10.0,1,100,0,5,0,4,1e-05,1,1,140000,0.2,0.2,0.0,0,0.005,0.01,140000,140000,0,0.005,0.005,1,0.2,"['BITGET', 'HTX', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.00001', '0.0001']",140000,0,https://public.mocortech.com/coin/F20241203193955823vJ2ZXXE5Jge6uE.png,842,128f589271cb4951b03e71e6323eb7be,9b8d4c617855489bae1c9ab0ecae3f05,1733226467000,1733227260000,1,True,False,True,INCREASE,True,,,
ALGO_USDT,ALGO_USDT永续,ALGO_USDT PERPETUAL,3,ALGO,USDT,ALGO,USDT,1,USDT,1.0,1,200,0,4,0,4,0.0001,1,1,4000000,0.1,0.1,0.0,0,0.004,0.005,4000000,4000000,0,0.056,0.095,1,0.2,"['BYBIT', 'BINANCE', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-0fees'],[45],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001', '0.01']",4000000,0,https://public.mocortech.com/coin/F202105170951325992bZ85aCtfi7jra.png,30,128f589271cb4951b03e71e6323eb7be,4b8b1f5af3fa4c2f997df7f2f571ec2f,1595473052000,0,1,True,False,True,INCREASE,True,,,
APE_USDT,APE_USDT永续,APE_USDT PERPETUAL,3,APE,USDT,APE,USDT,1,USDT,1.0,1,200,0,4,0,4,0.0001,1,1,2000000,0.2,0.2,0.0,0,0.004,0.005,2000000,2000000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-metaverse', 'mc-trade-zone-nft']","[45, 18, 3]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001', '0.01']",2000000,0,https://public.mocortech.com/coin/F20230701181430775JpWi86Wramj9K2.png,244,128f589271cb4951b03e71e6323eb7be,65673ac641494838b7d83eca1af5311d,1647530224000,0,1,True,False,True,INCREASE,True,,,
ARB_USDT,ARB_USDT永续,ARB_USDT PERPETUAL,3,ARB,USDT,ARB,USDT,1,USDT,1.0,1,200,0,4,0,4,0.0001,1,1,2200000,0.2,0.2,0.0,0,0.004,0.005,2200000,2200000,0,0.056,0.095,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,['mc-trade-zone-Arbitrum'],[24],BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.0001', '0.001']",2200000,0,https://public.mocortech.com/coin/F20250226183511539vySwkQrG3PPOoF.jpg,342,128f589271cb4951b03e71e6323eb7be,4be902988b78471ea7c69c3123ce6c81,1679578751000,0,1,True,False,True,INCREASE,True,,,
AR_USDT,AR_USDT永续,AR_USDT PERPETUAL,3,AR,USDT,AR,USDT,1,USDT,0.1,1,75,0,3,0,4,0.001,1,1,330000,0.2,0.2,0.0,0,0.007,0.0133,330000,330000,0,0.053,0.0866,1,0.2,"['BITGET', 'BYBIT', 'BINANCE', 'HTX', 'OKX', 'MEXC', 'KUCOIN']",0,False,False,False,"['mc-trade-zone-0fees', 'mc-trade-zone-SOL', 'mc-trade-zone-web3']","[45, 37, 19]",BY_VOLUME,"[200, 50]",20,0.2,0.005,0.1,0,0,0,False,"['0.001', '0.01', '0.1']",330000,0,https://public.mocortech.com/coin/F202104191447299543HkQSMlQWo4dzr.png,167,128f589271cb4951b03e71e6323eb7be,08be0b53572c44b5a2ad9df962a9d36e,1635912011000,0,1,True,False,True,INCREASE,True,,,
