time,open,close,high,low
1741492800,195.74,195.44,195.74,195.44
1741492860,195.44,194.84,195.6,194.83
1741492920,194.84,194.58,194.97,194.51
1741492980,194.58,194.43,194.63,194.41
1741493040,194.43,194.59,194.62,194.35
1741493100,194.59,194.85,194.85,194.59
1741493160,194.85,194.86,194.91,194.71
1741493220,194.86,195.12,195.13,194.83
1741493280,195.12,194.81,195.21,194.77
1741493340,194.81,194.75,194.83,194.55
1741493400,194.75,194.91,194.91,194.75
1741493460,194.91,195.2,195.21,194.91
1741493520,195.2,195.15,195.26,195.06
1741493580,195.15,194.89,195.36,194.87
1741493640,194.89,194.91,194.95,194.86
1741493700,194.91,195.19,195.28,194.91
1741493760,195.19,195.69,195.69,195.19
1741493820,195.69,195.89,196.01,195.65
1741493880,195.89,195.5,195.89,195.5
1741493940,195.5,195.46,195.59,195.43
1741494000,195.46,195.32,195.48,195.31
1741494060,195.32,195.5,195.61,195.32
1741494120,195.5,195.38,195.73,195.34
1741494180,195.38,195.57,195.8,195.38
1741494240,195.57,195.55,195.62,195.48
1741494300,195.55,195.75,195.82,195.55
1741494360,195.75,195.29,195.75,195.28
1741494420,195.29,195.62,195.62,195.28
1741494480,195.62,195.63,195.68,195.55
1741494540,195.63,195.77,195.78,195.63
1741494600,195.77,195.81,196.12,195.76
1741494660,195.81,195.95,195.95,195.73
1741494720,195.95,195.88,195.99,195.84
1741494780,195.88,195.82,195.92,195.82
1741494840,195.82,196.32,196.38,195.79
1741494900,196.32,196.06,196.32,196.06
1741494960,196.06,196.02,196.19,195.9
1741495020,196.02,195.91,196.05,195.91
1741495080,195.91,196.22,196.25,195.86
1741495140,196.22,196.36,196.55,196.22
1741495200,196.36,196.22,196.37,196.22
1741495260,196.22,196.36,196.37,196.22
1741495320,196.36,196.37,196.39,196.28
1741495380,196.37,196.14,196.37,196.14
1741495440,196.14,196.47,196.51,196.09
1741495500,196.47,196.35,196.59,196.35
1741495560,196.35,196.12,196.35,196.04
1741495620,196.12,196.32,196.4,196.09
1741495680,196.32,196.3,196.4,196.24
1741495740,196.3,196.34,196.46,196.24
1741495800,196.34,196.26,196.35,196.21
1741495860,196.26,196.33,196.39,196.26
1741495920,196.33,195.87,196.33,195.83
1741495980,195.87,195.97,195.97,195.87
1741496040,195.97,195.76,195.97,195.76
1741496100,195.76,195.79,195.86,195.64
1741496160,195.79,195.98,196.05,195.78
1741496220,195.98,196.04,196.05,195.9
1741496280,196.04,195.89,196.04,195.89
1741496340,195.89,195.91,195.96,195.83
1741496400,195.91,195.78,195.93,195.77
1741496460,195.78,195.92,196.05,195.78
1741496520,195.92,196.08,196.09,195.92
1741496580,196.08,196.36,196.44,196.05
1741496640,196.36,196.84,196.84,196.36
1741496700,196.84,196.93,197.1,196.82
1741496760,196.93,196.89,196.93,196.8
1741496820,196.89,196.8,196.95,196.8
1741496880,196.8,196.83,196.95,196.76
1741496940,196.83,196.7,196.83,196.7
1741497000,196.7,196.04,196.7,196.04
1741497060,196.04,195.96,196.17,195.87
1741497120,195.96,195.96,196.15,195.89
1741497180,195.96,196.05,196.17,195.96
1741497240,196.05,196.52,196.52,196.05
1741497300,196.52,196.56,196.69,196.42
1741497360,196.56,196.65,196.7,196.47
1741497420,196.65,196.61,196.72,196.41
1741497480,196.61,196.69,196.78,196.61
1741497540,196.69,196.99,197.14,196.69
1741497600,196.99,197.25,197.25,196.98
1741497660,197.25,197.27,197.31,197.12
1741497720,197.27,197.02,197.36,197.02
