time,open,close,high,low
1741478400,0.8046,0.8028,0.8046,0.8025
1741478460,0.8028,0.8026,0.804,0.8026
1741478520,0.8026,0.8004,0.8026,0.8003
1741478580,0.8004,0.8011,0.8011,0.7989
1741478640,0.8011,0.8024,0.8026,0.8009
1741478700,0.8024,0.8034,0.8034,0.8023
1741478760,0.8034,0.8043,0.8043,0.8028
1741478820,0.8043,0.8066,0.807,0.804
1741478880,0.8066,0.8059,0.8072,0.8057
1741478940,0.8059,0.8073,0.8076,0.8059
1741479000,0.8073,0.8068,0.8081,0.8066
1741479060,0.8068,0.807,0.8081,0.8065
1741479120,0.807,0.8083,0.8083,0.8061
1741479180,0.8083,0.8068,0.8086,0.8065
1741479240,0.8068,0.8079,0.808,0.8064
1741479300,0.8079,0.8082,0.8084,0.8075
1741479360,0.8082,0.8096,0.8096,0.8079
1741479420,0.8096,0.809,0.8097,0.8081
1741479480,0.809,0.8085,0.8095,0.8077
1741479540,0.8085,0.8081,0.8093,0.8077
1741479600,0.8081,0.8092,0.8094,0.8081
1741479660,0.8092,0.8085,0.8094,0.808
1741479720,0.8085,0.8099,0.8101,0.8085
1741479780,0.8099,0.8122,0.8127,0.8098
1741479840,0.8122,0.8118,0.8131,0.8114
1741479900,0.8118,0.8121,0.8127,0.8117
1741479960,0.8121,0.8139,0.8139,0.8112
1741480020,0.8139,0.8157,0.8161,0.8138
1741480080,0.8157,0.816,0.816,0.8137
1741480140,0.816,0.8142,0.816,0.8137
1741480200,0.8142,0.8151,0.8151,0.814
1741480260,0.8151,0.8162,0.8164,0.8146
1741480320,0.8162,0.8157,0.8162,0.8149
1741480380,0.8157,0.8158,0.8162,0.815
1741480440,0.8158,0.8125,0.8159,0.8123
1741480500,0.8125,0.8122,0.8132,0.8117
1741480560,0.8122,0.8129,0.8129,0.8122
1741480620,0.8129,0.8122,0.8129,0.8114
1741480680,0.8122,0.8131,0.8134,0.8117
1741480740,0.8131,0.8124,0.8133,0.8122
1741480800,0.8124,0.8115,0.8126,0.8111
1741480860,0.8115,0.8117,0.8124,0.8115
1741480920,0.8117,0.8121,0.8124,0.811
1741480980,0.8121,0.8117,0.8126,0.8114
1741481040,0.8117,0.8105,0.8117,0.8098
1741481100,0.8105,0.8112,0.8113,0.8104
1741481160,0.8112,0.8118,0.8122,0.8108
1741481220,0.8118,0.8122,0.8123,0.8111
1741481280,0.8122,0.812,0.813,0.812
1741481340,0.812,0.8126,0.8129,0.812
1741481400,0.8126,0.8117,0.8128,0.8117
1741481460,0.8117,0.8116,0.8122,0.811
1741481520,0.8116,0.8116,0.8117,0.8108
1741481580,0.8116,0.8102,0.8116,0.81
1741481640,0.8102,0.8108,0.8109,0.8102
1741481700,0.8108,0.8109,0.8111,0.8106
1741481760,0.8109,0.8113,0.8117,0.8109
1741481820,0.8113,0.8122,0.8124,0.8113
1741481880,0.8122,0.811,0.8122,0.811
1741481940,0.811,0.8117,0.812,0.8109
1741482000,0.8117,0.8131,0.8133,0.8117
1741482060,0.8131,0.8151,0.8155,0.8131
1741482120,0.8151,0.8137,0.8151,0.8137
1741482180,0.8137,0.8132,0.814,0.8129
1741482240,0.8132,0.814,0.8142,0.813
1741482300,0.814,0.8152,0.8153,0.8139
1741482360,0.8152,0.8165,0.8166,0.8152
1741482420,0.8165,0.8137,0.8165,0.8137
1741482480,0.8137,0.814,0.8144,0.8129
1741482540,0.814,0.8146,0.8148,0.8136
1741482600,0.8146,0.8149,0.8151,0.8145
1741482660,0.8149,0.8132,0.8151,0.8132
1741482720,0.8132,0.8129,0.8133,0.8125
1741482780,0.8129,0.8136,0.814,0.8127
1741482840,0.8136,0.8148,0.8152,0.8135
1741482900,0.8148,0.815,0.8156,0.8146
1741482960,0.815,0.8145,0.8153,0.8142
1741483020,0.8145,0.8131,0.8145,0.813
1741483080,0.8131,0.8137,0.814,0.8126
1741483140,0.8137,0.8126,0.814,0.8125
1741483200,0.8126,0.8122,0.8129,0.8121
1741483260,0.8122,0.8116,0.8126,0.8112
1741483320,0.8116,0.8119,0.8119,0.811
1741483380,0.8119,0.813,0.8132,0.8116
1741483440,0.813,0.8124,0.8134,0.8122
1741483500,0.8124,0.8125,0.8137,0.8123
1741483560,0.8125,0.8117,0.813,0.8117
1741483620,0.8117,0.8124,0.8127,0.8117
1741483680,0.8124,0.8116,0.8124,0.8112
1741483740,0.8116,0.8113,0.8116,0.8113
1741483800,0.8113,0.811,0.8116,0.8109
1741483860,0.811,0.8102,0.8111,0.81
1741483920,0.8102,0.8113,0.8116,0.8096
1741483980,0.8113,0.8121,0.8127,0.8113
1741484040,0.8121,0.8108,0.8121,0.8108
1741484100,0.8108,0.8101,0.8115,0.81
1741484160,0.8101,0.8089,0.8104,0.8085
1741484220,0.8089,0.81,0.81,0.8086
1741484280,0.81,0.8102,0.811,0.8099
1741484340,0.8102,0.8084,0.8102,0.8083
1741484400,0.8084,0.8082,0.809,0.8078
1741484460,0.8082,0.8089,0.8091,0.8082
1741484520,0.8089,0.8094,0.8101,0.8089
1741484580,0.8094,0.8099,0.81,0.8092
1741484640,0.8099,0.8102,0.8103,0.8099
1741484700,0.8102,0.8096,0.8107,0.8091
1741484760,0.8096,0.81,0.811,0.8096
1741484820,0.81,0.8105,0.8105,0.8092
1741484880,0.8105,0.8089,0.8105,0.8087
1741484940,0.8089,0.8084,0.8089,0.8083
1741485000,0.8084,0.8071,0.8084,0.8067
1741485060,0.8071,0.806,0.8076,0.8055
1741485120,0.806,0.8055,0.8063,0.8054
1741485180,0.8055,0.8046,0.8057,0.8045
1741485240,0.8046,0.805,0.8053,0.8042
1741485300,0.805,0.8047,0.8057,0.8046
1741485360,0.8047,0.8048,0.8055,0.804
1741485420,0.8048,0.8043,0.8051,0.8036
1741485480,0.8043,0.805,0.8057,0.8043
1741485540,0.805,0.8042,0.8051,0.8038
1741485600,0.8042,0.8049,0.8053,0.8037
1741485660,0.8049,0.8062,0.8063,0.8044
1741485720,0.8062,0.8045,0.8062,0.8045
1741485780,0.8045,0.807,0.8071,0.8043
1741485840,0.807,0.8064,0.807,0.8057
1741485900,0.8064,0.805,0.8066,0.805
1741485960,0.805,0.804,0.805,0.8039
1741486020,0.804,0.8036,0.8042,0.8035
1741486080,0.8036,0.8044,0.8049,0.8035
1741486140,0.8044,0.8024,0.8046,0.8023
1741486200,0.8024,0.8026,0.8036,0.8023
1741486260,0.8026,0.8016,0.8029,0.8016
1741486320,0.8016,0.802,0.8028,0.8014
1741486380,0.802,0.8039,0.8039,0.8017
1741486440,0.8039,0.8035,0.8039,0.8024
1741486500,0.8035,0.8023,0.8037,0.8021
1741486560,0.8023,0.8025,0.8025,0.8018
1741486620,0.8025,0.8046,0.8046,0.8024
1741486680,0.8046,0.8055,0.806,0.8044
1741486740,0.8055,0.8047,0.8058,0.8046
1741486800,0.8047,0.804,0.8051,0.8036
1741486860,0.804,0.8036,0.804,0.8023
1741486920,0.8036,0.8028,0.8038,0.8028
1741486980,0.8028,0.8025,0.803,0.8022
1741487040,0.8025,0.8012,0.8025,0.8011
1741487100,0.8012,0.8014,0.8022,0.8012
1741487160,0.8014,0.8017,0.8022,0.8012
1741487220,0.8017,0.8022,0.8022,0.8014
1741487280,0.8022,0.8034,0.8038,0.802
1741487340,0.8034,0.8032,0.8037,0.8027
1741487400,0.8032,0.8018,0.8032,0.8014
1741487460,0.8018,0.8008,0.8018,0.8007
