time,open,high,low,close
1740700800,8.505,8.511,8.491,8.493
1740700860,8.493,8.51,8.482,8.483
1740700920,8.483,8.499,8.475,8.493
1740700980,8.493,8.493,8.477,8.486
1740701040,8.486,8.504,8.484,8.496
1740701100,8.496,8.508,8.495,8.503
1740701160,8.503,8.508,8.479,8.48
1740701220,8.48,8.484,8.475,8.475
1740701280,8.475,8.493,8.475,8.485
1740701340,8.485,8.49,8.485,8.486
1740701400,8.486,8.486,8.466,8.466
1740701460,8.466,8.472,8.46,8.46
1740701520,8.46,8.468,8.451,8.468
1740701580,8.468,8.468,8.437,8.437
1740701640,8.437,8.439,8.432,8.437
1740701700,8.437,8.441,8.433,8.433
1740701760,8.433,8.447,8.433,8.444
1740701820,8.444,8.444,8.349,8.349
1740701880,8.349,8.378,8.349,8.367
1740701940,8.367,8.38,8.367,8.377
1740702000,8.377,8.382,8.377,8.381
1740702060,8.381,8.385,8.371,8.375
1740702120,8.375,8.375,8.353,8.364
1740702180,8.364,8.37,8.361,8.365
1740702240,8.365,8.374,8.365,8.373
1740702300,8.373,8.373,8.363,8.366
1740702360,8.366,8.367,8.348,8.351
1740702420,8.351,8.356,8.329,8.329
1740702480,8.329,8.337,8.329,8.33
1740702540,8.33,8.33,8.323,8.323
1740702600,8.323,8.334,8.32,8.32
1740702660,8.32,8.329,8.32,8.324
1740702720,8.324,8.343,8.324,8.342
1740702780,8.342,8.345,8.327,8.327
1740702840,8.327,8.347,8.327,8.347
1740702900,8.347,8.347,8.337,8.342
1740702960,8.342,8.342,8.335,8.342
1740703020,8.342,8.349,8.342,8.349
1740703080,8.349,8.35,8.341,8.341
1740703140,8.341,8.35,8.341,8.35
1740703200,8.35,8.35,8.341,8.341
1740703260,8.341,8.341,8.311,8.33
1740703320,8.33,8.33,8.322,8.323
1740703380,8.323,8.329,8.323,8.329
1740703440,8.329,8.329,8.315,8.315
1740703500,8.315,8.321,8.3,8.302
1740703560,8.302,8.306,8.286,8.286
1740703620,8.286,8.295,8.282,8.293
1740703680,8.293,8.293,8.266,8.266
1740703740,8.266,8.272,8.259,8.265
1740703800,8.265,8.279,8.265,8.279
1740703860,8.279,8.279,8.262,8.273
1740703920,8.273,8.273,8.259,8.263
1740703980,8.263,8.27,8.258,8.27
1740704040,8.27,8.272,8.266,8.27
1740704100,8.27,8.277,8.268,8.273
1740704160,8.273,8.277,8.272,8.272
1740704220,8.272,8.282,8.271,8.271
1740704280,8.271,8.284,8.27,8.273
1740704340,8.273,8.273,8.261,8.261
1740704400,8.261,8.269,8.253,8.269
1740704460,8.269,8.277,8.259,8.277
1740704520,8.277,8.288,8.277,8.279
1740704580,8.279,8.284,8.275,8.281
1740704640,8.281,8.289,8.276,8.286
1740704700,8.286,8.286,8.266,8.271
1740704760,8.271,8.272,8.255,8.26
1740704820,8.26,8.266,8.259,8.264
1740704880,8.264,8.266,8.257,8.266
1740704940,8.266,8.276,8.263,8.276
1740705000,8.276,8.282,8.276,8.282
1740705060,8.282,8.292,8.279,8.279
1740705120,8.279,8.291,8.279,8.291
1740705180,8.291,8.297,8.286,8.297
1740705240,8.297,8.305,8.297,8.3
1740705300,8.3,8.306,8.295,8.296
1740705360,8.296,8.296,8.261,8.265
1740705420,8.265,8.279,8.264,8.27
1740705480,8.27,8.277,8.267,8.267
1740705540,8.267,8.267,8.243,8.254
1740705600,8.254,8.262,8.254,8.261
1740705660,8.261,8.273,8.255,8.255
1740705720,8.255,8.262,8.243,8.243
1740705780,8.243,8.243,8.21,8.222
1740705840,8.222,8.231,8.217,8.217
1740705900,8.217,8.217,8.181,8.193
1740705960,8.193,8.199,8.189,8.189
1740706020,8.189,8.189,8.158,8.16
1740706080,8.16,8.166,8.084,8.127
1740706140,8.127,8.141,8.123,8.131
1740706200,8.131,8.134,8.03,8.039
1740706260,8.039,8.068,8.018,8.053
1740706320,8.053,8.074,7.984,7.984
1740706380,7.984,8.011,7.871,7.91
1740706440,7.91,7.966,7.845,7.89
1740706500,7.89,7.974,7.89,7.949
1740706560,7.949,7.983,7.914,7.914
1740706620,7.914,7.952,7.903,7.937
1740706680,7.937,7.937,7.899,7.933
1740706740,7.933,7.968,7.933,7.938
1740706800,7.938,7.938,7.907,7.938
1740706860,7.938,7.938,7.906,7.924
1740706920,7.924,7.977,7.924,7.965
1740706980,7.965,7.965,7.939,7.959
1740707040,7.959,7.992,7.959,7.99
1740707100,7.99,8.003,7.983,7.993
1740707160,7.993,8.017,7.989,8.017
1740707220,8.017,8.022,7.997,7.997
1740707280,7.997,8.0,7.983,7.983
1740707340,7.983,7.988,7.958,7.958
1740707400,7.958,7.967,7.955,7.955
1740707460,7.955,7.957,7.941,7.948
1740707520,7.948,7.955,7.948,7.952
1740707580,7.952,7.952,7.915,7.915
1740707640,7.915,7.915,7.878,7.878
1740707700,7.878,7.893,7.874,7.888
1740707760,7.888,7.928,7.888,7.922
1740707820,7.922,7.936,7.915,7.931
1740707880,7.931,7.932,7.916,7.917
1740707940,7.917,7.917,7.897,7.9
1740708000,7.9,7.9,7.831,7.853
1740708060,7.853,7.857,7.808,7.825
1740708120,7.825,7.903,7.825,7.896
1740708180,7.896,7.943,7.896,7.931
1740708240,7.931,7.946,7.917,7.943
1740708300,7.943,7.989,7.941,7.989
1740708360,7.989,8.003,7.985,8.003
1740708420,8.003,8.003,7.982,7.989
1740708480,7.989,7.991,7.981,7.991
1740708540,7.991,7.994,7.982,7.987
1740708600,7.987,7.997,7.972,7.987
1740708660,7.987,7.999,7.979,7.987
1740708720,7.987,8.006,7.987,7.998
1740708780,7.998,8.003,7.991,8.0
1740708840,8.0,8.02,7.988,8.011
1740708900,8.011,8.024,8.011,8.019
1740708960,8.019,8.019,7.989,7.989
1740709020,7.989,7.996,7.976,7.995
1740709080,7.995,8.008,7.952,7.952
1740709140,7.952,7.952,7.934,7.934
1740709200,7.934,7.95,7.918,7.928
1740709260,7.928,7.947,7.923,7.943
1740709320,7.943,7.957,7.938,7.955
1740709380,7.955,7.972,7.955,7.97
1740709440,7.97,7.97,7.954,7.969
1740709500,7.969,7.969,7.948,7.96
1740709560,7.96,7.971,7.951,7.969
1740709620,7.969,7.977,7.961,7.97
1740709680,7.97,8.003,7.966,8.003
1740709740,8.003,8.022,7.998,8.004
1740709800,8.004,8.018,7.974,7.982
1740709860,7.982,7.983,7.906,7.906
1740709920,7.906,7.944,7.89,7.892
1740709980,7.892,7.899,7.84,7.844
1740710040,7.844,7.942,7.843,7.905
1740710100,7.905,7.957,7.905,7.92
1740710160,7.92,7.96,7.916,7.958
1740710220,7.958,7.958,7.921,7.925
1740710280,7.925,7.966,7.92,7.921
1740710340,7.921,7.926,7.884,7.904
1740710400,7.904,7.904,7.87,7.874
1740710460,7.874,7.908,7.874,7.906
1740710520,7.906,7.925,7.888,7.898
1740710580,7.898,7.91,7.875,7.88
1740710640,7.88,7.896,7.839,7.873
1740710700,7.873,7.95,7.873,7.907
1740710760,7.907,7.918,7.85,7.881
1740710820,7.881,7.928,7.881,7.902
1740710880,7.902,7.92,7.888,7.889
1740710940,7.889,7.891,7.86,7.866
1740711000,7.866,7.882,7.849,7.849
1740711060,7.849,7.849,7.799,7.84
1740711120,7.84,7.862,7.838,7.853
1740711180,7.853,7.879,7.845,7.865
1740711240,7.865,7.874,7.858,7.868
1740711300,7.868,7.906,7.859,7.906
1740711360,7.906,7.916,7.899,7.904
1740711420,7.904,7.941,7.904,7.934
1740711480,7.934,7.934,7.904,7.909
1740711540,7.909,7.911,7.885,7.885
1740711600,7.885,7.936,7.884,7.933
1740711660,7.933,7.933,7.909,7.91
1740711720,7.91,7.944,7.91,7.944
1740711780,7.944,7.958,7.925,7.955
1740711840,7.955,7.964,7.933,7.962
1740711900,7.962,7.985,7.955,7.985
1740711960,7.985,7.988,7.97,7.97
1740712020,7.97,7.988,7.956,7.988
1740712080,7.988,7.99,7.977,7.99
1740712140,7.99,7.991,7.953,7.961
1740712200,7.961,7.982,7.961,7.977
1740712260,7.977,7.984,7.968,7.983
1740712320,7.983,7.989,7.965,7.97
1740712380,7.97,7.976,7.961,7.972
1740712440,7.972,7.972,7.937,7.941
1740712500,7.941,7.942,7.919,7.934
1740712560,7.934,7.941,7.922,7.929
1740712620,7.929,7.945,7.922,7.941
1740712680,7.941,7.946,7.929,7.932
1740712740,7.932,7.932,7.919,7.931
1740712800,7.931,7.931,7.909,7.911
1740712860,7.911,7.911,7.874,7.88
1740712920,7.88,7.88,7.864,7.864
1740712980,7.864,7.888,7.864,7.882
1740713040,7.882,7.887,7.875,7.878
1740713100,7.878,7.895,7.878,7.883
1740713160,7.883,7.886,7.863,7.863
1740713220,7.863,7.886,7.863,7.883
1740713280,7.883,7.883,7.865,7.866
1740713340,7.866,7.866,7.853,7.853
1740713400,7.853,7.876,7.848,7.853
1740713460,7.853,7.864,7.85,7.854
1740713520,7.854,7.854,7.829,7.83
1740713580,7.83,7.83,7.799,7.803
1740713640,7.803,7.815,7.803,7.809
1740713700,7.809,7.827,7.793,7.826
1740713760,7.826,7.826,7.797,7.804
1740713820,7.804,7.814,7.804,7.813
1740713880,7.813,7.82,7.802,7.805
1740713940,7.805,7.812,7.793,7.794
1740714000,7.794,7.813,7.789,7.805
1740714060,7.805,7.816,7.799,7.802
1740714120,7.802,7.818,7.801,7.801
1740714180,7.801,7.835,7.801,7.835
1740714240,7.835,7.835,7.824,7.829
1740714300,7.829,7.829,7.807,7.812
1740714360,7.812,7.818,7.782,7.786
1740714420,7.786,7.786,7.74,7.754
1740714480,7.754,7.756,7.744,7.744
1740714540,7.744,7.756,7.725,7.729
1740714600,7.729,7.748,7.722,7.736
1740714660,7.736,7.739,7.726,7.732
1740714720,7.732,7.761,7.729,7.732
1740714780,7.732,7.746,7.689,7.698
1740714840,7.698,7.714,7.698,7.709
1740714900,7.709,7.727,7.709,7.727
1740714960,7.727,7.748,7.727,7.739
1740715020,7.739,7.743,7.73,7.73
1740715080,7.73,7.738,7.696,7.702
1740715140,7.702,7.721,7.702,7.721
1740715200,7.721,7.732,7.713,7.731
1740715260,7.731,7.733,7.67,7.67
1740715320,7.67,7.693,7.652,7.652
1740715380,7.652,7.689,7.652,7.682
1740715440,7.682,7.701,7.612,7.614
1740715500,7.614,7.675,7.614,7.675
1740715560,7.675,7.697,7.644,7.645
1740715620,7.645,7.669,7.637,7.656
1740715680,7.656,7.703,7.641,7.694
1740715740,7.694,7.697,7.66,7.662
1740715800,7.662,7.688,7.639,7.655
1740715860,7.655,7.665,7.634,7.639
1740715920,7.639,7.648,7.632,7.643
1740715980,7.643,7.65,7.637,7.648
1740716040,7.648,7.653,7.623,7.641
1740716100,7.641,7.703,7.638,7.697
1740716160,7.697,7.754,7.692,7.752
1740716220,7.752,7.752,7.728,7.732
1740716280,7.732,7.737,7.7,7.712
1740716340,7.712,7.732,7.71,7.72
1740716400,7.72,7.737,7.71,7.736
1740716460,7.736,7.768,7.732,7.768
1740716520,7.768,7.773,7.751,7.751
1740716580,7.751,7.767,7.749,7.754
1740716640,7.754,7.754,7.747,7.748
1740716700,7.748,7.749,7.729,7.749
1740716760,7.749,7.756,7.737,7.752
1740716820,7.752,7.752,7.734,7.741
1740716880,7.741,7.744,7.718,7.721
1740716940,7.721,7.727,7.718,7.719
1740717000,7.719,7.72,7.696,7.72
1740717060,7.72,7.729,7.698,7.71
1740717120,7.71,7.725,7.709,7.711
1740717180,7.711,7.711,7.656,7.658
1740717240,7.658,7.678,7.649,7.653
1740717300,7.653,7.654,7.594,7.609
1740717360,7.609,7.618,7.598,7.598
1740717420,7.598,7.627,7.598,7.609
1740717480,7.609,7.628,7.606,7.623
1740717540,7.623,7.646,7.623,7.634
1740717600,7.634,7.66,7.63,7.659
1740717660,7.659,7.676,7.65,7.676
1740717720,7.676,7.713,7.672,7.713
1740717780,7.713,7.722,7.702,7.714
1740717840,7.714,7.746,7.711,7.745
1740717900,7.745,7.785,7.739,7.785
1740717960,7.785,7.785,7.761,7.768
1740718020,7.768,7.786,7.768,7.769
1740718080,7.769,7.78,7.76,7.76
1740718140,7.76,7.771,7.752,7.756
1740718200,7.756,7.771,7.746,7.765
1740718260,7.765,7.765,7.725,7.737
1740718320,7.737,7.76,7.737,7.76
1740718380,7.76,7.78,7.751,7.769
1740718440,7.769,7.779,7.766,7.767
1740718500,7.767,7.772,7.753,7.753
