time,open,close,high,low
1741478400,20.482,20.482,20.491,20.47
1741478460,20.482,20.517,20.527,20.481
1741478520,20.517,20.445,20.517,20.439
1741478580,20.445,20.445,20.446,20.429
1741478640,20.445,20.478,20.48,20.445
1741478700,20.478,20.488,20.489,20.46
1741478760,20.488,20.495,20.496,20.481
1741478820,20.495,20.532,20.544,20.491
1741478880,20.532,20.538,20.551,20.526
1741478940,20.538,20.546,20.565,20.538
1741479000,20.546,20.531,20.557,20.531
1741479060,20.531,20.542,20.568,20.528
1741479120,20.542,20.547,20.567,20.535
1741479180,20.547,20.525,20.55,20.521
1741479240,20.525,20.535,20.54,20.519
1741479300,20.535,20.544,20.552,20.535
1741479360,20.544,20.565,20.565,20.539
1741479420,20.565,20.564,20.578,20.563
1741479480,20.564,20.553,20.575,20.537
1741479540,20.553,20.576,20.583,20.553
1741479600,20.576,20.599,20.599,20.576
1741479660,20.599,20.621,20.626,20.598
1741479720,20.621,20.616,20.622,20.598
1741479780,20.616,20.642,20.643,20.616
1741479840,20.642,20.626,20.655,20.619
1741479900,20.626,20.613,20.637,20.607
1741479960,20.613,20.634,20.634,20.601
1741480020,20.634,20.645,20.658,20.633
1741480080,20.645,20.661,20.661,20.643
1741480140,20.661,20.656,20.673,20.651
1741480200,20.656,20.647,20.664,20.643
1741480260,20.647,20.658,20.678,20.624
1741480320,20.658,20.655,20.67,20.654
1741480380,20.655,20.62,20.657,20.605
1741480440,20.62,20.602,20.621,20.593
1741480500,20.602,20.592,20.602,20.565
1741480560,20.592,20.607,20.61,20.592
1741480620,20.607,20.606,20.608,20.587
1741480680,20.606,20.605,20.615,20.604
1741480740,20.605,20.597,20.609,20.589
1741480800,20.597,20.586,20.601,20.578
1741480860,20.586,20.599,20.609,20.586
1741480920,20.599,20.6,20.609,20.596
1741480980,20.6,20.586,20.6,20.575
1741481040,20.586,20.542,20.586,20.542
1741481100,20.542,20.553,20.555,20.527
1741481160,20.553,20.574,20.577,20.549
1741481220,20.574,20.582,20.584,20.568
1741481280,20.582,20.57,20.595,20.57
1741481340,20.57,20.581,20.584,20.565
1741481400,20.581,20.559,20.586,20.558
1741481460,20.559,20.557,20.571,20.549
1741481520,20.557,20.559,20.559,20.543
1741481580,20.559,20.544,20.565,20.544
1741481640,20.544,20.551,20.551,20.54
1741481700,20.551,20.559,20.564,20.549
1741481760,20.559,20.567,20.573,20.559
1741481820,20.567,20.575,20.575,20.56
1741481880,20.575,20.557,20.581,20.557
1741481940,20.557,20.55,20.558,20.546
1741482000,20.55,20.587,20.589,20.55
1741482060,20.587,20.611,20.627,20.586
1741482120,20.611,20.599,20.612,20.597
1741482180,20.599,20.573,20.6,20.573
1741482240,20.573,20.613,20.613,20.571
1741482300,20.613,20.625,20.625,20.586
