time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.0621,0.0621,0.0621,0.062,124385.0,77181.057,0.062,0.0621,0.0621,0.062
1740700860,0.0621,0.0619,0.0622,0.0619,95.0,58.983,0.0622,0.0619,0.0622,0.0619
1740700920,0.0619,0.0619,0.062,0.0619,136.0,84.269,0.062,0.0619,0.062,0.0619
1740700980,0.0619,0.0619,0.0619,0.0617,100.0,61.81,0.0618,0.0619,0.0619,0.0617
1740701040,0.0619,0.0619,0.0619,0.0618,119.0,73.623,0.0619,0.0619,0.0619,0.0618
1740701100,0.0619,0.0617,0.0619,0.0617,85.0,52.486,0.0619,0.0617,0.0619,0.0617
1740701160,0.0617,0.0618,0.0619,0.0617,140.0,86.623,0.0618,0.0618,0.0619,0.0618
1740701220,0.0618,0.0619,0.0619,0.0618,328.0,202.751,0.0618,0.0619,0.0619,0.0618
1740701280,0.0619,0.0621,0.0621,0.0619,311.0,192.675,0.0619,0.0621,0.0621,0.0619
1740701340,0.0621,0.062,0.0621,0.062,112.0,69.505,0.0621,0.062,0.0621,0.062
1740701400,0.062,0.0619,0.062,0.0617,266.0,164.481,0.062,0.0619,0.062,0.0617
1740701460,0.0619,0.0619,0.0619,0.0618,65.0,40.223,0.0619,0.0619,0.0619,0.0618
1740701520,0.0619,0.0617,0.0619,0.0616,449.0,277.012,0.0618,0.0617,0.0618,0.0616
1740701580,0.0617,0.0616,0.0617,0.0615,1101.0,677.268,0.0617,0.0616,0.0617,0.0615
1740701640,0.0616,0.0615,0.0616,0.0613,5525.0,3389.351,0.0615,0.0615,0.0615,0.0613
1740701700,0.0615,0.0614,0.0615,0.0614,536.0,329.592,0.0615,0.0614,0.0615,0.0614
1740701760,0.0614,0.0614,0.0615,0.0613,1335.0,819.717,0.0613,0.0614,0.0615,0.0613
1740701820,0.0614,0.0615,0.0615,0.0614,123.0,75.625,0.0615,0.0615,0.0615,0.0614
1740701880,0.0615,0.0615,0.0616,0.0615,539.0,331.518,0.0615,0.0615,0.0616,0.0615
1740701940,0.0615,0.0616,0.0616,0.0615,93.0,57.227,0.0615,0.0616,0.0616,0.0615
1740702000,0.0616,0.0618,0.0618,0.0616,4513.0,2789.012,0.0618,0.0618,0.0618,0.0617
1740702060,0.0618,0.0617,0.0618,0.0617,12584.0,7772.496,0.0618,0.0617,0.0618,0.0617
1740702120,0.0617,0.0617,0.0618,0.0616,9850.0,6072.036,0.0618,0.0617,0.0618,0.0616
1740702180,0.0617,0.0617,0.0617,0.0617,1556.0,960.052,0.0617,0.0617,0.0617,0.0617
1740702240,0.0617,0.0616,0.0617,0.0616,111.0,68.376,0.0616,0.0616,0.0616,0.0616
1740702300,0.0616,0.0616,0.0616,0.0616,88.0,54.208,0.0616,0.0616,0.0616,0.0616
1740702360,0.0616,0.0615,0.0616,0.0615,17912.0,11015.944,0.0616,0.0615,0.0616,0.0615
1740702420,0.0615,0.0615,0.0616,0.0614,208.0,127.802,0.0616,0.0615,0.0616,0.0614
1740702480,0.0615,0.0615,0.0616,0.0615,1003.0,617.823,0.0616,0.0615,0.0616,0.0615
1740702540,0.0615,0.0616,0.0616,0.0615,14365.0,8848.802,0.0616,0.0616,0.0616,0.0615
1740702600,0.0616,0.0615,0.0616,0.0614,2612.0,1606.358,0.0615,0.0615,0.0616,0.0614
1740702660,0.0615,0.0616,0.0616,0.0614,213.0,131.019,0.0615,0.0616,0.0616,0.0614
1740702720,0.0616,0.0616,0.0617,0.0616,3421.0,2107.353,0.0616,0.0616,0.0617,0.0616
1740702780,0.0616,0.0614,0.0617,0.0614,94.0,57.828,0.0617,0.0614,0.0617,0.0614
1740702840,0.0614,0.0614,0.0615,0.0614,120.0,73.755,0.0615,0.0614,0.0615,0.0614
1740702900,0.0614,0.0614,0.0615,0.0613,14381.0,8829.961,0.0615,0.0614,0.0615,0.0613
1740702960,0.0614,0.0615,0.0615,0.0614,206.0,126.666,0.0614,0.0615,0.0615,0.0614
1740703020,0.0615,0.0615,0.0616,0.0614,535.0,329.037,0.0614,0.0615,0.0616,0.0614
1740703080,0.0615,0.0615,0.0616,0.0615,1362.0,838.97,0.0616,0.0615,0.0616,0.0615
1740703140,0.0615,0.0616,0.0616,0.0615,125.0,76.973,0.0616,0.0616,0.0616,0.0615
1740703200,0.0616,0.0614,0.0616,0.0614,126.0,77.384,0.0614,0.0614,0.0615,0.0614
1740703260,0.0614,0.0614,0.0614,0.0613,8858.0,5430.009,0.0614,0.0614,0.0614,0.0613
1740703320,0.0614,0.0613,0.0614,0.0613,156.0,95.751,0.0614,0.0613,0.0614,0.0613
1740703380,0.0613,0.0615,0.0615,0.0613,123.0,75.54,0.0614,0.0615,0.0615,0.0614
1740703440,0.0615,0.0615,0.0615,0.0615,110.0,67.65,0.0615,0.0615,0.0615,0.0615
1740703500,0.0615,0.0613,0.0615,0.0613,3845.0,2360.825,0.0614,0.0613,0.0615,0.0613
1740703560,0.0613,0.0614,0.0614,0.0613,116.0,71.224,0.0614,0.0614,0.0614,0.0614
1740703620,0.0614,0.0613,0.0614,0.0612,130.0,79.633,0.0612,0.0613,0.0613,0.0612
1740703680,0.0613,0.0612,0.0613,0.0612,125.0,76.562,0.0613,0.0612,0.0613,0.0612
1740703740,0.0612,0.0611,0.0612,0.0611,1641.0,1002.691,0.0612,0.0611,0.0612,0.0611
