time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.001869,0.001867,0.001872,0.001867,26.0,48.607,0.00187,0.001867,0.001872,0.001867
1740700860,0.001867,0.001865,0.001869,0.001865,141.0,263.138,0.001868,0.001865,0.001869,0.001865
1740700920,0.001865,0.001875,0.001876,0.001865,43.0,80.532,0.00187,0.001875,0.001876,0.00187
1740700980,0.001875,0.001872,0.001875,0.00187,33.0,61.784,0.001873,0.001872,0.001874,0.00187
1740701040,0.001872,0.001871,0.001873,0.00187,26.0,48.656,0.00187,0.001871,0.001873,0.00187
1740701100,0.001871,0.001874,0.001874,0.00187,37.0,69.273,0.001871,0.001874,0.001874,0.00187
1740701160,0.001874,0.001871,0.001876,0.00187,137.0,256.344,0.001876,0.001871,0.001876,0.00187
1740701220,0.001871,0.001873,0.001873,0.00187,48.0,89.808,0.00187,0.001873,0.001873,0.00187
1740701280,0.001873,0.001872,0.001874,0.001872,41.0,76.787,0.001872,0.001872,0.001874,0.001872
1740701340,0.001872,0.001875,0.001878,0.001872,33.0,61.904,0.001874,0.001875,0.001878,0.001874
1740701400,0.001875,0.001872,0.001876,0.001872,177.0,331.556,0.001875,0.001872,0.001876,0.001872
1740701460,0.001872,0.001871,0.001873,0.001871,357.0,668.012,0.001873,0.001871,0.001873,0.001871
1740701520,0.001871,0.001872,0.001872,0.001868,477.0,892.455,0.001868,0.001872,0.001872,0.001868
1740701580,0.001872,0.001867,0.001872,0.001866,13475.0,25157.865,0.001871,0.001867,0.001871,0.001866
1740701640,0.001867,0.001865,0.001867,0.001865,176.0,328.421,0.001866,0.001865,0.001867,0.001865
1740701700,0.001865,0.001866,0.001867,0.001865,190.0,354.554,0.001866,0.001866,0.001867,0.001866
1740701760,0.001866,0.001869,0.00187,0.001866,85.0,158.864,0.001867,0.001869,0.00187,0.001867
1740701820,0.001869,0.00187,0.001871,0.001869,174.0,325.527,0.001869,0.00187,0.001871,0.001869
1740701880,0.00187,0.001868,0.00187,0.001867,562.0,1049.822,0.001867,0.001868,0.00187,0.001867
1740701940,0.001868,0.00187,0.00187,0.001867,34.0,63.532,0.001868,0.00187,0.00187,0.001867
1740702000,0.00187,0.001871,0.001872,0.00187,38.0,71.107,0.001871,0.001871,0.001872,0.001871
1740702060,0.001871,0.00187,0.001871,0.001868,36.0,67.319,0.00187,0.00187,0.001871,0.001868
1740702120,0.00187,0.001871,0.001872,0.001868,43.0,80.418,0.001872,0.001871,0.001872,0.001868
1740702180,0.001871,0.001874,0.001876,0.001871,126.0,236.23,0.001873,0.001874,0.001876,0.001873
1740702240,0.001874,0.001874,0.001875,0.001874,654.0,1225.599,0.001875,0.001874,0.001875,0.001874
1740702300,0.001874,0.001872,0.001874,0.00187,686.0,1283.536,0.001873,0.001872,0.001873,0.00187
1740702360,0.001872,0.001867,0.001872,0.001866,87.0,162.64,0.001872,0.001867,0.001872,0.001866
1740702420,0.001867,0.001866,0.001869,0.001865,133.0,248.35,0.001869,0.001866,0.001869,0.001865
1740702480,0.001866,0.001867,0.001868,0.001866,38.0,70.937,0.001866,0.001867,0.001868,0.001866
1740702540,0.001867,0.001865,0.001867,0.001865,50.0,93.284,0.001866,0.001865,0.001866,0.001865
1740702600,0.001865,0.001863,0.001865,0.001863,45.0,83.878,0.001865,0.001863,0.001865,0.001863
1740702660,0.001863,0.001863,0.001865,0.001863,34.0,63.37,0.001863,0.001863,0.001865,0.001863
1740702720,0.001863,0.001865,0.001867,0.001862,36.0,67.146,0.001862,0.001865,0.001867,0.001862
1740702780,0.001865,0.00186,0.001865,0.00186,66.0,122.848,0.001864,0.00186,0.001864,0.00186
1740702840,0.00186,0.001865,0.001865,0.00186,66.0,122.968,0.001862,0.001865,0.001865,0.001862
1740702900,0.001865,0.001862,0.001865,0.001862,37.0,68.935,0.001865,0.001862,0.001865,0.001862
1740702960,0.001862,0.001863,0.001864,0.001861,31.0,57.749,0.001861,0.001863,0.001864,0.001861
1740703020,0.001863,0.001868,0.001868,0.001863,56.0,104.477,0.001863,0.001868,0.001868,0.001863
1740703080,0.001868,0.001871,0.001873,0.001868,185.0,346.265,0.001869,0.001871,0.001873,0.001869
1740703140,0.001871,0.001873,0.001873,0.00187,36.0,67.359,0.001871,0.001873,0.001873,0.00187
1740703200,0.001873,0.00187,0.001874,0.00187,30.0,56.176,0.001872,0.00187,0.001874,0.00187
1740703260,0.00187,0.001868,0.00187,0.001868,46.0,85.966,0.001869,0.001868,0.00187,0.001868
1740703320,0.001868,0.001867,0.001868,0.001867,26.0,48.542,0.001867,0.001867,0.001867,0.001867
1740703380,0.001867,0.001868,0.001868,0.001867,31.0,57.904,0.001867,0.001868,0.001868,0.001867
1740703440,0.001868,0.001869,0.001869,0.001865,30.0,56.034,0.001868,0.001869,0.001869,0.001865
1740703500,0.001869,0.001867,0.001869,0.001867,4888.0,9130.781,0.001868,0.001867,0.001869,0.001867
1740703560,0.001867,0.001867,0.001869,0.001865,41.0,76.561,0.001869,0.001867,0.001869,0.001865
1740703620,0.001867,0.001865,0.001868,0.001865,15117.0,28193.401,0.001866,0.001865,0.001868,0.001865
1740703680,0.001865,0.00186,0.001865,0.00186,4775.0,8881.572,0.001864,0.00186,0.001864,0.00186
1740703740,0.00186,0.001857,0.00186,0.001857,953.0,1770.1,0.001858,0.001857,0.001859,0.001857
1740703800,0.001857,0.001859,0.001861,0.001857,39.0,72.505,0.001857,0.001859,0.001861,0.001857
1740703860,0.001859,0.001862,0.001862,0.001859,684.0,1271.613,0.00186,0.001862,0.001862,0.001859
1740703920,0.001862,0.001861,0.001862,0.001859,96.0,178.644,0.001861,0.001861,0.001861,0.001859
1740703980,0.001861,0.00186,0.001861,0.00186,1196.0,2224.56,0.00186,0.00186,0.00186,0.00186
1740704040,0.00186,0.00186,0.001862,0.00186,4296.0,7997.633,0.001861,0.00186,0.001862,0.00186
1740704100,0.00186,0.001861,0.001862,0.00186,50.0,93.047,0.00186,0.001861,0.001862,0.00186
1740704160,0.001861,0.001862,0.001862,0.001861,26.0,48.403,0.001862,0.001862,0.001862,0.001861
1740704220,0.001862,0.001861,0.001863,0.00186,51.0,94.937,0.001862,0.001861,0.001863,0.00186
1740704280,0.001861,0.001861,0.001865,0.001861,55.0,102.494,0.001862,0.001861,0.001865,0.001861
1740704340,0.001861,0.00186,0.001863,0.00186,1424.0,2649.548,0.001863,0.00186,0.001863,0.00186
1740704400,0.00186,0.001859,0.00186,0.001856,2782.0,5163.466,0.001857,0.001859,0.001859,0.001856
1740704460,0.001859,0.001858,0.001859,0.001858,40.0,74.34,0.001858,0.001858,0.001859,0.001858
1740704520,0.001858,0.001863,0.001864,0.001858,1324.0,2465.297,0.00186,0.001863,0.001864,0.00186
1740704580,0.001863,0.001863,0.001863,0.001861,443.0,824.477,0.001861,0.001863,0.001863,0.001861
1740704640,0.001863,0.001864,0.001864,0.001863,178.0,331.625,0.001863,0.001864,0.001864,0.001863
1740704700,0.001864,0.001864,0.001866,0.001864,3341.0,6227.671,0.001865,0.001864,0.001866,0.001864
