time,open,close,high,low
1741406400,1.7286,1.7296,1.7296,1.7286
1741406460,1.7296,1.7267,1.7296,1.7267
1741406520,1.7267,1.7244,1.7267,1.7244
1741406580,1.7244,1.7254,1.7254,1.7237
1741406640,1.7254,1.7216,1.7256,1.7216
1741406700,1.7216,1.7237,1.7237,1.7209
1741406760,1.7237,1.7264,1.7264,1.7237
1741406820,1.7264,1.7276,1.7277,1.7264
1741406880,1.7276,1.7285,1.7287,1.7276
1741406940,1.7285,1.7297,1.7297,1.7284
1741407000,1.7297,1.7296,1.7303,1.7293
1741407060,1.7296,1.7283,1.7302,1.7283
1741407120,1.7283,1.7294,1.7298,1.7283
1741407180,1.7294,1.7287,1.73,1.7287
1741407240,1.7287,1.729,1.729,1.7284
1741407300,1.729,1.7279,1.7297,1.7279
1741407360,1.7279,1.7255,1.7286,1.7255
1741407420,1.7255,1.7283,1.7283,1.7255
1741407480,1.7283,1.7296,1.7296,1.728
1741407540,1.7296,1.7303,1.7303,1.7293
1741407600,1.7303,1.7326,1.7326,1.7303
1741407660,1.7326,1.7341,1.7341,1.7314
1741407720,1.7341,1.7345,1.7351,1.7336
1741407780,1.7345,1.7363,1.7363,1.7345
1741407840,1.7363,1.7357,1.7363,1.7357
1741407900,1.7357,1.7363,1.7363,1.7354
1741407960,1.7363,1.7384,1.7387,1.7363
1741408020,1.7384,1.74,1.74,1.7384
1741408080,1.74,1.7407,1.7407,1.7395
1741408140,1.7407,1.7383,1.7407,1.7383
1741408200,1.7383,1.7406,1.7406,1.7383
1741408260,1.7406,1.7398,1.7407,1.7398
1741408320,1.7398,1.7381,1.7398,1.7376
1741408380,1.7381,1.7382,1.7382,1.738
1741408440,1.7382,1.7381,1.7383,1.7377
1741408500,1.7381,1.7391,1.7398,1.7381
1741408560,1.7391,1.7387,1.7391,1.7381
1741408620,1.7387,1.738,1.739,1.738
1741408680,1.738,1.7388,1.7388,1.738
1741408740,1.7388,1.7417,1.7417,1.7388
1741408800,1.7417,1.7409,1.7419,1.7402
1741408860,1.7409,1.7388,1.7409,1.7388
1741408920,1.7388,1.7379,1.7388,1.7379
1741408980,1.7379,1.739,1.7396,1.7379
1741409040,1.739,1.7385,1.739,1.7382
1741409100,1.7385,1.738,1.7393,1.738
1741409160,1.738,1.7387,1.7387,1.7378
1741409220,1.7387,1.7386,1.7387,1.7383
1741409280,1.7386,1.7397,1.7397,1.7376
1741409340,1.7397,1.7409,1.7411,1.7397
1741409400,1.7409,1.7416,1.7416,1.7403
1741409460,1.7416,1.7407,1.7416,1.7406
1741409520,1.7407,1.7393,1.7407,1.7392
1741409580,1.7393,1.7392,1.7395,1.7392
1741409640,1.7392,1.7408,1.7408,1.7392
1741409700,1.7408,1.7419,1.7419,1.7408
1741409760,1.7419,1.7416,1.7419,1.7405
1741409820,1.7416,1.7411,1.7418,1.7411
1741409880,1.7411,1.7409,1.7411,1.7405
1741409940,1.7409,1.7396,1.7409,1.7396
1741410000,1.7396,1.7388,1.74,1.7388
1741410060,1.7388,1.7381,1.7393,1.7377
1741410120,1.7381,1.7392,1.7401,1.7381
1741410180,1.7392,1.7389,1.7394,1.7383
1741410240,1.7389,1.7373,1.7389,1.7373
1741410300,1.7373,1.7364,1.7373,1.7364
1741410360,1.7364,1.7355,1.7365,1.7355
1741410420,1.7355,1.7365,1.7365,1.7355
1741410480,1.7365,1.7361,1.7365,1.7357
1741410540,1.7361,1.737,1.7371,1.7361
1741410600,1.737,1.7358,1.737,1.7358
1741410660,1.7358,1.7359,1.7369,1.7358
1741410720,1.7359,1.7357,1.7359,1.735
1741410780,1.7357,1.7356,1.7359,1.7356
1741410840,1.7356,1.7348,1.736,1.7348
1741410900,1.7348,1.7338,1.7348,1.7336
1741410960,1.7338,1.7332,1.7339,1.7331
1741411020,1.7332,1.735,1.735,1.7332
1741411080,1.735,1.7345,1.735,1.7344
1741411140,1.7345,1.7335,1.7345,1.7335
1741411200,1.7335,1.7307,1.7335,1.7306
1741411260,1.7307,1.7306,1.7311,1.7305
1741411320,1.7306,1.7308,1.7308,1.7305
1741411380,1.7308,1.7306,1.7309,1.7305
1741411440,1.7306,1.7311,1.7312,1.7297
1741411500,1.7311,1.7311,1.7315,1.7311
1741411560,1.7311,1.7297,1.7312,1.7297
1741411620,1.7297,1.7291,1.7301,1.7288
1741411680,1.7291,1.7294,1.7294,1.729
1741411740,1.7294,1.7297,1.7299,1.7294
1741411800,1.7297,1.7261,1.7297,1.7258
1741411860,1.7261,1.724,1.7263,1.724
1741411920,1.724,1.7235,1.7242,1.7235
1741411980,1.7235,1.724,1.724,1.7228
1741412040,1.724,1.7243,1.7243,1.7234
1741412100,1.7243,1.723,1.7243,1.723
1741412160,1.723,1.7237,1.7237,1.723
1741412220,1.7237,1.7221,1.7237,1.7221
1741412280,1.7221,1.7241,1.7242,1.7221
1741412340,1.7241,1.7245,1.725,1.7241
1741412400,1.7245,1.7226,1.726,1.7226
1741412460,1.7226,1.7227,1.7237,1.7225
1741412520,1.7227,1.7219,1.7227,1.7205
1741412580,1.7219,1.7232,1.7233,1.7219
1741412640,1.7232,1.7239,1.7239,1.7231
1741412700,1.7239,1.724,1.7248,1.7239
1741412760,1.724,1.7229,1.724,1.7229
1741412820,1.7229,1.7233,1.7233,1.7227
1741412880,1.7233,1.7244,1.7244,1.7233
1741412940,1.7244,1.7222,1.7246,1.7222
1741413000,1.7222,1.7237,1.7237,1.7222
1741413060,1.7237,1.7251,1.7252,1.7237
1741413120,1.7251,1.7243,1.7254,1.7243
1741413180,1.7243,1.7239,1.7243,1.7236
1741413240,1.7239,1.7242,1.7242,1.7231
1741413300,1.7242,1.725,1.725,1.7242
1741413360,1.725,1.7242,1.725,1.724
1741413420,1.7242,1.7247,1.7249,1.7241
1741413480,1.7247,1.7242,1.7247,1.7241
1741413540,1.7242,1.724,1.7243,1.7235
1741413600,1.724,1.7242,1.725,1.7236
1741413660,1.7242,1.7275,1.7275,1.7242
1741413720,1.7275,1.7277,1.7286,1.7275
1741413780,1.7277,1.7252,1.7277,1.7252
1741413840,1.7252,1.7276,1.7276,1.7252
1741413900,1.7276,1.7261,1.7283,1.7261
1741413960,1.7261,1.7252,1.7266,1.7252
1741414020,1.7252,1.7246,1.7252,1.7242
1741414080,1.7246,1.7251,1.7251,1.7246
1741414140,1.7251,1.7268,1.7268,1.725
1741414200,1.7268,1.7254,1.7268,1.7251
1741414260,1.7254,1.7263,1.7263,1.7254
1741414320,1.7263,1.7258,1.7269,1.7258
1741414380,1.7258,1.7241,1.7258,1.7241
1741414440,1.7241,1.725,1.725,1.7241
1741414500,1.725,1.7222,1.725,1.722
1741414560,1.7222,1.7209,1.7222,1.7205
1741414620,1.7209,1.7209,1.7215,1.7205
1741414680,1.7209,1.7213,1.7214,1.7209
1741414740,1.7213,1.7233,1.7233,1.7213
