time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.20671,0.2068,0.20693,0.20666,10606.0,219311.994,0.20674,0.2068,0.20693,0.20666
1740700860,0.2068,0.20643,0.20707,0.20643,63297.0,1308755.872,0.2068,0.20643,0.20707,0.20643
1740700920,0.20643,0.20685,0.20716,0.20642,46172.0,955170.898,0.20642,0.20685,0.20716,0.20642
1740700980,0.20685,0.20668,0.20686,0.20654,53494.0,1105612.071,0.20685,0.20668,0.20686,0.20654
1740701040,0.20668,0.20704,0.20704,0.20659,16924.0,350112.761,0.20669,0.20704,0.20704,0.20659
1740701100,0.20704,0.20705,0.2071,0.20684,16940.0,350615.334,0.20696,0.20705,0.2071,0.20684
1740701160,0.20705,0.20646,0.20708,0.20641,43978.0,908904.864,0.20706,0.20646,0.20708,0.20641
1740701220,0.20646,0.20641,0.20647,0.20633,16947.0,349790.11,0.20646,0.20641,0.20647,0.20633
1740701280,0.20641,0.2065,0.20652,0.2063,30795.0,635644.808,0.20641,0.2065,0.20652,0.2063
1740701340,0.2065,0.2067,0.20682,0.2065,17942.0,370926.889,0.2065,0.2067,0.20682,0.2065
1740701400,0.2067,0.20641,0.20672,0.20641,16699.0,344882.212,0.20672,0.20641,0.20672,0.20641
1740701460,0.20641,0.2063,0.20656,0.2063,41415.0,855058.987,0.20645,0.2063,0.20656,0.2063
1740701520,0.2063,0.20643,0.20652,0.20626,14120.0,291472.054,0.2063,0.20643,0.20652,0.20626
1740701580,0.20643,0.20603,0.20645,0.206,49893.0,1028579.801,0.20644,0.20603,0.20645,0.206
1740701640,0.20603,0.20601,0.20614,0.20587,60756.0,1251678.947,0.20606,0.20601,0.20614,0.20587
1740701700,0.20601,0.20591,0.20608,0.20588,36706.0,755972.107,0.20601,0.20591,0.20608,0.20588
1740701760,0.20591,0.20608,0.20622,0.20591,21786.0,448913.993,0.20593,0.20608,0.20622,0.20593
1740701820,0.20608,0.20592,0.20631,0.20591,46248.0,953461.272,0.2061,0.20592,0.20631,0.20591
1740701880,0.20592,0.20601,0.20635,0.20588,68310.0,1407916.009,0.20595,0.20601,0.20635,0.20588
1740701940,0.20601,0.20641,0.20641,0.20599,40677.0,838388.107,0.20601,0.20641,0.20641,0.20599
1740702000,0.20641,0.20635,0.20653,0.20635,21488.0,443632.1,0.20642,0.20635,0.20653,0.20635
1740702060,0.20635,0.20618,0.20637,0.20604,44012.0,907586.11,0.20636,0.20618,0.20637,0.20604
1740702120,0.20618,0.20628,0.20634,0.20603,13628.0,280955.161,0.20615,0.20628,0.20634,0.20603
1740702180,0.20628,0.20644,0.20647,0.20622,13415.0,276904.507,0.20627,0.20644,0.20647,0.20622
1740702240,0.20644,0.20664,0.2067,0.20641,8299.0,171463.792,0.20641,0.20664,0.2067,0.20641
1740702300,0.20664,0.20637,0.20664,0.2063,32845.0,677788.035,0.20663,0.20637,0.20663,0.2063
1740702360,0.20637,0.20612,0.20637,0.20601,13281.0,273756.91,0.20637,0.20612,0.20637,0.20601
1740702420,0.20612,0.20607,0.20624,0.20597,32006.0,659527.222,0.20612,0.20607,0.20624,0.20597
1740702480,0.20607,0.20594,0.20615,0.20594,37787.0,778708.513,0.20609,0.20594,0.20615,0.20594
1740702540,0.20594,0.20554,0.20598,0.20554,30923.0,635933.604,0.20594,0.20554,0.20598,0.20554
1740702600,0.20554,0.20524,0.20566,0.20518,57390.0,1178785.852,0.20554,0.20524,0.20566,0.20518
1740702660,0.20524,0.20551,0.20556,0.20523,20996.0,431232.103,0.20524,0.20551,0.20556,0.20523
1740702720,0.20551,0.20559,0.20581,0.20543,28479.0,585701.664,0.2055,0.20559,0.20581,0.20543
1740702780,0.20559,0.20559,0.20575,0.20551,38155.0,784490.084,0.20559,0.20559,0.20575,0.20551
1740702840,0.20559,0.20593,0.20595,0.20557,13828.0,284567.968,0.20557,0.20593,0.20595,0.20557
1740702900,0.20593,0.20575,0.20596,0.20572,39408.0,811174.149,0.20595,0.20575,0.20596,0.20572
1740702960,0.20575,0.20567,0.20575,0.20562,23936.0,492270.414,0.2057,0.20567,0.20573,0.20562
1740703020,0.20567,0.20611,0.20611,0.20567,32505.0,669156.227,0.20569,0.20611,0.20611,0.20568
1740703080,0.20611,0.20616,0.20629,0.20611,15134.0,312044.387,0.20611,0.20616,0.20629,0.20611
1740703140,0.20616,0.20609,0.20616,0.20603,7440.0,153337.557,0.20616,0.20609,0.20616,0.20603
1740703200,0.20609,0.20595,0.20624,0.20591,6911.0,142401.375,0.2061,0.20595,0.20624,0.20591
1740703260,0.20595,0.20582,0.20601,0.20582,12029.0,247697.563,0.20595,0.20582,0.20601,0.20582
1740703320,0.20582,0.20582,0.20583,0.20568,34582.0,711571.947,0.20582,0.20582,0.20583,0.20568
1740703380,0.20582,0.20576,0.20582,0.20576,6315.0,129953.661,0.20581,0.20576,0.20582,0.20576
1740703440,0.20576,0.20573,0.20578,0.2055,27575.0,566972.977,0.20578,0.20573,0.20578,0.2055
1740703500,0.20573,0.2056,0.20574,0.20552,11345.0,233214.193,0.20573,0.2056,0.20574,0.20552
1740703560,0.2056,0.20555,0.20572,0.20554,8049.0,165525.447,0.20557,0.20555,0.20572,0.20554
1740703620,0.20555,0.20549,0.20576,0.20548,30757.0,632372.095,0.20555,0.20549,0.20576,0.20548
1740703680,0.20549,0.20525,0.20561,0.20522,31676.0,650685.844,0.20549,0.20525,0.20561,0.20522
1740703740,0.20525,0.20522,0.20527,0.20502,40501.0,830834.668,0.20527,0.20522,0.20527,0.20502
1740703800,0.20522,0.2055,0.20552,0.20522,41283.0,847952.461,0.20528,0.2055,0.20552,0.20528
1740703860,0.2055,0.20564,0.20564,0.20536,24453.0,502614.333,0.20546,0.20564,0.20564,0.20536
1740703920,0.20564,0.20546,0.20564,0.2054,30880.0,634640.736,0.2056,0.20546,0.20564,0.2054
1740703980,0.20546,0.20553,0.20562,0.20546,21685.0,445702.82,0.2055,0.20553,0.20562,0.2055
1740704040,0.20553,0.20554,0.20568,0.20546,13901.0,285835.357,0.20552,0.20554,0.20568,0.20546
1740704100,0.20554,0.20562,0.20569,0.20549,23452.0,482099.728,0.20554,0.20562,0.20569,0.20549
1740704160,0.20562,0.20561,0.20572,0.20559,14839.0,305180.651,0.20567,0.20561,0.20572,0.20559
1740704220,0.20561,0.20566,0.20585,0.20561,41210.0,847977.403,0.20562,0.20566,0.20585,0.20562
1740704280,0.20566,0.20574,0.20587,0.20564,13086.0,269261.644,0.20566,0.20574,0.20587,0.20564
1740704340,0.20574,0.20545,0.20574,0.20545,15627.0,321249.722,0.2057,0.20545,0.20571,0.20545
1740704400,0.20545,0.20559,0.20562,0.20544,30976.0,636574.523,0.20545,0.20559,0.20562,0.20544
1740704460,0.20559,0.20583,0.20583,0.20547,35446.0,728696.441,0.2056,0.20583,0.20583,0.20547
1740704520,0.20583,0.20594,0.20599,0.20581,32539.0,669929.053,0.20583,0.20594,0.20599,0.20581
1740704580,0.20594,0.20598,0.20603,0.20593,16491.0,339682.211,0.20598,0.20598,0.20603,0.20593
1740704640,0.20598,0.20597,0.20604,0.20586,21893.0,450879.227,0.20596,0.20597,0.20604,0.20586
1740704700,0.20597,0.20562,0.20598,0.20559,23580.0,484981.632,0.20596,0.20562,0.20598,0.20559
1740704760,0.20562,0.20551,0.20572,0.2055,19958.0,410328.537,0.20562,0.20551,0.20572,0.2055
1740704820,0.20551,0.2054,0.20554,0.20538,10320.0,212042.71,0.20552,0.2054,0.20554,0.20538
1740704880,0.2054,0.20548,0.20552,0.20534,42077.0,864519.54,0.20544,0.20548,0.20552,0.20534
1740704940,0.20548,0.20553,0.20556,0.20542,19746.0,405745.8,0.20555,0.20553,0.20556,0.20542
1740705000,0.20553,0.20566,0.20573,0.20553,6978.0,143520.152,0.20554,0.20566,0.20573,0.20554
1740705060,0.20566,0.20576,0.20588,0.20566,23791.0,489684.144,0.20571,0.20576,0.20588,0.20571
1740705120,0.20576,0.20583,0.20588,0.20572,14872.0,306048.499,0.20577,0.20583,0.20588,0.20572
1740705180,0.20583,0.20583,0.20585,0.20568,26867.0,552836.856,0.2058,0.20583,0.20585,0.20568
1740705240,0.20583,0.20603,0.20603,0.20575,23324.0,480246.767,0.20585,0.20603,0.20603,0.20575
1740705300,0.20603,0.20618,0.20619,0.20603,22401.0,461763.947,0.20608,0.20618,0.20619,0.20607
1740705360,0.20618,0.20538,0.20618,0.20522,60069.0,1234458.542,0.20617,0.20538,0.20617,0.20522
1740705420,0.20538,0.20549,0.2055,0.20533,31818.0,653586.09,0.20537,0.20549,0.2055,0.20533
1740705480,0.20549,0.20565,0.20568,0.20549,42848.0,880998.506,0.20556,0.20565,0.20568,0.2055
1740705540,0.20565,0.20528,0.20565,0.20517,40746.0,836615.818,0.2056,0.20528,0.2056,0.20517
1740705600,0.20528,0.20543,0.20544,0.20519,27387.0,562350.907,0.20528,0.20543,0.20544,0.20519
1740705660,0.20543,0.20538,0.20571,0.20529,40798.0,838321.993,0.20549,0.20538,0.20571,0.20529
1740705720,0.20538,0.20478,0.20541,0.20478,52914.0,1084956.535,0.20538,0.20478,0.20541,0.20478
1740705780,0.20478,0.20451,0.20481,0.20431,64057.0,1309892.211,0.2048,0.20451,0.20481,0.20431
1740705840,0.20451,0.20394,0.20458,0.20385,83515.0,1706717.384,0.20454,0.20394,0.20458,0.20385
1740705900,0.20394,0.20365,0.204,0.2035,73584.0,1499234.719,0.20395,0.20365,0.204,0.2035
1740705960,0.20365,0.20368,0.20396,0.20362,33534.0,683282.084,0.20362,0.20368,0.20396,0.20362
1740706020,0.20368,0.20309,0.20373,0.20284,109550.0,2224276.722,0.20367,0.20309,0.20373,0.20284
