time,open,close,high,low
1741492800,0.7869,0.7863,0.7873,0.7863
1741492860,0.7863,0.7855,0.7866,0.785
1741492920,0.7855,0.7854,0.7861,0.7853
1741492980,0.7854,0.7852,0.786,0.7851
1741493040,0.7852,0.7855,0.7859,0.7852
1741493100,0.7855,0.7858,0.7858,0.785
1741493160,0.7858,0.7851,0.7858,0.7846
1741493220,0.7851,0.7856,0.7857,0.7849
1741493280,0.7856,0.7854,0.7863,0.7853
1741493340,0.7854,0.7842,0.7856,0.7842
1741493400,0.7842,0.7842,0.7847,0.7841
1741493460,0.7842,0.7855,0.7855,0.7842
1741493520,0.7855,0.7849,0.7859,0.7848
1741493580,0.7849,0.7851,0.7855,0.7848
1741493640,0.7851,0.7855,0.7855,0.7851
1741493700,0.7855,0.7846,0.7856,0.7845
1741493760,0.7846,0.7866,0.7868,0.7846
1741493820,0.7866,0.7864,0.7872,0.7864
1741493880,0.7864,0.7853,0.7865,0.7853
1741493940,0.7853,0.7852,0.7854,0.785
1741494000,0.7852,0.7844,0.7854,0.7844
1741494060,0.7844,0.7845,0.7852,0.7844
1741494120,0.7845,0.7833,0.7852,0.7833
1741494180,0.7833,0.7834,0.7839,0.7833
1741494240,0.7834,0.7833,0.7837,0.7832
1741494300,0.7833,0.7844,0.7845,0.7832
1741494360,0.7844,0.7832,0.7844,0.783
1741494420,0.7832,0.784,0.7841,0.7832
1741494480,0.784,0.7844,0.7844,0.7837
1741494540,0.7844,0.7845,0.7847,0.7844
1741494600,0.7845,0.7833,0.7845,0.7833
1741494660,0.7833,0.7834,0.7834,0.7826
1741494720,0.7834,0.7832,0.7838,0.7832
1741494780,0.7832,0.7838,0.7838,0.7832
1741494840,0.7838,0.785,0.785,0.7834
1741494900,0.785,0.7846,0.7851,0.7845
1741494960,0.7846,0.7844,0.7851,0.7841
1741495020,0.7844,0.7843,0.7846,0.7842
1741495080,0.7843,0.7846,0.7847,0.7843
1741495140,0.7846,0.7845,0.7853,0.7845
1741495200,0.7845,0.7844,0.7845,0.7842
1741495260,0.7844,0.784,0.7847,0.784
1741495320,0.784,0.7842,0.7842,0.784
1741495380,0.7842,0.7842,0.7843,0.7842
1741495440,0.7842,0.784,0.7842,0.7835
1741495500,0.784,0.7837,0.7841,0.7837
1741495560,0.7837,0.7837,0.7842,0.7834
1741495620,0.7837,0.7836,0.7838,0.7836
1741495680,0.7836,0.7825,0.7836,0.7823
1741495740,0.7825,0.7827,0.7827,0.7823
1741495800,0.7827,0.7824,0.7827,0.7821
1741495860,0.7824,0.7834,0.7837,0.7824
1741495920,0.7834,0.7834,0.7835,0.7833
1741495980,0.7834,0.7845,0.7845,0.7834
1741496040,0.7845,0.7845,0.7851,0.7845
1741496100,0.7845,0.7854,0.7855,0.7845
1741496160,0.7854,0.7861,0.7861,0.7852
1741496220,0.7861,0.7856,0.7861,0.7853
1741496280,0.7856,0.7853,0.7856,0.785
1741496340,0.7853,0.7844,0.7853,0.7843
1741496400,0.7844,0.7839,0.7848,0.7839
1741496460,0.7839,0.7833,0.7841,0.7833
1741496520,0.7833,0.7852,0.7852,0.7833
1741496580,0.7852,0.7857,0.7857,0.7852
1741496640,0.7857,0.7853,0.7857,0.7849
1741496700,0.7853,0.7854,0.7854,0.7851
1741496760,0.7854,0.7844,0.7854,0.7844
1741496820,0.7844,0.7849,0.785,0.7843
1741496880,0.7849,0.7846,0.7849,0.7845
1741496940,0.7846,0.7838,0.7846,0.7838
1741497000,0.7838,0.7821,0.7838,0.7821
1741497060,0.7821,0.781,0.7825,0.781
1741497120,0.781,0.7808,0.7815,0.7807
1741497180,0.7808,0.7807,0.781,0.7806
1741497240,0.7807,0.781,0.7815,0.7805
1741497300,0.781,0.781,0.7814,0.7805
