time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.0938,0.0937,0.0939,0.0937,87.0,81.622,0.0939,0.0937,0.0939,0.0937
1740700860,0.0937,0.0941,0.0942,0.0937,113.0,106.319,0.0938,0.0941,0.0942,0.0938
1740700920,0.0941,0.0945,0.0946,0.0941,2244.0,2112.211,0.0941,0.0945,0.0946,0.0941
1740700980,0.0945,0.0942,0.0945,0.0941,56.0,52.776,0.0943,0.0942,0.0943,0.0941
1740701040,0.0942,0.0943,0.0943,0.0941,294.0,276.942,0.0942,0.0943,0.0943,0.0941
1740701100,0.0943,0.0943,0.0944,0.0942,555.0,523.348,0.0942,0.0943,0.0944,0.0942
1740701160,0.0943,0.094,0.0943,0.094,1416.0,1331.134,0.0943,0.094,0.0943,0.094
1740701220,0.094,0.0941,0.0941,0.094,200.0,188.055,0.0941,0.0941,0.0941,0.094
1740701280,0.0941,0.0943,0.0943,0.0941,58.0,54.627,0.0941,0.0943,0.0943,0.0941
1740701340,0.0943,0.0945,0.0945,0.0943,384.0,362.525,0.0943,0.0945,0.0945,0.0943
1740701400,0.0945,0.0941,0.0945,0.0941,154.0,145.224,0.0945,0.0941,0.0945,0.0941
1740701460,0.0941,0.094,0.0942,0.094,3501.0,3296.034,0.0941,0.094,0.0942,0.094
1740701520,0.094,0.0942,0.0942,0.0939,77.0,72.433,0.094,0.0942,0.0942,0.0939
1740701580,0.0942,0.0937,0.0942,0.0937,359.0,336.867,0.0941,0.0937,0.0941,0.0937
1740701640,0.0937,0.0937,0.0938,0.0937,130.0,121.857,0.0938,0.0937,0.0938,0.0937
1740701700,0.0937,0.0936,0.0938,0.0936,613.0,573.884,0.0938,0.0936,0.0938,0.0936
1740701760,0.0936,0.0939,0.094,0.0936,90.0,84.516,0.0938,0.0939,0.094,0.0938
1740701820,0.0939,0.0938,0.094,0.0938,93.0,87.32,0.0938,0.0938,0.094,0.0938
1740701880,0.0938,0.0937,0.0939,0.0937,83.0,77.831,0.0937,0.0937,0.0939,0.0937
1740701940,0.0937,0.0939,0.094,0.0937,1304.0,1224.443,0.0939,0.0939,0.094,0.0938
1740702000,0.0939,0.0939,0.094,0.0939,63.0,59.188,0.094,0.0939,0.094,0.0939
1740702060,0.0939,0.0938,0.0939,0.0938,44.0,41.295,0.0939,0.0938,0.0939,0.0938
1740702120,0.0938,0.094,0.094,0.0938,63.0,59.143,0.0939,0.094,0.094,0.0938
1740702180,0.094,0.0939,0.094,0.0939,724.0,680.529,0.0939,0.0939,0.094,0.0939
1740702240,0.0939,0.0939,0.094,0.0938,73.0,68.516,0.0939,0.0939,0.094,0.0938
1740702300,0.0939,0.0936,0.0939,0.0936,83.0,77.778,0.0938,0.0936,0.0938,0.0936
1740702360,0.0936,0.0934,0.0936,0.0934,71.0,66.338,0.0936,0.0934,0.0936,0.0934
1740702420,0.0934,0.0935,0.0935,0.0933,61.0,56.936,0.0933,0.0935,0.0935,0.0933
1740702480,0.0935,0.0935,0.0935,0.0935,48.0,44.88,0.0935,0.0935,0.0935,0.0935
1740702540,0.0935,0.0934,0.0935,0.0933,199.0,185.775,0.0935,0.0934,0.0935,0.0933
1740702600,0.0934,0.0932,0.0935,0.0932,5438.0,5073.738,0.0934,0.0932,0.0935,0.0932
1740702660,0.0932,0.0934,0.0935,0.0932,5456.0,5101.266,0.0934,0.0934,0.0935,0.0934
1740702720,0.0934,0.0935,0.0936,0.0933,5392.0,5041.508,0.0934,0.0935,0.0936,0.0933
1740702780,0.0935,0.0934,0.0935,0.0933,60.0,56.048,0.0935,0.0934,0.0935,0.0933
1740702840,0.0934,0.0936,0.0936,0.0934,76.0,71.066,0.0934,0.0936,0.0936,0.0934
1740702900,0.0936,0.0935,0.0936,0.0935,60.0,56.128,0.0936,0.0935,0.0936,0.0935
1740702960,0.0935,0.0934,0.0935,0.0933,77.0,71.93,0.0935,0.0934,0.0935,0.0933
1740703020,0.0934,0.0936,0.0937,0.0934,86.0,80.502,0.0935,0.0936,0.0937,0.0934
1740703080,0.0936,0.0938,0.0939,0.0936,60.0,56.26,0.0937,0.0938,0.0939,0.0937
1740703140,0.0938,0.0938,0.0938,0.0937,722.0,676.871,0.0937,0.0938,0.0938,0.0937
1740703200,0.0938,0.0936,0.0939,0.0936,88.0,82.534,0.0938,0.0936,0.0939,0.0936
1740703260,0.0936,0.0936,0.0937,0.0936,57.0,53.381,0.0936,0.0936,0.0937,0.0936
1740703320,0.0936,0.0936,0.0937,0.0936,63.0,58.976,0.0937,0.0936,0.0937,0.0936
1740703380,0.0936,0.0936,0.0937,0.0936,6460.0,6047.628,0.0937,0.0936,0.0937,0.0936
1740703440,0.0936,0.0936,0.0937,0.0935,354.0,331.338,0.0937,0.0936,0.0937,0.0935
1740703500,0.0936,0.0934,0.0937,0.0934,97.0,90.726,0.0936,0.0934,0.0937,0.0934
1740703560,0.0934,0.0934,0.0935,0.0934,59.0,55.148,0.0935,0.0934,0.0935,0.0934
1740703620,0.0934,0.0932,0.0935,0.0932,336.0,313.549,0.0934,0.0932,0.0935,0.0932
1740703680,0.0932,0.0932,0.0933,0.0931,5440.0,5070.075,0.0932,0.0932,0.0933,0.0931
1740703740,0.0932,0.0932,0.0932,0.0931,1187.0,1105.636,0.0931,0.0932,0.0932,0.0931
1740703800,0.0932,0.0932,0.0933,0.0932,1329.0,1238.662,0.0932,0.0932,0.0933,0.0932
1740703860,0.0932,0.0934,0.0934,0.0932,92.0,85.846,0.0932,0.0934,0.0934,0.0932
1740703920,0.0934,0.0933,0.0934,0.0932,595.0,554.597,0.0934,0.0933,0.0934,0.0932
1740703980,0.0933,0.0933,0.0933,0.0931,238.0,221.856,0.0932,0.0933,0.0933,0.0931
1740704040,0.0933,0.0935,0.0935,0.0933,423.0,395.031,0.0933,0.0935,0.0935,0.0933
1740704100,0.0935,0.0935,0.0935,0.0934,12204.0,11404.665,0.0934,0.0935,0.0935,0.0934
1740704160,0.0935,0.0935,0.0937,0.0935,172.0,160.934,0.0936,0.0935,0.0937,0.0935
1740704220,0.0935,0.0935,0.0937,0.0935,481.0,450.222,0.0936,0.0935,0.0937,0.0935
1740704280,0.0935,0.0935,0.0936,0.0934,80.0,74.822,0.0935,0.0935,0.0936,0.0934
1740704340,0.0935,0.0933,0.0935,0.0933,758.0,708.113,0.0935,0.0933,0.0935,0.0933
1740704400,0.0933,0.0936,0.0936,0.0933,645.0,602.157,0.0933,0.0936,0.0936,0.0933
1740704460,0.0936,0.0939,0.0939,0.0936,10783.0,10092.965,0.0936,0.0939,0.0939,0.0936
1740704520,0.0939,0.0941,0.0942,0.0939,7608.0,7152.867,0.094,0.0941,0.0942,0.0939
1740704580,0.0941,0.0942,0.0942,0.0941,74.0,69.693,0.0941,0.0942,0.0942,0.0941
1740704640,0.0942,0.0943,0.0943,0.0941,134.0,126.18,0.0941,0.0943,0.0943,0.0941
1740704700,0.0943,0.094,0.0943,0.094,427.0,401.738,0.0943,0.094,0.0943,0.094
1740704760,0.094,0.0941,0.0941,0.0939,3741.0,3516.539,0.0941,0.0941,0.0941,0.0939
1740704820,0.0941,0.0941,0.0941,0.094,358.0,336.589,0.094,0.0941,0.0941,0.094
1740704880,0.0941,0.0943,0.0943,0.0941,8958.0,8438.429,0.0941,0.0943,0.0943,0.0941
1740704940,0.0943,0.0944,0.0944,0.0942,59.0,55.632,0.0942,0.0944,0.0944,0.0942
1740705000,0.0944,0.0943,0.0944,0.0942,5506.0,5186.695,0.0942,0.0943,0.0943,0.0942
1740705060,0.0943,0.0948,0.0948,0.0943,10713.0,10134.713,0.0944,0.0948,0.0948,0.0944
1740705120,0.0948,0.0948,0.0949,0.0947,316.0,299.554,0.0947,0.0948,0.0949,0.0947
1740705180,0.0948,0.0948,0.0948,0.0948,5603.0,5311.644,0.0948,0.0948,0.0948,0.0948
1740705240,0.0948,0.0946,0.0948,0.0946,1485.0,1404.88,0.0948,0.0946,0.0948,0.0946
1740705300,0.0946,0.0948,0.0948,0.0946,443.0,419.324,0.0947,0.0948,0.0948,0.0946
1740705360,0.0948,0.0943,0.0948,0.0942,77.0,72.728,0.0947,0.0943,0.0947,0.0942
1740705420,0.0943,0.0943,0.0944,0.0943,71.0,66.973,0.0943,0.0943,0.0944,0.0943
1740705480,0.0943,0.0944,0.0944,0.0943,65.0,61.352,0.0944,0.0944,0.0944,0.0943
1740705540,0.0944,0.0943,0.0944,0.0942,141.0,132.863,0.0944,0.0943,0.0944,0.0942
1740705600,0.0943,0.0943,0.0943,0.0942,99.0,93.3,0.0943,0.0943,0.0943,0.0942
1740705660,0.0943,0.0944,0.0944,0.0943,66.0,62.295,0.0944,0.0944,0.0944,0.0943
1740705720,0.0944,0.094,0.0944,0.094,318.0,299.33,0.0944,0.094,0.0944,0.094
1740705780,0.094,0.094,0.094,0.0938,1310.0,1230.082,0.0939,0.094,0.094,0.0938
1740705840,0.094,0.0938,0.0941,0.0937,68.0,63.839,0.094,0.0938,0.0941,0.0937
1740705900,0.0938,0.0938,0.0938,0.0937,37951.0,35561.372,0.0938,0.0938,0.0938,0.0937
1740705960,0.0938,0.0938,0.094,0.0938,5805.0,5450.861,0.0938,0.0938,0.094,0.0938
1740706020,0.0938,0.0938,0.0939,0.0937,10049.0,9416.423,0.0937,0.0938,0.0939,0.0937
1740706080,0.0938,0.094,0.0941,0.0938,116.0,109.01,0.0941,0.094,0.0941,0.0938
1740706140,0.094,0.0943,0.0943,0.094,11453.0,10789.451,0.094,0.0943,0.0943,0.094
1740706200,0.0943,0.0952,0.0952,0.0937,15605.0,14637.525,0.0943,0.0952,0.0952,0.0937
1740706260,0.0952,0.0949,0.0968,0.0948,21222.0,20368.285,0.0959,0.0949,0.0968,0.0948
1740706320,0.0949,0.0941,0.0951,0.0941,42103.0,39651.305,0.0951,0.0941,0.0951,0.0941
1740706380,0.0941,0.0936,0.0942,0.0936,8323.0,7829.389,0.0942,0.0936,0.0942,0.0936
1740706440,0.0936,0.0928,0.0942,0.0926,54984.0,51036.033,0.0942,0.0928,0.0942,0.0926
1740706500,0.0928,0.0933,0.0937,0.0928,220.0,205.331,0.0932,0.0933,0.0937,0.0932
1740706560,0.0933,0.0927,0.0933,0.0926,27345.0,25366.483,0.0931,0.0927,0.0931,0.0926
1740706620,0.0927,0.0932,0.0932,0.0926,29370.0,27329.006,0.0929,0.0932,0.0932,0.0926
1740706680,0.0932,0.0935,0.0935,0.0927,3738.0,3475.684,0.0928,0.0935,0.0935,0.0927
1740706740,0.0935,0.0938,0.094,0.0935,47070.0,44153.408,0.0937,0.0938,0.094,0.0937
1740706800,0.0938,0.0935,0.0938,0.0932,16378.0,15286.416,0.0933,0.0935,0.0937,0.0932
1740706860,0.0935,0.093,0.0935,0.093,19006.0,17691.837,0.0933,0.093,0.0934,0.093
1740706920,0.093,0.0932,0.0933,0.093,1575.0,1467.902,0.093,0.0932,0.0933,0.093
1740706980,0.0932,0.0929,0.0932,0.0928,18070.0,16781.607,0.0929,0.0929,0.0929,0.0928
1740707040,0.0929,0.0935,0.0935,0.0929,11802.0,11021.063,0.0931,0.0935,0.0935,0.0931
1740707100,0.0935,0.0939,0.094,0.0935,2772.0,2600.85,0.0936,0.0939,0.094,0.0935
1740707160,0.0939,0.094,0.094,0.0939,632.0,593.595,0.0939,0.094,0.094,0.0939
1740707220,0.094,0.0937,0.094,0.0937,1224.0,1148.574,0.0939,0.0937,0.094,0.0937
1740707280,0.0937,0.094,0.094,0.0937,1543.0,1448.888,0.0938,0.094,0.094,0.0938
1740707340,0.094,0.0939,0.094,0.0938,12702.0,11927.161,0.0939,0.0939,0.0939,0.0938
1740707400,0.0939,0.0931,0.0939,0.0931,12565.0,11709.762,0.0939,0.0931,0.0939,0.0931
1740707460,0.0931,0.0929,0.0933,0.0928,2704.0,2511.352,0.0933,0.0929,0.0933,0.0928
1740707520,0.0929,0.0922,0.0929,0.0921,17323.0,16002.885,0.0928,0.0922,0.0928,0.0921
1740707580,0.0922,0.0919,0.0922,0.0919,15464.0,14232.704,0.0921,0.0919,0.0922,0.0919
1740707640,0.0919,0.0916,0.092,0.0913,14650.0,13412.161,0.092,0.0916,0.092,0.0913
1740707700,0.0916,0.0918,0.0919,0.0916,4506.0,4134.308,0.0919,0.0918,0.0919,0.0916
1740707760,0.0918,0.0922,0.0923,0.0918,31364.0,28915.907,0.0922,0.0922,0.0923,0.0921
1740707820,0.0922,0.0925,0.0926,0.0922,32237.0,29818.663,0.0924,0.0925,0.0926,0.0924
1740707880,0.0925,0.0923,0.0925,0.0923,56.0,51.721,0.0925,0.0923,0.0925,0.0923
1740707940,0.0923,0.0918,0.0923,0.0918,585.0,538.763,0.0922,0.0918,0.0922,0.0918
1740708000,0.0918,0.0915,0.092,0.0913,52355.0,47987.156,0.0918,0.0915,0.092,0.0913
1740708060,0.0915,0.0909,0.0916,0.0909,125606.0,114204.633,0.0916,0.0909,0.0916,0.0909
1740708120,0.0909,0.092,0.092,0.0909,1151.0,1055.201,0.0913,0.092,0.092,0.0913
1740708180,0.092,0.0923,0.0923,0.092,46258.0,42604.456,0.0921,0.0923,0.0923,0.0921
1740708240,0.0923,0.0926,0.0928,0.0921,38825.0,35885.303,0.0921,0.0926,0.0928,0.0921
1740708300,0.0926,0.0929,0.093,0.0926,17286.0,16058.279,0.0928,0.0929,0.093,0.0927
1740708360,0.0929,0.0929,0.093,0.0929,7906.0,7344.705,0.0929,0.0929,0.093,0.0929
1740708420,0.0929,0.0925,0.0929,0.0925,7029.0,6508.522,0.0926,0.0925,0.0927,0.0925
1740708480,0.0925,0.0925,0.0926,0.0925,64.0,59.228,0.0925,0.0925,0.0926,0.0925
1740708540,0.0925,0.0922,0.0925,0.0921,6051.0,5578.633,0.0924,0.0922,0.0924,0.0921
1740708600,0.0922,0.0921,0.0922,0.092,7852.0,7224.026,0.0921,0.0921,0.0922,0.092
1740708660,0.0921,0.092,0.0922,0.092,3278.0,3018.21,0.092,0.092,0.0922,0.092
1740708720,0.092,0.0921,0.0922,0.092,7553.0,6956.009,0.092,0.0921,0.0922,0.092
1740708780,0.0921,0.092,0.0922,0.0919,102.0,93.923,0.0921,0.092,0.0922,0.0919
1740708840,0.092,0.0924,0.0924,0.092,168.0,154.802,0.092,0.0924,0.0924,0.092
1740708900,0.0924,0.0926,0.0926,0.0924,5508.0,5094.926,0.0925,0.0926,0.0926,0.0925
1740708960,0.0926,0.092,0.0926,0.092,2577.0,2376.684,0.0925,0.092,0.0925,0.092
1740709020,0.092,0.0921,0.0921,0.0919,126.0,115.953,0.092,0.0921,0.0921,0.0919
1740709080,0.0921,0.0917,0.0921,0.0916,9765.0,8954.245,0.0921,0.0917,0.0921,0.0916
1740709140,0.0917,0.0917,0.0917,0.0916,59.0,54.068,0.0917,0.0917,0.0917,0.0916
1740709200,0.0917,0.0913,0.0917,0.0912,1827.0,1667.857,0.0917,0.0913,0.0917,0.0912
1740709260,0.0913,0.0914,0.0916,0.0913,1158.0,1057.341,0.0914,0.0914,0.0916,0.0913
1740709320,0.0914,0.0916,0.0916,0.0914,9922.0,9069.06,0.0914,0.0916,0.0916,0.0914
1740709380,0.0916,0.0919,0.0919,0.0916,2261.0,2077.676,0.0917,0.0919,0.0919,0.0916
