time,open,close,high,low
1741478400,0.22675,0.2269,0.22694,0.22675
1741478460,0.2269,0.22675,0.22698,0.22675
1741478520,0.22675,0.22604,0.22675,0.22598
1741478580,0.22604,0.22598,0.22604,0.22572
1741478640,0.22598,0.2262,0.2262,0.22598
1741478700,0.2262,0.2267,0.2267,0.2262
1741478760,0.2267,0.22719,0.22719,0.22662
1741478820,0.22719,0.22779,0.22807,0.22719
1741478880,0.22779,0.22776,0.22801,0.22748
1741478940,0.22776,0.22799,0.22799,0.22775
1741479000,0.22799,0.22785,0.22822,0.2278
1741479060,0.22785,0.22782,0.22819,0.22775
1741479120,0.22782,0.22869,0.22872,0.22782
1741479180,0.22869,0.22807,0.22872,0.22807
1741479240,0.22807,0.2285,0.22857,0.22807
1741479300,0.2285,0.2295,0.2295,0.2285
1741479360,0.2295,0.22997,0.23013,0.2295
1741479420,0.22997,0.23079,0.2308,0.22997
1741479480,0.23079,0.23032,0.23121,0.22993
1741479540,0.23032,0.22935,0.23061,0.22919
1741479600,0.22935,0.22964,0.22969,0.22916
1741479660,0.22964,0.23003,0.23003,0.2295
1741479720,0.23003,0.22996,0.23005,0.2298
1741479780,0.22996,0.22989,0.23005,0.22983
1741479840,0.22989,0.22982,0.23021,0.22982
1741479900,0.22982,0.22941,0.23009,0.2292
1741479960,0.22941,0.22965,0.22966,0.22927
1741480020,0.22965,0.22991,0.23004,0.22965
1741480080,0.22991,0.2296,0.23015,0.22924
1741480140,0.2296,0.22936,0.22964,0.22916
1741480200,0.22936,0.22963,0.22994,0.22936
1741480260,0.22963,0.22915,0.22963,0.22915
1741480320,0.22915,0.22912,0.22945,0.22912
1741480380,0.22912,0.22869,0.2293,0.22864
1741480440,0.22869,0.22831,0.22873,0.22831
1741480500,0.22831,0.22777,0.22831,0.22777
1741480560,0.22777,0.22809,0.22809,0.22777
1741480620,0.22809,0.22769,0.22809,0.22763
1741480680,0.22769,0.2278,0.2278,0.22761
1741480740,0.2278,0.22773,0.22789,0.2277
1741480800,0.22773,0.2277,0.22789,0.22761
1741480860,0.2277,0.22817,0.22817,0.2277
1741480920,0.22817,0.22823,0.22823,0.22794
1741480980,0.22823,0.22782,0.22829,0.22779
1741481040,0.22782,0.22731,0.22782,0.22731
1741481100,0.22731,0.22735,0.22739,0.22725
1741481160,0.22735,0.22744,0.22745,0.22716
1741481220,0.22744,0.22739,0.22744,0.22736
1741481280,0.22739,0.22723,0.22769,0.22723
1741481340,0.22723,0.22716,0.22732,0.22716
1741481400,0.22716,0.22731,0.22738,0.22716
1741481460,0.22731,0.22717,0.22732,0.22708
1741481520,0.22717,0.22757,0.22757,0.2269
1741481580,0.22757,0.22736,0.2276,0.22736
1741481640,0.22736,0.22795,0.22795,0.22736
1741481700,0.22795,0.22791,0.22805,0.22791
1741481760,0.22791,0.22823,0.22823,0.22783
1741481820,0.22823,0.22812,0.22828,0.22809
