time,open,close,high,low
1741492800,5.895,5.89,5.895,5.889
1741492860,5.89,5.887,5.89,5.884
1741492920,5.887,5.889,5.89,5.887
1741492980,5.889,5.888,5.889,5.888
1741493040,5.888,5.889,5.889,5.888
1741493100,5.889,5.888,5.889,5.888
1741493160,5.888,5.887,5.889,5.885
1741493220,5.887,5.89,5.89,5.887
1741493280,5.89,5.89,5.894,5.89
1741493340,5.89,5.887,5.892,5.887
1741493400,5.887,5.886,5.888,5.885
1741493460,5.886,5.893,5.893,5.886
1741493520,5.893,5.886,5.893,5.885
1741493580,5.886,5.888,5.89,5.886
1741493640,5.888,5.892,5.892,5.888
1741493700,5.892,5.885,5.892,5.885
1741493760,5.885,5.894,5.894,5.885
1741493820,5.894,5.896,5.898,5.893
1741493880,5.896,5.891,5.896,5.891
1741493940,5.891,5.884,5.891,5.884
1741494000,5.884,5.884,5.885,5.881
1741494060,5.884,5.886,5.891,5.884
1741494120,5.886,5.88,5.889,5.879
1741494180,5.88,5.882,5.885,5.88
1741494240,5.882,5.887,5.887,5.882
1741494300,5.887,5.892,5.895,5.887
1741494360,5.892,5.887,5.892,5.886
1741494420,5.887,5.893,5.894,5.887
1741494480,5.893,5.9,5.9,5.893
1741494540,5.9,5.901,5.901,5.898
1741494600,5.901,5.896,5.901,5.896
1741494660,5.896,5.898,5.898,5.893
1741494720,5.898,5.898,5.904,5.898
1741494780,5.898,5.905,5.905,5.898
1741494840,5.905,5.909,5.909,5.904
1741494900,5.909,5.911,5.911,5.908
1741494960,5.911,5.906,5.911,5.905
1741495020,5.906,5.906,5.907,5.906
1741495080,5.906,5.907,5.907,5.906
1741495140,5.907,5.908,5.911,5.907
1741495200,5.908,5.906,5.909,5.906
1741495260,5.906,5.908,5.912,5.906
1741495320,5.908,5.91,5.911,5.908
1741495380,5.91,5.909,5.911,5.907
1741495440,5.909,5.909,5.909,5.908
1741495500,5.909,5.91,5.91,5.908
1741495560,5.91,5.905,5.91,5.905
1741495620,5.905,5.906,5.907,5.903
1741495680,5.906,5.899,5.906,5.899
1741495740,5.899,5.904,5.904,5.899
1741495800,5.904,5.904,5.905,5.902
1741495860,5.904,5.905,5.905,5.904
1741495920,5.905,5.904,5.905,5.903
1741495980,5.904,5.908,5.909,5.904
1741496040,5.908,5.907,5.909,5.906
1741496100,5.907,5.905,5.907,5.904
1741496160,5.905,5.907,5.908,5.904
1741496220,5.907,5.91,5.91,5.907
1741496280,5.91,5.91,5.912,5.908
1741496340,5.91,5.903,5.91,5.903
1741496400,5.903,5.902,5.904,5.901
1741496460,5.902,5.899,5.902,5.899
1741496520,5.899,5.907,5.907,5.898
1741496580,5.907,5.91,5.911,5.907
1741496640,5.91,5.906,5.91,5.904
1741496700,5.906,5.905,5.906,5.902
1741496760,5.905,5.901,5.905,5.9
1741496820,5.901,5.899,5.903,5.899
1741496880,5.899,5.899,5.902,5.898
1741496940,5.899,5.895,5.9,5.895
1741497000,5.895,5.889,5.895,5.888
1741497060,5.889,5.889,5.89,5.888
1741497120,5.889,5.889,5.891,5.886
1741497180,5.889,5.888,5.889,5.886
1741497240,5.888,5.892,5.893,5.888
1741497300,5.892,5.889,5.894,5.888
1741497360,5.889,5.891,5.891,5.888
1741497420,5.891,5.888,5.893,5.887
1741497480,5.888,5.887,5.888,5.884
1741497540,5.887,5.893,5.895,5.887
1741497600,5.893,5.9,5.903,5.891
1741497660,5.9,5.904,5.906,5.895
1741497720,5.904,5.903,5.904,5.901
1741497780,5.903,5.905,5.905,5.899
1741497840,5.905,5.905,5.909,5.905
1741497900,5.905,5.906,5.907,5.905
1741497960,5.906,5.917,5.921,5.906
1741498020,5.917,5.914,5.918,5.91
1741498080,5.914,5.91,5.916,5.91
1741498140,5.91,5.912,5.914,5.907
1741498200,5.912,5.915,5.915,5.912
1741498260,5.915,5.916,5.92,5.915
1741498320,5.916,5.912,5.917,5.911
1741498380,5.912,5.91,5.915,5.91
1741498440,5.91,5.913,5.915,5.91
1741498500,5.913,5.908,5.914,5.906
1741498560,5.908,5.908,5.911,5.906
1741498620,5.908,5.906,5.909,5.906
1741498680,5.906,5.906,5.907,5.904
1741498740,5.906,5.902,5.907,5.902
1741498800,5.902,5.9,5.902,5.899
1741498860,5.9,5.898,5.9,5.895
1741498920,5.898,5.899,5.899,5.895
1741498980,5.899,5.901,5.901,5.897
1741499040,5.901,5.904,5.904,5.901
1741499100,5.904,5.905,5.905,5.903
1741499160,5.905,5.888,5.905,5.888
1741499220,5.888,5.887,5.888,5.886
1741499280,5.887,5.88,5.887,5.88
1741499340,5.88,5.88,5.887,5.88
1741499400,5.88,5.871,5.884,5.871
1741499460,5.871,5.869,5.875,5.869
1741499520,5.869,5.873,5.876,5.869
1741499580,5.873,5.872,5.875,5.872
1741499640,5.872,5.871,5.874,5.869
1741499700,5.871,5.869,5.872,5.869
1741499760,5.869,5.87,5.871,5.867
1741499820,5.87,5.86,5.87,5.86
1741499880,5.86,5.861,5.865,5.86
1741499940,5.861,5.866,5.866,5.861
1741500000,5.866,5.863,5.866,5.861
1741500060,5.863,5.846,5.863,5.843
1741500120,5.846,5.845,5.852,5.844
1741500180,5.845,5.847,5.847,5.843
1741500240,5.847,5.851,5.851,5.847
1741500300,5.851,5.853,5.854,5.849
1741500360,5.853,5.849,5.853,5.845
1741500420,5.849,5.841,5.849,5.841
1741500480,5.841,5.843,5.843,5.838
1741500540,5.843,5.845,5.845,5.841
1741500600,5.845,5.837,5.847,5.837
1741500660,5.837,5.833,5.84,5.831
1741500720,5.833,5.837,5.839,5.833
1741500780,5.837,5.838,5.838,5.832
1741500840,5.838,5.833,5.839,5.833
1741500900,5.833,5.828,5.833,5.826
1741500960,5.828,5.831,5.831,5.825
1741501020,5.831,5.831,5.833,5.828
1741501080,5.831,5.834,5.836,5.831
1741501140,5.834,5.844,5.844,5.834
1741501200,5.844,5.849,5.85,5.841
1741501260,5.849,5.849,5.853,5.846
1741501320,5.849,5.853,5.856,5.848
1741501380,5.853,5.854,5.856,5.851
1741501440,5.854,5.849,5.854,5.847
1741501500,5.849,5.855,5.858,5.849
1741501560,5.855,5.86,5.862,5.855
1741501620,5.86,5.857,5.86,5.856
1741501680,5.857,5.863,5.863,5.857
1741501740,5.863,5.865,5.865,5.86
1741501800,5.865,5.867,5.867,5.863
1741501860,5.867,5.867,5.868,5.865
1741501920,5.867,5.867,5.867,5.86
1741501980,5.867,5.869,5.872,5.866
1741502040,5.869,5.867,5.869,5.867
1741502100,5.867,5.864,5.867,5.862
1741502160,5.864,5.867,5.867,5.864
1741502220,5.867,5.862,5.867,5.862
1741502280,5.862,5.866,5.866,5.861
1741502340,5.866,5.863,5.866,5.863
1741502400,5.863,5.867,5.867,5.86
1741502460,5.867,5.869,5.871,5.866
1741502520,5.869,5.87,5.874,5.869
1741502580,5.87,5.871,5.873,5.87
1741502640,5.871,5.868,5.871,5.867
1741502700,5.868,5.865,5.869,5.864
1741502760,5.865,5.868,5.868,5.862
1741502820,5.868,5.864,5.869,5.864
1741502880,5.864,5.865,5.866,5.864
1741502940,5.865,5.868,5.868,5.864
1741503000,5.868,5.868,5.869,5.865
1741503060,5.868,5.864,5.868,5.863
1741503120,5.864,5.861,5.864,5.861
1741503180,5.861,5.862,5.864,5.86
1741503240,5.862,5.859,5.862,5.859
1741503300,5.859,5.846,5.859,5.846
1741503360,5.846,5.839,5.846,5.838
1741503420,5.839,5.831,5.839,5.83
1741503480,5.831,5.834,5.834,5.829
1741503540,5.834,5.83,5.835,5.828
1741503600,5.83,5.826,5.83,5.822
1741503660,5.826,5.832,5.832,5.816
1741503720,5.832,5.835,5.839,5.832
1741503780,5.835,5.839,5.84,5.831
1741503840,5.839,5.834,5.84,5.832
1741503900,5.834,5.84,5.84,5.834
1741503960,5.84,5.844,5.844,5.839
1741504020,5.844,5.841,5.848,5.841
1741504080,5.841,5.841,5.841,5.84
1741504140,5.841,5.848,5.848,5.841
1741504200,5.848,5.851,5.851,5.845
1741504260,5.851,5.855,5.855,5.851
1741504320,5.855,5.853,5.855,5.853
1741504380,5.853,5.848,5.854,5.848
1741504440,5.848,5.842,5.848,5.842
1741504500,5.842,5.854,5.854,5.842
1741504560,5.854,5.86,5.861,5.854
1741504620,5.86,5.856,5.86,5.856
1741504680,5.856,5.856,5.858,5.856
1741504740,5.856,5.846,5.857,5.846
1741504800,5.846,5.85,5.85,5.845
1741504860,5.85,5.857,5.857,5.85
1741504920,5.857,5.861,5.862,5.857
1741504980,5.861,5.863,5.868,5.861
1741505040,5.863,5.863,5.865,5.861
1741505100,5.863,5.867,5.867,5.862
1741505160,5.867,5.869,5.87,5.867
1741505220,5.869,5.867,5.869,5.866
1741505280,5.867,5.866,5.867,5.865
1741505340,5.866,5.871,5.871,5.866
1741505400,5.871,5.876,5.876,5.869
1741505460,5.876,5.875,5.879,5.873
1741505520,5.875,5.869,5.875,5.865
1741505580,5.869,5.869,5.871,5.867
1741505640,5.869,5.879,5.879,5.869
1741505700,5.879,5.873,5.879,5.873
1741505760,5.873,5.871,5.873,5.871
1741505820,5.871,5.869,5.874,5.868
1741505880,5.869,5.871,5.871,5.869
1741505940,5.871,5.872,5.872,5.869
1741506000,5.872,5.869,5.873,5.868
1741506060,5.869,5.869,5.869,5.866
1741506120,5.869,5.87,5.872,5.869
1741506180,5.87,5.871,5.872,5.869
1741506240,5.871,5.868,5.871,5.867
1741506300,5.868,5.864,5.868,5.864
1741506360,5.864,5.858,5.864,5.858
1741506420,5.858,5.852,5.858,5.851
1741506480,5.852,5.858,5.858,5.852
1741506540,5.858,5.855,5.858,5.855
1741506600,5.855,5.859,5.859,5.855
1741506660,5.859,5.852,5.863,5.852
1741506720,5.852,5.849,5.852,5.849
1741506780,5.849,5.856,5.857,5.849
1741506840,5.856,5.851,5.857,5.851
1741506900,5.851,5.851,5.854,5.85
1741506960,5.851,5.854,5.855,5.851
1741507020,5.854,5.857,5.857,5.852
1741507080,5.857,5.858,5.858,5.856
1741507140,5.858,5.857,5.858,5.855
1741507200,5.857,5.854,5.858,5.854
1741507260,5.854,5.855,5.855,5.85
1741507320,5.855,5.86,5.86,5.855
1741507380,5.86,5.853,5.86,5.853
1741507440,5.853,5.85,5.853,5.849
1741507500,5.85,5.848,5.85,5.846
1741507560,5.848,5.844,5.848,5.84
1741507620,5.844,5.85,5.85,5.844
1741507680,5.85,5.848,5.85,5.848
1741507740,5.848,5.842,5.848,5.842
