time,open,close,high,low
1740700800,1.233,1.231,1.234,1.231
1740700860,1.231,1.234,1.235,1.231
1740700920,1.234,1.237,1.237,1.233
1740700980,1.237,1.237,1.237,1.235
1740701040,1.237,1.238,1.239,1.237
1740701100,1.238,1.238,1.239,1.238
1740701160,1.238,1.236,1.24,1.236
1740701220,1.236,1.236,1.236,1.235
1740701280,1.236,1.237,1.237,1.234
1740701340,1.237,1.239,1.239,1.237
1740701400,1.239,1.236,1.239,1.236
1740701460,1.236,1.237,1.237,1.236
1740701520,1.237,1.237,1.237,1.234
1740701580,1.237,1.235,1.237,1.234
1740701640,1.235,1.235,1.236,1.235
1740701700,1.235,1.235,1.235,1.234
1740701760,1.235,1.235,1.236,1.234
1740701820,1.235,1.234,1.236,1.234
1740701880,1.234,1.231,1.234,1.231
1740701940,1.231,1.234,1.234,1.231
1740702000,1.234,1.235,1.236,1.234
1740702060,1.235,1.234,1.236,1.234
1740702120,1.234,1.233,1.234,1.232
1740702180,1.233,1.235,1.235,1.232
1740702240,1.235,1.236,1.237,1.235
1740702300,1.236,1.236,1.237,1.236
1740702360,1.236,1.232,1.236,1.232
1740702420,1.232,1.231,1.233,1.23
1740702480,1.231,1.232,1.232,1.231
1740702540,1.232,1.231,1.232,1.231
1740702600,1.231,1.228,1.231,1.228
1740702660,1.228,1.23,1.23,1.228
1740702720,1.23,1.232,1.232,1.23
1740702780,1.232,1.23,1.232,1.229
1740702840,1.23,1.232,1.232,1.23
1740702900,1.232,1.23,1.233,1.23
1740702960,1.23,1.23,1.23,1.229
1740703020,1.23,1.233,1.233,1.23
1740703080,1.233,1.234,1.235,1.233
1740703140,1.234,1.236,1.236,1.234
1740703200,1.236,1.233,1.236,1.233
1740703260,1.233,1.233,1.234,1.233
1740703320,1.233,1.233,1.234,1.232
1740703380,1.233,1.234,1.234,1.233
1740703440,1.234,1.232,1.234,1.23
1740703500,1.232,1.231,1.234,1.231
1740703560,1.231,1.231,1.232,1.23
1740703620,1.231,1.231,1.232,1.23
1740703680,1.231,1.227,1.231,1.226
1740703740,1.227,1.226,1.227,1.225
1740703800,1.226,1.226,1.228,1.226
1740703860,1.226,1.227,1.227,1.226
1740703920,1.227,1.227,1.227,1.225
1740703980,1.227,1.226,1.227,1.225
1740704040,1.226,1.228,1.228,1.226
1740704100,1.228,1.228,1.228,1.227
1740704160,1.228,1.227,1.229,1.227
1740704220,1.227,1.228,1.229,1.227
1740704280,1.228,1.229,1.231,1.228
1740704340,1.229,1.228,1.229,1.228
1740704400,1.228,1.227,1.228,1.226
1740704460,1.227,1.23,1.23,1.227
1740704520,1.23,1.232,1.234,1.23
1740704580,1.232,1.231,1.232,1.231
1740704640,1.231,1.232,1.232,1.231
1740704700,1.232,1.231,1.232,1.229
1740704760,1.231,1.229,1.231,1.229
1740704820,1.229,1.23,1.23,1.228
1740704880,1.23,1.229,1.23,1.228
1740704940,1.229,1.23,1.231,1.229
1740705000,1.23,1.229,1.23,1.229
1740705060,1.229,1.232,1.232,1.229
1740705120,1.232,1.231,1.233,1.231
1740705180,1.231,1.234,1.234,1.231
1740705240,1.234,1.233,1.234,1.232
1740705300,1.233,1.232,1.233,1.232
1740705360,1.232,1.227,1.232,1.227
1740705420,1.227,1.23,1.23,1.227
1740705480,1.23,1.231,1.231,1.23
1740705540,1.231,1.227,1.231,1.227
1740705600,1.227,1.232,1.232,1.227
1740705660,1.232,1.228,1.232,1.228
1740705720,1.228,1.227,1.23,1.226
1740705780,1.227,1.223,1.227,1.223
1740705840,1.223,1.22,1.225,1.22
1740705900,1.22,1.22,1.22,1.219
1740705960,1.22,1.22,1.221,1.22
1740706020,1.22,1.214,1.22,1.214
1740706080,1.214,1.211,1.217,1.21
