time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.1256,0.1256,0.1256,0.1255,4804.0,6033.806,0.1256,0.1256,0.1256,0.1255
1740700860,0.1256,0.1255,0.1256,0.1254,5678.0,7126.166,0.1255,0.1255,0.1256,0.1254
1740700920,0.1255,0.1256,0.1256,0.1254,13621.0,17099.603,0.1255,0.1256,0.1256,0.1254
1740700980,0.1256,0.1255,0.1256,0.1254,6692.0,8398.472,0.1256,0.1255,0.1256,0.1254
1740701040,0.1255,0.1257,0.1257,0.1254,1370.0,1719.834,0.1254,0.1257,0.1257,0.1254
1740701100,0.1257,0.1255,0.1257,0.1255,7552.0,9478.5,0.1257,0.1255,0.1257,0.1255
1740701160,0.1255,0.1255,0.1256,0.1254,3189.0,4003.489,0.1256,0.1255,0.1256,0.1254
1740701220,0.1255,0.1253,0.1255,0.1253,1303.0,1633.716,0.1255,0.1253,0.1255,0.1253
1740701280,0.1253,0.1255,0.1255,0.1253,2172.0,2725.306,0.1253,0.1255,0.1255,0.1253
1740701340,0.1255,0.1256,0.1256,0.1254,3430.0,4306.687,0.1256,0.1256,0.1256,0.1254
1740701400,0.1256,0.1254,0.1256,0.1253,11238.0,14084.92,0.1256,0.1254,0.1256,0.1253
1740701460,0.1254,0.1254,0.1254,0.1253,629.0,788.687,0.1253,0.1254,0.1254,0.1253
1740701520,0.1254,0.1255,0.1255,0.1251,19759.0,24735.836,0.1253,0.1255,0.1255,0.1251
1740701580,0.1255,0.1253,0.1255,0.1252,3758.0,4709.712,0.1254,0.1253,0.1255,0.1252
1740701640,0.1253,0.125,0.1253,0.125,43908.0,54895.248,0.1253,0.125,0.1253,0.125
1740701700,0.125,0.125,0.1251,0.1249,11664.0,14588.485,0.125,0.125,0.1251,0.1249
1740701760,0.125,0.125,0.1251,0.1249,11731.0,14670.083,0.125,0.125,0.1251,0.1249
1740701820,0.125,0.1249,0.1251,0.1249,3823.0,4777.455,0.125,0.1249,0.1251,0.1249
1740701880,0.1249,0.1249,0.1251,0.1248,995.0,1243.289,0.1249,0.1249,0.1251,0.1248
1740701940,0.1249,0.1252,0.1252,0.1249,3418.0,4275.249,0.125,0.1252,0.1252,0.1249
1740702000,0.1252,0.1251,0.1252,0.125,5598.0,6998.975,0.125,0.1251,0.1251,0.125
1740702060,0.1251,0.125,0.1251,0.125,10528.0,13160.173,0.1251,0.125,0.1251,0.125
1740702120,0.125,0.1251,0.1251,0.1249,3269.0,4084.471,0.1251,0.1251,0.1251,0.1249
1740702180,0.1251,0.1252,0.1253,0.125,3057.0,3826.046,0.1251,0.1252,0.1253,0.125
1740702240,0.1252,0.1253,0.1254,0.1252,887.0,1112.108,0.1253,0.1253,0.1254,0.1252
1740702300,0.1253,0.1252,0.1253,0.1251,776.0,972.24,0.1253,0.1252,0.1253,0.1251
1740702360,0.1252,0.125,0.1252,0.1249,1175.0,1469.162,0.1251,0.125,0.1252,0.1249
1740702420,0.125,0.1249,0.1251,0.1249,1013.0,1265.333,0.1251,0.1249,0.1251,0.1249
1740702480,0.1249,0.1249,0.125,0.1248,80.0,99.916,0.1249,0.1249,0.125,0.1248
1740702540,0.1249,0.1249,0.1249,0.1248,299.0,373.365,0.1249,0.1249,0.1249,0.1248
1740702600,0.1249,0.1247,0.1249,0.1246,6468.0,8067.811,0.1249,0.1247,0.1249,0.1246
1740702660,0.1247,0.1247,0.1248,0.1247,583.0,727.564,0.1247,0.1247,0.1248,0.1247
1740702720,0.1247,0.1248,0.125,0.1247,944.0,1178.786,0.1248,0.1248,0.125,0.1247
1740702780,0.1248,0.1248,0.1249,0.1247,1246.0,1554.856,0.1249,0.1248,0.1249,0.1247
1740702840,0.1248,0.125,0.125,0.1248,3327.0,4154.455,0.1248,0.125,0.125,0.1248
1740702900,0.125,0.125,0.1251,0.1249,9378.0,11721.2,0.125,0.125,0.1251,0.1249
1740702960,0.125,0.1249,0.125,0.1248,98.0,122.382,0.125,0.1249,0.125,0.1248
1740703020,0.1249,0.1251,0.1251,0.1249,478.0,597.76,0.1249,0.1251,0.1251,0.1249
1740703080,0.1251,0.1251,0.1252,0.125,3723.0,4661.156,0.1251,0.1251,0.1252,0.125
