time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,15.101,15.097,15.112,15.086,111955.0,169036.0044,15.106,15.097,15.112,15.086
1740700860,15.097,15.078,15.116,15.078,16941.0,25597.7771,15.101,15.078,15.116,15.078
1740700920,15.078,15.108,15.113,15.078,67822.0,102417.3242,15.093,15.108,15.113,15.089
1740700980,15.108,15.092,15.108,15.082,31017.0,46795.7627,15.098,15.092,15.098,15.082
1740701040,15.092,15.12,15.124,15.09,29689.0,44829.2451,15.095,15.12,15.124,15.09
1740701100,15.12,15.129,15.143,15.12,39995.0,60505.9287,15.122,15.129,15.143,15.122
1740701160,15.129,15.085,15.13,15.083,79000.0,119329.4574,15.13,15.085,15.13,15.083
1740701220,15.085,15.08,15.085,15.067,59262.0,89352.6551,15.084,15.08,15.084,15.067
1740701280,15.08,15.127,15.138,15.079,17852.0,26997.7006,15.079,15.127,15.138,15.079
1740701340,15.127,15.165,15.17,15.127,38294.0,58048.5363,15.134,15.165,15.17,15.134
1740701400,15.165,15.138,15.166,15.138,28813.0,43676.1915,15.166,15.138,15.166,15.138
1740701460,15.138,15.128,15.149,15.128,43859.0,66396.8759,15.13,15.128,15.149,15.128
1740701520,15.128,15.182,15.182,15.122,41177.0,62410.3074,15.128,15.182,15.182,15.122
1740701580,15.182,15.139,15.184,15.139,34310.0,52024.6866,15.182,15.139,15.184,15.139
1740701640,15.139,15.121,15.142,15.112,29864.0,45201.3254,15.139,15.121,15.142,15.112
1740701700,15.121,15.099,15.122,15.099,9178.0,13868.9677,15.122,15.099,15.122,15.099
1740701760,15.099,15.114,15.125,15.099,13336.0,20157.8395,15.102,15.114,15.125,15.102
1740701820,15.114,15.104,15.131,15.104,27726.0,41895.2165,15.118,15.104,15.131,15.104
1740701880,15.104,15.1,15.127,15.093,51317.0,77510.8556,15.096,15.1,15.127,15.093
1740701940,15.1,15.135,15.137,15.1,17573.0,26554.6326,15.115,15.135,15.137,15.106
1740702000,15.135,15.137,15.142,15.133,20146.0,30493.1457,15.135,15.137,15.142,15.133
1740702060,15.137,15.126,15.137,15.118,19609.0,29676.3995,15.134,15.126,15.136,15.118
1740702120,15.126,15.127,15.127,15.107,15912.0,24055.9841,15.126,15.127,15.127,15.107
1740702180,15.127,15.13,15.142,15.127,49941.0,75570.4091,15.127,15.13,15.142,15.127
1740702240,15.13,15.143,15.149,15.13,37317.0,56481.7841,15.134,15.143,15.149,15.132
1740702300,15.143,15.128,15.143,15.123,30760.0,46536.944,15.137,15.128,15.137,15.123
1740702360,15.128,15.095,15.128,15.092,33485.0,50574.4476,15.123,15.095,15.123,15.092
1740702420,15.095,15.079,15.105,15.079,16449.0,24832.1775,15.102,15.079,15.105,15.079
1740702480,15.079,15.082,15.093,15.079,4866.0,7341.3684,15.087,15.082,15.093,15.082
1740702540,15.082,15.066,15.084,15.066,3726.0,5616.9351,15.081,15.066,15.084,15.066
1740702600,15.066,15.045,15.067,15.044,35390.0,53268.0574,15.064,15.045,15.067,15.044
1740702660,15.045,15.05,15.06,15.043,21696.0,32662.7677,15.044,15.05,15.06,15.043
1740702720,15.05,15.07,15.087,15.05,31070.0,46828.0041,15.055,15.07,15.087,15.052
1740702780,15.07,15.065,15.087,15.06,37294.0,56216.9115,15.071,15.065,15.087,15.06
1740702840,15.065,15.092,15.092,15.065,17130.0,25845.0368,15.078,15.092,15.092,15.078
1740702900,15.092,15.072,15.093,15.072,3636.0,5482.9006,15.089,15.072,15.093,15.072
1740702960,15.072,15.064,15.072,15.059,18313.0,27583.1545,15.066,15.064,15.071,15.059
1740703020,15.064,15.098,15.098,15.064,8157.0,12300.4445,15.067,15.098,15.098,15.067
1740703080,15.098,15.101,15.113,15.096,28657.0,43279.8282,15.096,15.101,15.113,15.096
1740703140,15.101,15.108,15.108,15.095,32736.0,49430.7047,15.102,15.108,15.108,15.095
1740703200,15.108,15.095,15.109,15.087,31322.0,47276.1677,15.105,15.095,15.109,15.087
1740703260,15.095,15.092,15.095,15.084,13014.0,19635.794,15.088,15.092,15.092,15.084
1740703320,15.092,15.075,15.092,15.069,2941.0,4434.0998,15.079,15.075,15.079,15.069
1740703380,15.075,15.075,15.079,15.072,14376.0,21673.7022,15.075,15.075,15.079,15.072
1740703440,15.075,15.065,15.075,15.054,17475.0,26316.5626,15.075,15.065,15.075,15.054
1740703500,15.065,15.058,15.069,15.057,20660.0,31122.2905,15.066,15.058,15.069,15.057
1740703560,15.058,15.049,15.063,15.049,15653.0,23565.0918,15.062,15.049,15.063,15.049
1740703620,15.049,15.052,15.069,15.049,24069.0,36231.2703,15.05,15.052,15.069,15.05
1740703680,15.052,15.015,15.052,15.01,93595.0,140692.1325,15.047,15.015,15.048,15.01
1740703740,15.015,15.001,15.015,14.991,35191.0,52775.1075,15.015,15.001,15.015,14.991
1740703800,15.001,15.009,15.02,15.001,57958.0,87035.4732,15.007,15.009,15.02,15.007
1740703860,15.009,15.005,15.017,14.998,10766.0,16161.8055,15.014,15.005,15.017,14.998
1740703920,15.005,14.998,15.007,14.994,20538.0,30807.6015,15.007,14.998,15.007,14.994
1740703980,14.998,14.989,15.004,14.989,25660.0,38470.3584,15.0,14.989,15.004,14.989
1740704040,14.989,14.995,15.001,14.989,25097.0,37631.735,14.991,14.995,15.001,14.991
1740704100,14.995,14.999,15.006,14.994,5727.0,8590.5489,14.994,14.999,15.006,14.994
1740704160,14.999,15.007,15.008,14.999,50846.0,76291.7262,15.003,15.007,15.008,15.0
1740704220,15.007,15.011,15.019,15.004,39526.0,59342.9219,15.004,15.011,15.019,15.004
1740704280,15.011,15.016,15.037,15.009,68216.0,102473.5391,15.009,15.016,15.037,15.009
1740704340,15.016,14.992,15.016,14.991,33236.0,49856.0107,15.015,14.992,15.015,14.991
1740704400,14.992,14.993,14.994,14.977,45977.0,68898.5356,14.986,14.993,14.994,14.977
1740704460,14.993,15.004,15.004,14.979,22425.0,33612.9141,14.993,15.004,15.004,14.979
1740704520,15.004,15.025,15.033,15.004,116022.0,174359.3534,15.016,15.025,15.033,15.014
1740704580,15.025,15.024,15.03,15.023,27536.0,41379.3397,15.023,15.024,15.03,15.023
1740704640,15.024,15.033,15.033,15.016,22546.0,33869.2008,15.022,15.033,15.033,15.016
1740704700,15.033,15.012,15.034,15.003,49429.0,74207.549,15.034,15.012,15.034,15.003
1740704760,15.012,15.002,15.02,14.996,42271.0,63435.7621,15.018,15.002,15.02,14.996
