time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.857,0.857,0.859,0.857,13374.0,1146.2036,0.858,0.857,0.859,0.857
1740700860,0.857,0.856,0.858,0.856,891.0,76.3827,0.858,0.856,0.858,0.856
1740700920,0.856,0.859,0.859,0.856,800.0,68.6272,0.857,0.859,0.859,0.857
1740700980,0.859,0.857,0.859,0.857,1009.0,86.5321,0.858,0.857,0.858,0.857
1740701040,0.857,0.859,0.859,0.857,941.0,80.7541,0.858,0.859,0.859,0.858
1740701100,0.859,0.859,0.859,0.858,1633.0,140.2551,0.858,0.859,0.859,0.858
1740701160,0.859,0.858,0.859,0.857,5077.0,435.6295,0.859,0.858,0.859,0.857
1740701220,0.858,0.857,0.858,0.857,1148.0,98.4137,0.858,0.857,0.858,0.857
1740701280,0.857,0.858,0.858,0.857,663.0,56.8771,0.857,0.858,0.858,0.857
1740701340,0.858,0.859,0.859,0.858,1017.0,87.3252,0.858,0.859,0.859,0.858
1740701400,0.859,0.859,0.859,0.859,1006.0,86.4154,0.859,0.859,0.859,0.859
1740701460,0.859,0.858,0.859,0.857,12129.0,1040.67,0.857,0.858,0.859,0.857
1740701520,0.858,0.858,0.858,0.858,752.0,64.5216,0.858,0.858,0.858,0.858
1740701580,0.858,0.857,0.858,0.857,717.0,61.4848,0.858,0.857,0.858,0.857
1740701640,0.857,0.857,0.857,0.856,756.0,64.7782,0.857,0.857,0.857,0.856
1740701700,0.857,0.857,0.857,0.856,210633.0,18049.5434,0.857,0.857,0.857,0.856
1740701760,0.857,0.858,0.858,0.857,773.0,66.2905,0.857,0.858,0.858,0.857
1740701820,0.858,0.858,0.858,0.858,519.0,44.5302,0.858,0.858,0.858,0.858
1740701880,0.858,0.857,0.858,0.857,585.0,50.1444,0.857,0.857,0.858,0.857
1740701940,0.857,0.858,0.858,0.857,642.0,55.0836,0.858,0.858,0.858,0.858
1740702000,0.858,0.858,0.859,0.858,1071.0,91.9307,0.858,0.858,0.859,0.858
1740702060,0.858,0.857,0.858,0.857,593.0,50.8649,0.858,0.857,0.858,0.857
1740702120,0.857,0.858,0.858,0.857,36418.0,3121.1163,0.858,0.858,0.858,0.857
1740702180,0.858,0.858,0.859,0.857,12466.0,1069.1958,0.857,0.858,0.859,0.857
1740702240,0.858,0.858,0.858,0.857,592.0,50.786,0.858,0.858,0.858,0.857
1740702300,0.858,0.858,0.858,0.857,2032.0,174.1905,0.857,0.858,0.858,0.857
1740702360,0.858,0.856,0.858,0.856,449.0,38.4982,0.858,0.856,0.858,0.856
1740702420,0.856,0.856,0.857,0.856,876.0,75.0547,0.857,0.856,0.857,0.856
1740702480,0.856,0.857,0.857,0.856,702.0,60.1614,0.857,0.857,0.857,0.857
1740702540,0.857,0.856,0.857,0.856,808.0,69.1984,0.856,0.856,0.857,0.856
1740702600,0.856,0.855,0.856,0.855,6764.0,578.9464,0.855,0.855,0.856,0.855
1740702660,0.855,0.855,0.855,0.854,8291.0,708.101,0.855,0.855,0.855,0.854
1740702720,0.855,0.856,0.856,0.854,124258.0,10611.765,0.854,0.856,0.856,0.854
1740702780,0.856,0.855,0.856,0.855,1057.0,90.4339,0.856,0.855,0.856,0.855
1740702840,0.855,0.855,0.855,0.854,24120.0,2059.9209,0.855,0.855,0.855,0.854
1740702900,0.855,0.856,0.856,0.855,2419.0,206.9087,0.856,0.856,0.856,0.855
1740702960,0.856,0.855,0.856,0.855,608.0,51.984,0.855,0.855,0.855,0.855
1740703020,0.855,0.857,0.857,0.855,390.0,33.3829,0.855,0.857,0.857,0.855
1740703080,0.857,0.858,0.858,0.857,338454.0,29039.3106,0.857,0.858,0.858,0.857
1740703140,0.858,0.857,0.858,0.857,615.0,52.7458,0.857,0.857,0.858,0.857
1740703200,0.857,0.857,0.858,0.857,1032.0,88.4746,0.857,0.857,0.858,0.857
1740703260,0.857,0.858,0.858,0.857,843.0,72.3294,0.858,0.858,0.858,0.858
1740703320,0.858,0.857,0.858,0.856,834.0,71.4413,0.857,0.857,0.857,0.856
1740703380,0.857,0.857,0.857,0.857,1059.0,90.7563,0.857,0.857,0.857,0.857
1740703440,0.857,0.856,0.857,0.855,543.0,46.4616,0.856,0.856,0.856,0.855
1740703500,0.856,0.857,0.857,0.855,1306.0,111.7685,0.855,0.857,0.857,0.855
1740703560,0.857,0.856,0.857,0.855,856.0,73.2659,0.855,0.856,0.856,0.855
1740703620,0.856,0.854,0.856,0.854,1789.0,152.8832,0.856,0.854,0.856,0.854
1740703680,0.854,0.854,0.855,0.854,741.0,63.3484,0.855,0.854,0.855,0.854
1740703740,0.854,0.853,0.854,0.852,106220.0,9053.7452,0.854,0.853,0.854,0.852
1740703800,0.853,0.853,0.854,0.853,3874.0,330.4822,0.853,0.853,0.854,0.853
1740703860,0.853,0.853,0.853,0.852,301088.0,25652.8064,0.853,0.853,0.853,0.852
1740703920,0.853,0.852,0.853,0.851,839.0,71.51,0.853,0.852,0.853,0.851
1740703980,0.852,0.853,0.853,0.852,100692.0,8578.9867,0.852,0.853,0.853,0.852
1740704040,0.853,0.852,0.853,0.851,35029.0,2981.0158,0.852,0.852,0.852,0.851
1740704100,0.852,0.853,0.853,0.851,1292.0,110.0095,0.852,0.853,0.853,0.851
1740704160,0.853,0.852,0.853,0.851,947.0,80.6993,0.853,0.852,0.853,0.851
1740704220,0.852,0.851,0.853,0.851,657.0,55.9847,0.852,0.851,0.853,0.851
1740704280,0.851,0.851,0.853,0.851,1895.0,161.3768,0.852,0.851,0.853,0.851
1740704340,0.851,0.85,0.852,0.85,27909.0,2373.3948,0.852,0.85,0.852,0.85
1740704400,0.85,0.851,0.851,0.849,2691.0,228.742,0.849,0.851,0.851,0.849
1740704460,0.851,0.852,0.852,0.85,18534.0,1577.2319,0.85,0.852,0.852,0.85
1740704520,0.852,0.851,0.852,0.851,6829.0,581.284,0.852,0.851,0.852,0.851
1740704580,0.851,0.853,0.853,0.851,34968.0,2982.5283,0.853,0.853,0.853,0.852
1740704640,0.853,0.853,0.853,0.853,35149.0,2998.2097,0.853,0.853,0.853,0.853
1740704700,0.853,0.852,0.853,0.852,1821.0,155.1492,0.852,0.852,0.852,0.852
1740704760,0.852,0.852,0.852,0.851,885.0,75.3835,0.852,0.852,0.852,0.851
1740704820,0.852,0.851,0.852,0.851,97087.0,8262.1327,0.852,0.851,0.852,0.851
1740704880,0.851,0.851,0.852,0.85,1199.0,102.0135,0.85,0.851,0.852,0.85
1740704940,0.851,0.852,0.852,0.851,1427.0,121.5573,0.852,0.852,0.852,0.851
1740705000,0.852,0.852,0.852,0.851,8732.0,743.8882,0.851,0.852,0.852,0.851
1740705060,0.852,0.853,0.853,0.851,740.0,63.0414,0.852,0.853,0.853,0.851
1740705120,0.853,0.853,0.853,0.852,863.0,73.5947,0.852,0.853,0.853,0.852
1740705180,0.853,0.853,0.853,0.852,831.0,70.8549,0.852,0.853,0.853,0.852
1740705240,0.853,0.852,0.853,0.852,5382.0,458.5621,0.852,0.852,0.853,0.852
1740705300,0.852,0.852,0.853,0.852,924.0,78.7945,0.853,0.852,0.853,0.852
