time,open,close,high,low
1742083200,0.04209,0.0422,0.04278,0.042
1742083260,0.0422,0.0421,0.04244,0.0421
1742083320,0.0421,0.04148,0.04219,0.041
1742083380,0.04148,0.04129,0.0418,0.0412
1742083440,0.04129,0.04143,0.04167,0.04062
1742083500,0.04143,0.04175,0.04229,0.041
1742083560,0.04175,0.0409,0.04255,0.0408
1742083620,0.0409,0.0406,0.04155,0.04
1742083680,0.0406,0.04038,0.04109,0.04
1742083740,0.04038,0.04076,0.041,0.04003
1742083800,0.04076,0.03976,0.04076,0.03943
1742083860,0.03976,0.04064,0.0411,0.03976
1742083920,0.04064,0.04166,0.0425,0.0406
1742083980,0.04166,0.04159,0.0419,0.04159
1742084040,0.04159,0.04175,0.04188,0.04111
1742084100,0.04175,0.0415,0.04188,0.0406
1742084160,0.0415,0.04134,0.04169,0.0412
1742084220,0.04134,0.04134,0.04149,0.04085
1742084280,0.04134,0.04102,0.04134,0.04085
1742084340,0.04102,0.04128,0.04177,0.04079
1742084400,0.04128,0.04,0.0416,0.04
1742084460,0.04,0.03986,0.0406,0.03907
1742084520,0.03986,0.03973,0.04,0.03932
1742084580,0.03973,0.03956,0.0398,0.0394
1742084640,0.03956,0.04044,0.04071,0.039
1742084700,0.04044,0.03976,0.04044,0.03936
1742084760,0.03976,0.0406,0.0406,0.03956
1742084820,0.0406,0.04035,0.0406,0.03984
1742084880,0.04035,0.04022,0.0406,0.04003
1742084940,0.04022,0.04022,0.0405,0.03996
1742085000,0.04022,0.04022,0.04065,0.0399
1742085060,0.04022,0.04085,0.04138,0.04012
1742085120,0.04085,0.04066,0.0412,0.04052
1742085180,0.04066,0.04061,0.04117,0.0405
1742085240,0.04061,0.0406,0.04077,0.0406
1742085300,0.0406,0.0404,0.04077,0.04034
1742085360,0.0404,0.04115,0.0416,0.04034
1742085420,0.04115,0.04233,0.04263,0.04066
1742085480,0.04233,0.04154,0.04236,0.04113
1742085540,0.04154,0.04134,0.042,0.0411
1742085600,0.04134,0.04134,0.0415,0.04107
1742085660,0.04134,0.04078,0.04141,0.0406
1742085720,0.04078,0.04014,0.04078,0.03962
1742085780,0.04014,0.0407,0.04078,0.04014
1742085840,0.0407,0.03991,0.0407,0.03979
1742085900,0.03991,0.03863,0.04,0.03863
1742085960,0.03863,0.03892,0.03931,0.03851
1742086020,0.03892,0.03856,0.03941,0.0383
1742086080,0.03856,0.03862,0.03915,0.03856
1742086140,0.03862,0.0394,0.04007,0.03862
1742086200,0.0394,0.04034,0.0405,0.03901
1742086260,0.04034,0.03961,0.04034,0.0396
1742086320,0.03961,0.03954,0.03994,0.039
1742086380,0.03954,0.04015,0.04016,0.0394
1742086440,0.04015,0.0404,0.0411,0.03991
1742086500,0.0404,0.04011,0.04064,0.0396
1742086560,0.04011,0.0397,0.04025,0.0391
1742086620,0.0397,0.0391,0.03979,0.03906
1742086680,0.0391,0.03923,0.03978,0.0384
1742086740,0.03923,0.03874,0.0394,0.03831
1742086800,0.03874,0.03806,0.03891,0.03748
1742086860,0.03806,0.0379,0.03806,0.0375
1742086920,0.0379,0.03832,0.03875,0.0374
1742086980,0.03832,0.03838,0.03842,0.038
1742087040,0.03838,0.03788,0.03849,0.03765
1742087100,0.03788,0.0365,0.03801,0.0363
1742087160,0.0365,0.03705,0.0376,0.03616
1742087220,0.03705,0.03641,0.0372,0.0361
1742087280,0.03641,0.03683,0.03702,0.036
1742087340,0.03683,0.03709,0.03709,0.0365
1742087400,0.03709,0.03665,0.0375,0.03665
1742087460,0.03665,0.03745,0.03769,0.03665
1742087520,0.03745,0.03738,0.0382,0.037
1742087580,0.03738,0.03727,0.0376,0.03683
1742087640,0.03727,0.0376,0.03819,0.03683
1742087700,0.0376,0.03825,0.0385,0.0372
1742087760,0.03825,0.03752,0.03828,0.0374
1742087820,0.03752,0.03761,0.03793,0.03715
1742087880,0.03761,0.03794,0.0383,0.03761
1742087940,0.03794,0.03764,0.03795,0.03687
1742088000,0.03764,0.03821,0.0383,0.0371
1742088060,0.03821,0.03872,0.0396,0.03777
1742088120,0.03872,0.03928,0.0395,0.03872
1742088180,0.03928,0.03902,0.0396,0.03882
1742088240,0.03902,0.03944,0.0399,0.03862
1742088300,0.03944,0.03989,0.03998,0.03922
1742088360,0.03989,0.03977,0.03989,0.03936
1742088420,0.03977,0.03952,0.0398,0.03858
1742088480,0.03952,0.03943,0.04,0.03883
1742088540,0.03943,0.0392,0.0395,0.03877
1742088600,0.0392,0.0389,0.03927,0.03851
1742088660,0.0389,0.039,0.03947,0.03832
1742088720,0.039,0.03941,0.03998,0.039
1742088780,0.03941,0.03924,0.03959,0.0385
1742088840,0.03924,0.03858,0.0393,0.03858
1742088900,0.03858,0.03863,0.03878,0.03772
1742088960,0.03863,0.0383,0.03863,0.03812
1742089020,0.0383,0.03934,0.03934,0.0382
1742089080,0.03934,0.03866,0.03934,0.03865
1742089140,0.03866,0.03852,0.0387,0.03787
1742089200,0.03852,0.04044,0.04156,0.03811
1742089260,0.04044,0.03949,0.04044,0.03842
1742089320,0.03949,0.03853,0.03949,0.03842
1742089380,0.03853,0.03836,0.03867,0.03812
1742089440,0.03836,0.03777,0.03878,0.03777
1742089500,0.03777,0.0385,0.03879,0.03718
1742089560,0.0385,0.03766,0.0385,0.03766
1742089620,0.03766,0.03849,0.03849,0.03766
1742089680,0.03849,0.03809,0.03888,0.03809
1742089740,0.03809,0.03882,0.03882,0.03809
1742089800,0.03882,0.03894,0.03898,0.03851
1742089860,0.03894,0.03876,0.0391,0.03859
1742089920,0.03876,0.03903,0.0392,0.0385
1742089980,0.03903,0.03944,0.03978,0.03849
1742090040,0.03944,0.03974,0.03974,0.03921
1742090100,0.03974,0.0395,0.03985,0.0388
1742090160,0.0395,0.03943,0.0396,0.03928
1742090220,0.03943,0.03975,0.03975,0.03928
1742090280,0.03975,0.03975,0.03975,0.03955
1742090340,0.03975,0.03941,0.03975,0.0393
1742090400,0.03941,0.03944,0.0396,0.03912
1742090460,0.03944,0.03934,0.04094,0.03855
1742090520,0.03934,0.03862,0.03987,0.03856
1742090580,0.03862,0.03904,0.03929,0.03857
1742090640,0.03904,0.03877,0.0393,0.03858
1742090700,0.03877,0.03878,0.03905,0.03866
1742090760,0.03878,0.0383,0.03896,0.03812
1742090820,0.0383,0.03839,0.03851,0.0376
1742090880,0.03839,0.03758,0.0388,0.03718
1742090940,0.03758,0.03701,0.03769,0.0368
1742091000,0.03701,0.0361,0.03719,0.03578
1742091060,0.0361,0.03674,0.03675,0.0355
1742091120,0.03674,0.0359,0.03699,0.0355
1742091180,0.0359,0.03622,0.03669,0.03533
1742091240,0.03622,0.03617,0.03649,0.03578
1742091300,0.03617,0.03639,0.0366,0.03579
1742091360,0.03639,0.03724,0.03748,0.03639
1742091420,0.03724,0.03674,0.0377,0.03672
1742091480,0.03674,0.0362,0.03719,0.03618
1742091540,0.0362,0.03511,0.03626,0.03509
1742091600,0.03511,0.03594,0.03604,0.03504
1742091660,0.03594,0.03757,0.03777,0.03557
1742091720,0.03757,0.03709,0.03757,0.0366
1742091780,0.03709,0.037,0.03764,0.03697
1742091840,0.037,0.03738,0.0378,0.03695
1742091900,0.03738,0.03726,0.03774,0.03673
1742091960,0.03726,0.03706,0.03762,0.03687
1742092020,0.03706,0.03721,0.03721,0.03605
1742092080,0.03721,0.03666,0.0378,0.03654
1742092140,0.03666,0.03669,0.0369,0.0366
1742092200,0.03669,0.03685,0.03721,0.03661
1742092260,0.03685,0.0378,0.0378,0.03685
1742092320,0.0378,0.03758,0.03835,0.03734
1742092380,0.03758,0.038,0.03838,0.03758
1742092440,0.038,0.03721,0.038,0.03673
1742092500,0.03721,0.03779,0.038,0.03721
1742092560,0.03779,0.03767,0.03786,0.03709
1742092620,0.03767,0.03771,0.0381,0.03766
1742092680,0.03771,0.03705,0.03771,0.03705
1742092740,0.03705,0.03713,0.03771,0.03703
1742092800,0.03713,0.0372,0.03768,0.03702
1742092860,0.0372,0.03632,0.03737,0.036
1742092920,0.03632,0.03594,0.0365,0.03587
1742092980,0.03594,0.03599,0.03622,0.03536
1742093040,0.03599,0.03567,0.0362,0.03531
1742093100,0.03567,0.03589,0.03635,0.03555
1742093160,0.03589,0.03624,0.0363,0.03561
1742093220,0.03624,0.03606,0.03624,0.03579
1742093280,0.03606,0.0362,0.0369,0.03581
1742093340,0.0362,0.03638,0.03661,0.03603
1742093400,0.03638,0.03596,0.0366,0.03596
1742093460,0.03596,0.0359,0.03603,0.03561
1742093520,0.0359,0.03673,0.03673,0.03588
1742093580,0.03673,0.03635,0.03673,0.03579
1742093640,0.03635,0.0374,0.03742,0.03602
1742093700,0.0374,0.03723,0.03783,0.03666
1742093760,0.03723,0.03738,0.03771,0.03713
1742093820,0.03738,0.03721,0.0383,0.03706
1742093880,0.03721,0.03793,0.0385,0.03687
1742093940,0.03793,0.0382,0.03865,0.0377
1742094000,0.0382,0.03813,0.0382,0.03763
1742094060,0.03813,0.03868,0.0387,0.03799
1742094120,0.03868,0.03877,0.0395,0.03845
1742094180,0.03877,0.03906,0.03939,0.03876
1742094240,0.03906,0.03841,0.03936,0.03837
1742094300,0.03841,0.03861,0.03902,0.0384
1742094360,0.03861,0.03874,0.03896,0.03836
1742094420,0.03874,0.0388,0.03918,0.03874
1742094480,0.0388,0.0392,0.03939,0.03874
1742094540,0.0392,0.03921,0.0394,0.039
1742094600,0.03921,0.03936,0.0398,0.03918
1742094660,0.03936,0.04046,0.0408,0.03936
1742094720,0.04046,0.04,0.0408,0.03975
1742094780,0.04,0.04015,0.04045,0.0392
1742094840,0.04015,0.04039,0.04043,0.0394
1742094900,0.04039,0.04028,0.04043,0.04
1742094960,0.04028,0.04057,0.04079,0.04028
1742095020,0.04057,0.03988,0.04074,0.0396
1742095080,0.03988,0.0412,0.04188,0.0398
1742095140,0.0412,0.04151,0.04293,0.04096
1742095200,0.04151,0.04278,0.04392,0.04151
1742095260,0.04278,0.04187,0.043,0.04156
1742095320,0.04187,0.04156,0.04241,0.0413
1742095380,0.04156,0.04205,0.04208,0.04143
1742095440,0.04205,0.0415,0.04213,0.0412
1742095500,0.0415,0.04086,0.0415,0.04062
1742095560,0.04086,0.041,0.04119,0.04031
1742095620,0.041,0.04141,0.0416,0.04073
1742095680,0.04141,0.04128,0.0416,0.0411
1742095740,0.04128,0.04098,0.0415,0.0404
1742095800,0.04098,0.041,0.04155,0.04045
1742095860,0.041,0.04119,0.0413,0.041
1742095920,0.04119,0.04123,0.04123,0.04119
1742095980,0.04123,0.04145,0.04192,0.04037
1742096040,0.04145,0.0411,0.04152,0.0411
1742096100,0.0411,0.04107,0.0411,0.0407
1742096160,0.04107,0.04042,0.0413,0.04024
1742096220,0.04042,0.04144,0.04192,0.04039
1742096280,0.04144,0.04228,0.04228,0.04133
1742096340,0.04228,0.04273,0.0432,0.04201
1742096400,0.04273,0.04188,0.04307,0.04136
1742096460,0.04188,0.04207,0.04259,0.04142
1742096520,0.04207,0.04197,0.0425,0.04185
1742096580,0.04197,0.04203,0.04259,0.04152
1742096640,0.04203,0.04211,0.0424,0.04201
1742096700,0.04211,0.0423,0.04239,0.04211
1742096760,0.0423,0.04296,0.04383,0.04226
1742096820,0.04296,0.04286,0.04316,0.04263
1742096880,0.04286,0.04244,0.04286,0.0421
1742096940,0.04244,0.04252,0.04328,0.0421
1742097000,0.04252,0.043,0.04383,0.04252
1742097060,0.043,0.04348,0.04376,0.0428
1742097120,0.04348,0.043,0.04348,0.04289
1742097180,0.043,0.04316,0.04318,0.04289
1742097240,0.04316,0.04295,0.0432,0.04241
1742097300,0.04295,0.04238,0.04295,0.04215
1742097360,0.04238,0.04178,0.04238,0.04153
1742097420,0.04178,0.04093,0.0418,0.0407
1742097480,0.04093,0.04068,0.04129,0.04064
1742097540,0.04068,0.04143,0.04147,0.04068
1742097600,0.04143,0.04132,0.04148,0.04095
1742097660,0.04132,0.0419,0.0425,0.04109
1742097720,0.0419,0.0421,0.04242,0.04183
1742097780,0.0421,0.0419,0.0421,0.04173
1742097840,0.0419,0.04181,0.04221,0.0416
1742097900,0.04181,0.04116,0.0419,0.04087
1742097960,0.04116,0.0407,0.04175,0.0407
1742098020,0.0407,0.04062,0.04134,0.0405
1742098080,0.04062,0.0402,0.04118,0.0392
1742098140,0.0402,0.04017,0.04054,0.0398
1742098200,0.04017,0.04018,0.0404,0.03982
1742098260,0.04018,0.04026,0.04034,0.04004
1742098320,0.04026,0.04018,0.04068,0.0397
1742098380,0.04018,0.03966,0.04027,0.0394
1742098440,0.03966,0.04062,0.0408,0.03961
1742098500,0.04062,0.04004,0.04084,0.04
1742098560,0.04004,0.04021,0.04039,0.04004
1742098620,0.04021,0.04014,0.0406,0.0401
1742098680,0.04014,0.04014,0.04039,0.04002
1742098740,0.04014,0.04006,0.04056,0.0397
1742098800,0.04006,0.03993,0.0402,0.03987
1742098860,0.03993,0.04,0.04028,0.03954
1742098920,0.04,0.04018,0.04019,0.03993
1742098980,0.04018,0.04079,0.041,0.0401
1742099040,0.04079,0.04183,0.04183,0.04046
1742099100,0.04183,0.04107,0.04183,0.04072
1742099160,0.04107,0.04065,0.04112,0.0405
1742099220,0.04065,0.04042,0.04087,0.0402
1742099280,0.04042,0.04042,0.04081,0.04034
1742099340,0.04042,0.04052,0.04087,0.04042
1742099400,0.04052,0.04067,0.04088,0.04044
1742099460,0.04067,0.041,0.041,0.04056
1742099520,0.041,0.0413,0.0416,0.04069
1742099580,0.0413,0.04097,0.04145,0.0409
