time,open,close,high,low
1741406400,0.9677,0.9663,0.9677,0.9662
1741406460,0.9663,0.9645,0.9663,0.9643
1741406520,0.9645,0.9632,0.9645,0.9623
1741406580,0.9632,0.9641,0.965,0.9632
1741406640,0.9641,0.9613,0.9641,0.9611
1741406700,0.9613,0.9627,0.9627,0.9607
1741406760,0.9627,0.9645,0.9645,0.9604
1741406820,0.9645,0.9639,0.9645,0.9634
1741406880,0.9639,0.9653,0.966,0.9639
1741406940,0.9653,0.9638,0.9653,0.9621
1741407000,0.9638,0.9659,0.966,0.9638
1741407060,0.9659,0.963,0.9659,0.963
1741407120,0.963,0.9635,0.9639,0.9629
1741407180,0.9635,0.9619,0.9639,0.9619
1741407240,0.9619,0.9633,0.9636,0.9619
1741407300,0.9633,0.9635,0.964,0.9631
1741407360,0.9635,0.9613,0.9643,0.9613
1741407420,0.9613,0.9656,0.9657,0.9613
1741407480,0.9656,0.9655,0.9661,0.965
1741407540,0.9655,0.9653,0.9656,0.9642
1741407600,0.9653,0.9685,0.9685,0.9653
1741407660,0.9685,0.9699,0.9699,0.968
1741407720,0.9699,0.9691,0.9699,0.9679
1741407780,0.9691,0.97,0.9703,0.9691
1741407840,0.97,0.9687,0.97,0.9687
1741407900,0.9687,0.9706,0.9708,0.9687
1741407960,0.9706,0.9703,0.9711,0.9701
1741408020,0.9703,0.9715,0.9715,0.9695
1741408080,0.9715,0.9718,0.9718,0.9712
1741408140,0.9718,0.9702,0.9718,0.97
1741408200,0.9702,0.9713,0.9713,0.9699
1741408260,0.9713,0.9699,0.9713,0.9693
1741408320,0.9699,0.97,0.97,0.9688
1741408380,0.97,0.9715,0.9716,0.97
1741408440,0.9715,0.9716,0.9723,0.9711
1741408500,0.9716,0.9722,0.9723,0.9713
1741408560,0.9722,0.9711,0.9722,0.9704
1741408620,0.9711,0.9707,0.9716,0.9707
1741408680,0.9707,0.9713,0.9713,0.9701
1741408740,0.9713,0.9725,0.9725,0.9707
1741408800,0.9725,0.9722,0.973,0.9713
1741408860,0.9722,0.971,0.9724,0.971
1741408920,0.971,0.9709,0.9712,0.9709
1741408980,0.9709,0.9707,0.9718,0.9702
1741409040,0.9707,0.9722,0.9722,0.9707
1741409100,0.9722,0.9695,0.9722,0.9695
1741409160,0.9695,0.9701,0.971,0.9695
1741409220,0.9701,0.9698,0.9701,0.9696
1741409280,0.9698,0.9703,0.9704,0.9686
1741409340,0.9703,0.9705,0.9712,0.9701
1741409400,0.9705,0.9714,0.9714,0.9705
1741409460,0.9714,0.9724,0.9725,0.9712
1741409520,0.9724,0.9707,0.9724,0.9702
1741409580,0.9707,0.9719,0.9719,0.9702
1741409640,0.9719,0.9726,0.9726,0.9712
1741409700,0.9726,0.9732,0.9732,0.972
1741409760,0.9732,0.9731,0.9738,0.9725
1741409820,0.9731,0.9738,0.9738,0.9725
