time,open,close,high,low
1741305600,0.9538,0.954,0.9546,0.9537
1741305660,0.954,0.9542,0.9542,0.9537
1741305720,0.9542,0.9564,0.9564,0.9542
1741305780,0.9564,0.956,0.9564,0.9556
1741305840,0.956,0.957,0.9574,0.956
1741305900,0.957,0.9576,0.9576,0.957
1741305960,0.9576,0.9577,0.9577,0.9572
1741306020,0.9577,0.9551,0.958,0.9551
1741306080,0.9551,0.9548,0.9556,0.9546
1741306140,0.9548,0.9532,0.9548,0.9532
1741306200,0.9532,0.9549,0.955,0.9531
1741306260,0.9549,0.957,0.9571,0.9541
1741306320,0.957,0.9596,0.9598,0.957
1741306380,0.9596,0.9645,0.9652,0.9596
1741306440,0.9645,0.957,0.9645,0.957
1741306500,0.957,0.9473,0.957,0.9402
1741306560,0.9473,0.9362,0.9484,0.936
1741306620,0.9362,0.9401,0.9412,0.9362
1741306680,0.9401,0.9405,0.9423,0.9401
1741306740,0.9405,0.9368,0.9414,0.9352
1741306800,0.9368,0.9283,0.9368,0.9256
1741306860,0.9283,0.927,0.9334,0.9261
1741306920,0.927,0.9303,0.9322,0.927
1741306980,0.9303,0.9277,0.9303,0.921
1741307040,0.9277,0.9262,0.928,0.9247
1741307100,0.9262,0.9199,0.9271,0.9178
1741307160,0.9199,0.915,0.9219,0.9129
1741307220,0.915,0.9129,0.9202,0.9125
1741307280,0.9129,0.9146,0.9164,0.9129
1741307340,0.9146,0.9164,0.9182,0.9146
1741307400,0.9164,0.9166,0.9172,0.9131
1741307460,0.9166,0.9178,0.9181,0.9149
1741307520,0.9178,0.9207,0.922,0.9178
1741307580,0.9207,0.9205,0.9226,0.9205
1741307640,0.9205,0.9216,0.9234,0.9199
1741307700,0.9216,0.9198,0.9222,0.9192
1741307760,0.9198,0.9148,0.9198,0.9148
1741307820,0.9148,0.9175,0.919,0.9141
1741307880,0.9175,0.9172,0.9191,0.9165
1741307940,0.9172,0.9195,0.9204,0.9171
1741308000,0.9195,0.9202,0.9205,0.9188
1741308060,0.9202,0.9216,0.9216,0.919
1741308120,0.9216,0.9188,0.9216,0.918
1741308180,0.9188,0.9196,0.9196,0.918
1741308240,0.9196,0.917,0.9198,0.917
1741308300,0.917,0.9163,0.917,0.9139
1741308360,0.9163,0.9166,0.9166,0.9128
1741308420,0.9166,0.9198,0.9198,0.915
1741308480,0.9198,0.919,0.9206,0.918
1741308540,0.919,0.918,0.9194,0.9161
1741308600,0.918,0.918,0.9195,0.9171
1741308660,0.918,0.9153,0.9191,0.9152
1741308720,0.9153,0.9169,0.9172,0.9153
1741308780,0.9169,0.9126,0.9169,0.9126
1741308840,0.9126,0.9158,0.9159,0.9112
1741308900,0.9158,0.9188,0.919,0.9156
1741308960,0.9188,0.9201,0.9203,0.9185
1741309020,0.9201,0.9193,0.9203,0.9186
1741309080,0.9193,0.9213,0.9225,0.9193
1741309140,0.9213,0.9209,0.9229,0.9209
1741309200,0.9209,0.919,0.9224,0.919
1741309260,0.919,0.9233,0.9233,0.9186
1741309320,0.9233,0.9245,0.9245,0.9202
1741309380,0.9245,0.9255,0.9255,0.9221
1741309440,0.9255,0.9265,0.9267,0.9248
1741309500,0.9265,0.9278,0.9298,0.9265
1741309560,0.9278,0.9278,0.9286,0.9274
1741309620,0.9278,0.9299,0.9302,0.9278
1741309680,0.9299,0.9309,0.931,0.9296
1741309740,0.9309,0.9321,0.9321,0.9302
1741309800,0.9321,0.932,0.9333,0.932
1741309860,0.932,0.934,0.9351,0.932
1741309920,0.934,0.9328,0.934,0.9322
1741309980,0.9328,0.9364,0.9365,0.9328
1741310040,0.9364,0.9375,0.9383,0.9364
1741310100,0.9375,0.9369,0.9377,0.9354
1741310160,0.9369,0.9353,0.938,0.9353
1741310220,0.9353,0.9345,0.9353,0.9332
1741310280,0.9345,0.9363,0.9363,0.933
