time,open,close,high,low
1741478400,9.226,9.16,9.241,9.154
1741478460,9.16,9.216,9.216,9.122
1741478520,9.216,9.181,9.217,9.178
1741478580,9.181,9.207,9.207,9.166
1741478640,9.207,9.21,9.226,9.193
1741478700,9.21,9.201,9.22,9.201
1741478760,9.201,9.228,9.229,9.194
1741478820,9.228,9.241,9.245,9.208
1741478880,9.241,9.227,9.275,9.227
1741478940,9.227,9.223,9.247,9.223
1741479000,9.223,9.226,9.254,9.223
1741479060,9.226,9.182,9.227,9.166
1741479120,9.182,9.231,9.233,9.182
1741479180,9.231,9.207,9.237,9.207
1741479240,9.207,9.215,9.224,9.207
1741479300,9.215,9.22,9.224,9.181
1741479360,9.22,9.202,9.221,9.189
1741479420,9.202,9.161,9.202,9.16
1741479480,9.161,9.16,9.168,9.15
1741479540,9.16,9.177,9.194,9.16
1741479600,9.177,9.172,9.18,9.167
1741479660,9.172,9.178,9.191,9.172
1741479720,9.178,9.18,9.181,9.159
1741479780,9.18,9.171,9.181,9.157
1741479840,9.171,9.198,9.198,9.171
1741479900,9.198,9.177,9.2,9.177
1741479960,9.177,9.18,9.182,9.169
1741480020,9.18,9.18,9.193,9.169
1741480080,9.18,9.164,9.18,9.164
1741480140,9.164,9.175,9.182,9.164
1741480200,9.175,9.171,9.175,9.168
1741480260,9.171,9.178,9.185,9.161
1741480320,9.178,9.178,9.19,9.172
1741480380,9.178,9.152,9.178,9.139
1741480440,9.152,9.163,9.163,9.148
1741480500,9.163,9.147,9.163,9.143
1741480560,9.147,9.166,9.17,9.147
1741480620,9.166,9.184,9.187,9.166
1741480680,9.184,9.197,9.212,9.184
1741480740,9.197,9.212,9.22,9.197
1741480800,9.212,9.219,9.219,9.206
1741480860,9.219,9.181,9.219,9.181
1741480920,9.181,9.18,9.184,9.166
1741480980,9.18,9.191,9.193,9.18
1741481040,9.191,9.18,9.191,9.177
1741481100,9.18,9.177,9.189,9.176
1741481160,9.177,9.2,9.202,9.177
1741481220,9.2,9.182,9.201,9.182
1741481280,9.182,9.216,9.229,9.182
1741481340,9.216,9.201,9.216,9.193
1741481400,9.201,9.205,9.218,9.199
1741481460,9.205,9.22,9.22,9.205
1741481520,9.22,9.222,9.222,9.204
1741481580,9.222,9.21,9.238,9.208
1741481640,9.21,9.207,9.212,9.197
1741481700,9.207,9.205,9.217,9.202
1741481760,9.205,9.193,9.205,9.191
1741481820,9.193,9.186,9.199,9.181
1741481880,9.186,9.16,9.186,9.158
1741481940,9.16,9.148,9.16,9.148
1741482000,9.148,9.182,9.182,9.148
1741482060,9.182,9.181,9.189,9.169
1741482120,9.181,9.194,9.194,9.181
1741482180,9.194,9.182,9.194,9.176
1741482240,9.182,9.174,9.185,9.17
1741482300,9.174,9.168,9.176,9.167
1741482360,9.168,9.175,9.177,9.164
1741482420,9.175,9.162,9.175,9.156
1741482480,9.162,9.18,9.18,9.161
1741482540,9.18,9.194,9.198,9.178
1741482600,9.194,9.185,9.21,9.185
1741482660,9.185,9.17,9.186,9.17
1741482720,9.17,9.152,9.17,9.146
1741482780,9.152,9.173,9.173,9.152
1741482840,9.173,9.197,9.197,9.173
1741482900,9.197,9.212,9.212,9.196
1741482960,9.212,9.198,9.221,9.198
1741483020,9.198,9.178,9.199,9.176
1741483080,9.178,9.171,9.178,9.17
1741483140,9.171,9.166,9.174,9.165
1741483200,9.166,9.173,9.173,9.162
1741483260,9.173,9.167,9.173,9.165
1741483320,9.167,9.185,9.188,9.167
1741483380,9.185,9.171,9.185,9.171
1741483440,9.171,9.17,9.18,9.163
1741483500,9.17,9.169,9.172,9.161
1741483560,9.169,9.186,9.186,9.169
1741483620,9.186,9.18,9.187,9.18
1741483680,9.18,9.167,9.18,9.165
1741483740,9.167,9.186,9.187,9.167
1741483800,9.186,9.187,9.191,9.178
1741483860,9.187,9.18,9.21,9.179
1741483920,9.18,9.183,9.191,9.18
1741483980,9.183,9.183,9.191,9.183
1741484040,9.183,9.158,9.183,9.158
1741484100,9.158,9.159,9.169,9.158
1741484160,9.159,9.148,9.16,9.145
1741484220,9.148,9.149,9.152,9.144
1741484280,9.149,9.15,9.158,9.144
1741484340,9.15,9.153,9.153,9.14
1741484400,9.153,9.142,9.153,9.129
1741484460,9.142,9.15,9.153,9.142
1741484520,9.15,9.137,9.15,9.135
1741484580,9.137,9.159,9.159,9.137
1741484640,9.159,9.165,9.165,9.153
1741484700,9.165,9.15,9.165,9.138
1741484760,9.15,9.134,9.154,9.134
1741484820,9.134,9.152,9.152,9.134
1741484880,9.152,9.123,9.156,9.122
1741484940,9.123,9.122,9.123,9.11
1741485000,9.122,9.103,9.122,9.103
1741485060,9.103,9.107,9.109,9.098
1741485120,9.107,9.093,9.107,9.092
1741485180,9.093,9.08,9.093,9.068
1741485240,9.08,9.089,9.089,9.074
1741485300,9.089,9.096,9.099,9.089
1741485360,9.096,9.101,9.104,9.095
1741485420,9.101,9.125,9.125,9.101
1741485480,9.125,9.141,9.141,9.125
1741485540,9.141,9.124,9.141,9.124
1741485600,9.124,9.119,9.133,9.112
1741485660,9.119,9.143,9.143,9.119
1741485720,9.143,9.111,9.143,9.111
1741485780,9.111,9.134,9.134,9.111
1741485840,9.134,9.152,9.152,9.134
1741485900,9.152,9.143,9.162,9.143
1741485960,9.143,9.13,9.143,9.13
1741486020,9.13,9.132,9.133,9.129
1741486080,9.132,9.13,9.141,9.128
1741486140,9.13,9.123,9.14,9.123
1741486200,9.123,9.126,9.126,9.117
1741486260,9.126,9.111,9.126,9.106
1741486320,9.111,9.123,9.123,9.105
1741486380,9.123,9.135,9.135,9.121
1741486440,9.135,9.133,9.135,9.128
1741486500,9.133,9.131,9.135,9.122
1741486560,9.131,9.143,9.145,9.127
1741486620,9.143,9.154,9.156,9.143
1741486680,9.154,9.159,9.161,9.153
1741486740,9.159,9.139,9.16,9.139
1741486800,9.139,9.127,9.14,9.127
1741486860,9.127,9.128,9.13,9.12
1741486920,9.128,9.106,9.128,9.106
1741486980,9.106,9.106,9.112,9.101
1741487040,9.106,9.1,9.116,9.1
1741487100,9.1,9.1,9.105,9.1
1741487160,9.1,9.099,9.1,9.085
1741487220,9.099,9.103,9.108,9.09
1741487280,9.103,9.104,9.109,9.102
1741487340,9.104,9.109,9.109,9.1
1741487400,9.109,9.107,9.11,9.097
1741487460,9.107,9.09,9.107,9.085
1741487520,9.09,9.083,9.091,9.083
1741487580,9.083,9.087,9.098,9.083
1741487640,9.087,9.073,9.087,9.073
1741487700,9.073,9.069,9.073,9.064
1741487760,9.069,9.073,9.077,9.069
1741487820,9.073,9.075,9.083,9.073
1741487880,9.075,9.062,9.075,9.053
1741487940,9.062,9.057,9.062,9.057
1741488000,9.057,9.062,9.062,9.055
1741488060,9.062,9.059,9.062,9.057
1741488120,9.059,9.062,9.064,9.058
1741488180,9.062,9.071,9.072,9.06
1741488240,9.071,9.081,9.081,9.069
1741488300,9.081,9.112,9.113,9.081
1741488360,9.112,9.119,9.122,9.109
1741488420,9.119,9.108,9.12,9.103
1741488480,9.108,9.107,9.11,9.098
1741488540,9.107,9.104,9.107,9.099
1741488600,9.104,9.119,9.119,9.104
1741488660,9.119,9.107,9.12,9.107
1741488720,9.107,9.129,9.132,9.107
1741488780,9.129,9.141,9.141,9.129
1741488840,9.141,9.131,9.141,9.131
1741488900,9.131,9.144,9.144,9.13
1741488960,9.144,9.15,9.152,9.144
1741489020,9.15,9.143,9.15,9.141
1741489080,9.143,9.142,9.144,9.138
1741489140,9.142,9.14,9.142,9.137
1741489200,9.14,9.168,9.174,9.14
1741489260,9.168,9.154,9.168,9.148
1741489320,9.154,9.149,9.154,9.139
1741489380,9.149,9.143,9.149,9.14
1741489440,9.143,9.146,9.147,9.141
1741489500,9.146,9.13,9.15,9.13
1741489560,9.13,9.131,9.131,9.127
1741489620,9.131,9.132,9.144,9.131
1741489680,9.132,9.142,9.142,9.13
1741489740,9.142,9.147,9.147,9.137
1741489800,9.147,9.158,9.166,9.14
1741489860,9.158,9.148,9.169,9.126
1741489920,9.148,9.148,9.16,9.139
1741489980,9.148,9.156,9.162,9.148
1741490040,9.156,9.132,9.156,9.131
1741490100,9.132,9.14,9.148,9.132
1741490160,9.14,9.143,9.147,9.139
1741490220,9.143,9.152,9.155,9.143
1741490280,9.152,9.171,9.171,9.152
1741490340,9.171,9.183,9.186,9.171
1741490400,9.183,9.192,9.192,9.176
1741490460,9.192,9.191,9.193,9.189
1741490520,9.191,9.201,9.211,9.191
1741490580,9.201,9.198,9.204,9.193
1741490640,9.198,9.19,9.198,9.19
1741490700,9.19,9.2,9.2,9.189
1741490760,9.2,9.187,9.206,9.186
1741490820,9.187,9.218,9.22,9.187
1741490880,9.218,9.225,9.237,9.218
1741490940,9.225,9.229,9.232,9.225
1741491000,9.229,9.242,9.257,9.229
1741491060,9.242,9.25,9.258,9.242
1741491120,9.25,9.258,9.259,9.245
1741491180,9.258,9.265,9.278,9.256
1741491240,9.265,9.288,9.292,9.265
1741491300,9.288,9.294,9.296,9.277
1741491360,9.294,9.298,9.312,9.294
1741491420,9.298,9.284,9.298,9.284
1741491480,9.284,9.315,9.315,9.284
1741491540,9.315,9.342,9.342,9.315
1741491600,9.342,9.311,9.342,9.311
1741491660,9.311,9.329,9.329,9.311
1741491720,9.329,9.305,9.329,9.305
1741491780,9.305,9.287,9.305,9.285
1741491840,9.287,9.285,9.3,9.285
1741491900,9.285,9.26,9.285,9.26
1741491960,9.26,9.28,9.283,9.257
1741492020,9.28,9.294,9.295,9.28
1741492080,9.294,9.27,9.294,9.27
1741492140,9.27,9.253,9.27,9.253
1741492200,9.253,9.253,9.259,9.245
1741492260,9.253,9.26,9.26,9.249
1741492320,9.26,9.281,9.281,9.254
1741492380,9.281,9.284,9.289,9.271
1741492440,9.284,9.292,9.296,9.284
1741492500,9.292,9.286,9.295,9.286
1741492560,9.286,9.294,9.299,9.286
1741492620,9.294,9.293,9.298,9.288
1741492680,9.293,9.281,9.294,9.281
1741492740,9.281,9.286,9.286,9.269
1741492800,9.286,9.275,9.286,9.275
1741492860,9.275,9.274,9.275,9.269
1741492920,9.274,9.272,9.286,9.266
1741492980,9.272,9.263,9.274,9.263
1741493040,9.263,9.247,9.271,9.247
1741493100,9.247,9.249,9.249,9.237
1741493160,9.249,9.242,9.249,9.235
1741493220,9.242,9.245,9.25,9.237
1741493280,9.245,9.24,9.249,9.239
1741493340,9.24,9.224,9.246,9.219
1741493400,9.224,9.229,9.229,9.22
1741493460,9.229,9.252,9.252,9.229
1741493520,9.252,9.258,9.266,9.251
1741493580,9.258,9.242,9.267,9.239
1741493640,9.242,9.239,9.242,9.236
1741493700,9.239,9.221,9.239,9.217
1741493760,9.221,9.238,9.241,9.221
1741493820,9.238,9.238,9.238,9.231
1741493880,9.238,9.244,9.262,9.238
1741493940,9.244,9.235,9.249,9.235
1741494000,9.235,9.236,9.236,9.227
1741494060,9.236,9.22,9.236,9.22
1741494120,9.22,9.192,9.22,9.192
1741494180,9.192,9.206,9.214,9.177
1741494240,9.206,9.211,9.228,9.206
1741494300,9.211,9.221,9.226,9.209
1741494360,9.221,9.206,9.221,9.199
1741494420,9.206,9.22,9.22,9.206
1741494480,9.22,9.229,9.234,9.21
1741494540,9.229,9.239,9.239,9.229
1741494600,9.239,9.242,9.242,9.234
1741494660,9.242,9.271,9.271,9.242
1741494720,9.271,9.28,9.283,9.271
1741494780,9.28,9.266,9.28,9.263
1741494840,9.266,9.275,9.282,9.266
1741494900,9.275,9.253,9.275,9.241
1741494960,9.253,9.256,9.259,9.252
1741495020,9.256,9.249,9.257,9.248
1741495080,9.249,9.254,9.259,9.247
1741495140,9.254,9.276,9.277,9.254
1741495200,9.276,9.284,9.289,9.268
1741495260,9.284,9.29,9.293,9.284
1741495320,9.29,9.282,9.29,9.275
1741495380,9.282,9.275,9.282,9.275
1741495440,9.275,9.277,9.284,9.275
1741495500,9.277,9.278,9.279,9.27
1741495560,9.278,9.276,9.281,9.276
1741495620,9.276,9.273,9.276,9.27
1741495680,9.273,9.25,9.273,9.243
1741495740,9.25,9.256,9.261,9.25
1741495800,9.256,9.25,9.256,9.25
1741495860,9.25,9.273,9.273,9.247
1741495920,9.273,9.27,9.275,9.27
1741495980,9.27,9.283,9.283,9.27
1741496040,9.283,9.272,9.283,9.272
1741496100,9.272,9.273,9.273,9.269
1741496160,9.273,9.278,9.281,9.272
1741496220,9.278,9.281,9.287,9.275
1741496280,9.281,9.301,9.304,9.281
1741496340,9.301,9.282,9.302,9.282
1741496400,9.282,9.284,9.295,9.273
1741496460,9.284,9.277,9.284,9.271
1741496520,9.277,9.292,9.293,9.277
1741496580,9.292,9.293,9.294,9.287
1741496640,9.293,9.282,9.293,9.282
1741496700,9.282,9.302,9.303,9.282
1741496760,9.302,9.295,9.302,9.295
1741496820,9.295,9.299,9.303,9.289
1741496880,9.299,9.318,9.318,9.299
1741496940,9.318,9.302,9.318,9.302
1741497000,9.302,9.279,9.302,9.279
1741497060,9.279,9.296,9.301,9.279
1741497120,9.296,9.296,9.3,9.295
1741497180,9.296,9.304,9.311,9.289
1741497240,9.304,9.298,9.304,9.298
1741497300,9.298,9.311,9.312,9.298
1741497360,9.311,9.333,9.344,9.311
1741497420,9.333,9.335,9.346,9.333
1741497480,9.335,9.328,9.335,9.322
1741497540,9.328,9.327,9.334,9.324
1741497600,9.327,9.348,9.352,9.327
1741497660,9.348,9.335,9.349,9.335
1741497720,9.335,9.331,9.34,9.331
1741497780,9.331,9.34,9.345,9.331
1741497840,9.34,9.349,9.362,9.339
1741497900,9.349,9.341,9.351,9.335
1741497960,9.341,9.35,9.353,9.337
1741498020,9.35,9.35,9.356,9.35
1741498080,9.35,9.347,9.352,9.347
1741498140,9.347,9.342,9.347,9.337
1741498200,9.342,9.326,9.342,9.325
1741498260,9.326,9.367,9.374,9.324
1741498320,9.367,9.355,9.375,9.354
1741498380,9.355,9.334,9.357,9.331
1741498440,9.334,9.323,9.343,9.323
1741498500,9.323,9.311,9.332,9.311
1741498560,9.311,9.302,9.311,9.284
1741498620,9.302,9.299,9.31,9.299
1741498680,9.299,9.32,9.321,9.299
1741498740,9.32,9.356,9.365,9.319
1741498800,9.356,9.343,9.356,9.343
1741498860,9.343,9.325,9.343,9.322
1741498920,9.325,9.316,9.326,9.313
1741498980,9.316,9.302,9.316,9.302
1741499040,9.302,9.308,9.311,9.302
1741499100,9.308,9.302,9.308,9.3
1741499160,9.302,9.271,9.302,9.271
1741499220,9.271,9.284,9.295,9.271
1741499280,9.284,9.272,9.284,9.27
1741499340,9.272,9.276,9.282,9.272
1741499400,9.276,9.253,9.278,9.253
1741499460,9.253,9.25,9.256,9.238
1741499520,9.25,9.229,9.25,9.229
1741499580,9.229,9.238,9.238,9.227
1741499640,9.238,9.249,9.253,9.238
1741499700,9.249,9.238,9.251,9.235
1741499760,9.238,9.236,9.238,9.227
1741499820,9.236,9.229,9.24,9.228
1741499880,9.229,9.229,9.234,9.226
1741499940,9.229,9.229,9.229,9.221
1741500000,9.229,9.23,9.232,9.228
1741500060,9.23,9.191,9.23,9.174
1741500120,9.191,9.188,9.195,9.188
1741500180,9.188,9.148,9.188,9.141
1741500240,9.148,9.142,9.153,9.139
1741500300,9.142,9.15,9.154,9.142
1741500360,9.15,9.154,9.154,9.143
1741500420,9.154,9.155,9.159,9.141
1741500480,9.155,9.149,9.155,9.137
1741500540,9.149,9.162,9.163,9.149
1741500600,9.162,9.147,9.162,9.147
1741500660,9.147,9.131,9.147,9.131
1741500720,9.131,9.146,9.151,9.131
1741500780,9.146,9.152,9.152,9.146
1741500840,9.152,9.139,9.155,9.139
1741500900,9.139,9.103,9.139,9.103
1741500960,9.103,9.119,9.119,9.1
1741501020,9.119,9.112,9.119,9.108
1741501080,9.112,9.14,9.14,9.112
1741501140,9.14,9.15,9.151,9.14
1741501200,9.15,9.173,9.173,9.148
1741501260,9.173,9.182,9.185,9.17
1741501320,9.182,9.195,9.195,9.181
1741501380,9.195,9.188,9.196,9.186
1741501440,9.188,9.179,9.188,9.179
1741501500,9.179,9.206,9.206,9.179
1741501560,9.206,9.214,9.219,9.206
1741501620,9.214,9.207,9.222,9.207
1741501680,9.207,9.224,9.224,9.207
1741501740,9.224,9.217,9.229,9.217
1741501800,9.217,9.234,9.234,9.206
1741501860,9.234,9.247,9.252,9.234
1741501920,9.247,9.255,9.255,9.236
1741501980,9.255,9.275,9.291,9.255
1741502040,9.275,9.244,9.275,9.229
1741502100,9.244,9.25,9.25,9.239
1741502160,9.25,9.264,9.267,9.25
1741502220,9.264,9.272,9.273,9.253
1741502280,9.272,9.273,9.278,9.256
1741502340,9.273,9.275,9.279,9.272
1741502400,9.275,9.287,9.287,9.272
1741502460,9.287,9.287,9.3,9.287
1741502520,9.287,9.293,9.295,9.287
1741502580,9.293,9.303,9.304,9.292
1741502640,9.303,9.29,9.304,9.29
1741502700,9.29,9.304,9.304,9.288
1741502760,9.304,9.278,9.304,9.278
1741502820,9.278,9.284,9.286,9.276
1741502880,9.284,9.316,9.318,9.282
1741502940,9.316,9.311,9.321,9.305
1741503000,9.311,9.306,9.313,9.306
1741503060,9.306,9.304,9.309,9.304
1741503120,9.304,9.305,9.305,9.299
1741503180,9.305,9.318,9.323,9.305
1741503240,9.318,9.307,9.318,9.307
1741503300,9.307,9.28,9.322,9.276
1741503360,9.28,9.309,9.317,9.28
1741503420,9.309,9.335,9.335,9.309
1741503480,9.335,9.345,9.348,9.335
1741503540,9.345,9.322,9.352,9.321
1741503600,9.322,9.317,9.337,9.315
1741503660,9.317,9.315,9.317,9.297
1741503720,9.315,9.305,9.319,9.305
1741503780,9.305,9.297,9.305,9.287
1741503840,9.297,9.291,9.298,9.289
1741503900,9.291,9.268,9.291,9.268
1741503960,9.268,9.279,9.283,9.268
1741504020,9.279,9.274,9.283,9.274
1741504080,9.274,9.279,9.279,9.258
1741504140,9.279,9.284,9.291,9.279
1741504200,9.284,9.292,9.292,9.283
1741504260,9.292,9.283,9.292,9.278
1741504320,9.283,9.277,9.283,9.276
