time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,8.215e-06,8.211e-06,8.222e-06,8.207e-06,758.0,62252.03,8.218e-06,8.211e-06,8.222e-06,8.207e-06
1740700860,8.211e-06,8.208e-06,8.228e-06,8.208e-06,924.0,75920.75,8.214e-06,8.208e-06,8.228e-06,8.208e-06
1740700920,8.208e-06,8.231e-06,8.239e-06,8.208e-06,700.0,57595.42,8.215e-06,8.231e-06,8.239e-06,8.213e-06
1740700980,8.231e-06,8.226e-06,8.231e-06,8.214e-06,655.0,53858.75,8.226e-06,8.226e-06,8.227e-06,8.214e-06
1740701040,8.226e-06,8.245e-06,8.245e-06,8.224e-06,384.0,31636.73,8.229e-06,8.245e-06,8.245e-06,8.224e-06
1740701100,8.245e-06,8.253e-06,8.259e-06,8.243e-06,478.0,39442.7,8.243e-06,8.253e-06,8.259e-06,8.243e-06
1740701160,8.253e-06,8.234e-06,8.258e-06,8.23e-06,600.0,49478.69,8.254e-06,8.234e-06,8.258e-06,8.23e-06
1740701220,8.234e-06,8.234e-06,8.238e-06,8.231e-06,796.0,65527.58,8.238e-06,8.234e-06,8.238e-06,8.231e-06
1740701280,8.234e-06,8.233e-06,8.24e-06,8.23e-06,420.0,34567.35,8.231e-06,8.233e-06,8.24e-06,8.23e-06
1740701340,8.233e-06,8.243e-06,8.248e-06,8.233e-06,517.0,42615.05,8.237e-06,8.243e-06,8.248e-06,8.237e-06
1740701400,8.243e-06,8.234e-06,8.243e-06,8.234e-06,91.0,7500.9,8.242e-06,8.234e-06,8.243e-06,8.234e-06
1740701460,8.234e-06,8.227e-06,8.239e-06,8.227e-06,887.0,73023.45,8.234e-06,8.227e-06,8.239e-06,8.227e-06
1740701520,8.227e-06,8.234e-06,8.236e-06,8.225e-06,868.0,71412.25,8.225e-06,8.234e-06,8.236e-06,8.225e-06
1740701580,8.234e-06,8.217e-06,8.235e-06,8.217e-06,554.0,45532.22,8.235e-06,8.217e-06,8.235e-06,8.217e-06
1740701640,8.217e-06,8.209e-06,8.219e-06,8.209e-06,701.0,57574.13,8.219e-06,8.209e-06,8.219e-06,8.209e-06
1740701700,8.209e-06,8.2e-06,8.21e-06,8.2e-06,515.0,42239.0,8.21e-06,8.2e-06,8.21e-06,8.2e-06
1740701760,8.2e-06,8.21e-06,8.214e-06,8.2e-06,805.0,66072.0,8.204e-06,8.21e-06,8.214e-06,8.203e-06
1740701820,8.21e-06,8.202e-06,8.222e-06,8.202e-06,633.0,51991.56,8.21e-06,8.202e-06,8.222e-06,8.202e-06
1740701880,8.202e-06,8.207e-06,8.219e-06,8.202e-06,606.0,49750.53,8.204e-06,8.207e-06,8.219e-06,8.203e-06
1740701940,8.207e-06,8.225e-06,8.225e-06,8.207e-06,300.0,24664.43,8.207e-06,8.225e-06,8.225e-06,8.207e-06
1740702000,8.225e-06,8.226e-06,8.227e-06,8.225e-06,626.0,51495.0,8.227e-06,8.226e-06,8.227e-06,8.225e-06
1740702060,8.226e-06,8.219e-06,8.226e-06,8.214e-06,495.0,40666.65,8.223e-06,8.219e-06,8.223e-06,8.214e-06
1740702120,8.219e-06,8.215e-06,8.22e-06,8.206e-06,626.0,51417.97,8.22e-06,8.215e-06,8.22e-06,8.206e-06
1740702180,8.215e-06,8.233e-06,8.237e-06,8.215e-06,317.0,26083.85,8.222e-06,8.233e-06,8.237e-06,8.222e-06
1740702240,8.233e-06,8.249e-06,8.25e-06,8.233e-06,964.0,79497.08,8.234e-06,8.249e-06,8.25e-06,8.234e-06
1740702300,8.249e-06,8.241e-06,8.249e-06,8.238e-06,675.0,55651.12,8.248e-06,8.241e-06,8.248e-06,8.238e-06
1740702360,8.241e-06,8.224e-06,8.241e-06,8.219e-06,830.0,68262.87,8.241e-06,8.224e-06,8.241e-06,8.219e-06
1740702420,8.224e-06,8.214e-06,8.224e-06,8.213e-06,917.0,75355.35,8.223e-06,8.214e-06,8.223e-06,8.213e-06
1740702480,8.214e-06,8.213e-06,8.22e-06,8.213e-06,15.0,1232.51,8.217e-06,8.213e-06,8.22e-06,8.213e-06
1740702540,8.213e-06,8.207e-06,8.213e-06,8.207e-06,95.0,7799.01,8.213e-06,8.207e-06,8.213e-06,8.207e-06
1740702600,8.207e-06,8.186e-06,8.207e-06,8.182e-06,2942.0,241200.71,8.206e-06,8.186e-06,8.206e-06,8.182e-06
1740702660,8.186e-06,8.19e-06,8.192e-06,8.184e-06,351.0,28734.25,8.186e-06,8.19e-06,8.192e-06,8.184e-06
1740702720,8.19e-06,8.199e-06,8.209e-06,8.19e-06,738.0,60537.06,8.192e-06,8.199e-06,8.209e-06,8.192e-06
1740702780,8.199e-06,8.191e-06,8.205e-06,8.191e-06,531.0,43516.2,8.202e-06,8.191e-06,8.205e-06,8.191e-06
1740702840,8.191e-06,8.211e-06,8.211e-06,8.191e-06,322.0,26432.9,8.198e-06,8.211e-06,8.211e-06,8.198e-06
1740702900,8.211e-06,8.2e-06,8.211e-06,8.2e-06,538.0,44139.13,8.208e-06,8.2e-06,8.208e-06,8.2e-06
1740702960,8.2e-06,8.195e-06,8.2e-06,8.191e-06,342.0,28029.21,8.198e-06,8.195e-06,8.198e-06,8.191e-06
1740703020,8.195e-06,8.218e-06,8.219e-06,8.195e-06,814.0,66832.99,8.198e-06,8.218e-06,8.219e-06,8.198e-06
1740703080,8.218e-06,8.228e-06,8.236e-06,8.217e-06,511.0,42035.79,8.217e-06,8.228e-06,8.236e-06,8.217e-06
1740703140,8.228e-06,8.231e-06,8.232e-06,8.226e-06,132.0,10860.05,8.228e-06,8.231e-06,8.232e-06,8.226e-06
1740703200,8.231e-06,8.219e-06,8.232e-06,8.219e-06,62.0,5101.56,8.231e-06,8.219e-06,8.232e-06,8.219e-06
1740703260,8.219e-06,8.215e-06,8.219e-06,8.211e-06,86.0,7062.28,8.215e-06,8.215e-06,8.215e-06,8.211e-06
1740703320,8.215e-06,8.206e-06,8.215e-06,8.203e-06,373.0,30602.21,8.208e-06,8.206e-06,8.209e-06,8.203e-06
1740703380,8.206e-06,8.207e-06,8.21e-06,8.206e-06,92.0,7551.36,8.21e-06,8.207e-06,8.21e-06,8.207e-06
1740703440,8.207e-06,8.205e-06,8.208e-06,8.196e-06,176.0,14431.91,8.208e-06,8.205e-06,8.208e-06,8.196e-06
1740703500,8.205e-06,8.204e-06,8.209e-06,8.2e-06,7741.0,635210.12,8.209e-06,8.204e-06,8.209e-06,8.2e-06
1740703560,8.204e-06,8.191e-06,8.204e-06,8.191e-06,67.0,5493.96,8.204e-06,8.191e-06,8.204e-06,8.191e-06
1740703620,8.191e-06,8.184e-06,8.199e-06,8.183e-06,6410.0,525167.66,8.188e-06,8.184e-06,8.199e-06,8.183e-06
1740703680,8.184e-06,8.167e-06,8.184e-06,8.167e-06,4068.0,332581.95,8.183e-06,8.167e-06,8.183e-06,8.167e-06
1740703740,8.167e-06,8.156e-06,8.167e-06,8.15e-06,3686.0,300583.35,8.166e-06,8.156e-06,8.166e-06,8.15e-06
1740703800,8.156e-06,8.151e-06,8.157e-06,8.151e-06,534.0,43541.32,8.152e-06,8.151e-06,8.157e-06,8.151e-06
1740703860,8.151e-06,8.143e-06,8.155e-06,8.133e-06,2823.0,229782.76,8.155e-06,8.143e-06,8.155e-06,8.133e-06
1740703920,8.143e-06,8.138e-06,8.143e-06,8.128e-06,998.0,81162.25,8.136e-06,8.138e-06,8.138e-06,8.128e-06
1740703980,8.138e-06,8.129e-06,8.141e-06,8.129e-06,356.0,28948.28,8.141e-06,8.129e-06,8.141e-06,8.129e-06
1740704040,8.129e-06,8.136e-06,8.139e-06,8.129e-06,317.0,25788.05,8.13e-06,8.136e-06,8.139e-06,8.13e-06
1740704100,8.136e-06,8.14e-06,8.143e-06,8.136e-06,5620.0,457534.81,8.136e-06,8.14e-06,8.143e-06,8.136e-06
1740704160,8.14e-06,8.138e-06,8.142e-06,8.137e-06,28.0,2278.8,8.141e-06,8.138e-06,8.142e-06,8.137e-06
1740704220,8.138e-06,8.146e-06,8.152e-06,8.138e-06,1947.0,158626.94,8.142e-06,8.146e-06,8.152e-06,8.142e-06
1740704280,8.146e-06,8.15e-06,8.159e-06,8.146e-06,155.0,12640.49,8.15e-06,8.15e-06,8.159e-06,8.15e-06
1740704340,8.15e-06,8.132e-06,8.15e-06,8.132e-06,32.0,2605.97,8.15e-06,8.132e-06,8.15e-06,8.132e-06
1740704400,8.132e-06,8.146e-06,8.146e-06,8.13e-06,2476.0,201479.22,8.13e-06,8.146e-06,8.146e-06,8.13e-06
1740704460,8.146e-06,8.147e-06,8.148e-06,8.139e-06,1671.0,136016.88,8.145e-06,8.147e-06,8.148e-06,8.139e-06
1740704520,8.147e-06,8.161e-06,8.162e-06,8.147e-06,6640.0,541453.45,8.152e-06,8.161e-06,8.162e-06,8.151e-06
1740704580,8.161e-06,8.16e-06,8.164e-06,8.158e-06,766.0,62504.64,8.16e-06,8.16e-06,8.164e-06,8.158e-06
1740704640,8.16e-06,8.167e-06,8.168e-06,8.157e-06,255.0,20809.02,8.161e-06,8.167e-06,8.168e-06,8.157e-06
1740704700,8.167e-06,8.151e-06,8.169e-06,8.149e-06,814.0,66361.79,8.167e-06,8.151e-06,8.169e-06,8.149e-06
1740704760,8.151e-06,8.143e-06,8.154e-06,8.139e-06,612.0,49853.35,8.152e-06,8.143e-06,8.154e-06,8.139e-06
1740704820,8.143e-06,8.14e-06,8.145e-06,8.137e-06,1799.0,146407.56,8.145e-06,8.14e-06,8.145e-06,8.137e-06
1740704880,8.14e-06,8.151e-06,8.151e-06,8.138e-06,149.0,12132.67,8.138e-06,8.151e-06,8.151e-06,8.138e-06
1740704940,8.151e-06,8.156e-06,8.156e-06,8.151e-06,47.0,3831.14,8.153e-06,8.156e-06,8.156e-06,8.151e-06
1740705000,8.156e-06,8.158e-06,8.159e-06,8.154e-06,786.0,64091.57,8.154e-06,8.158e-06,8.159e-06,8.154e-06
1740705060,8.158e-06,8.159e-06,8.165e-06,8.156e-06,57.0,4651.71,8.156e-06,8.159e-06,8.165e-06,8.156e-06
1740705120,8.159e-06,8.167e-06,8.17e-06,8.159e-06,100.0,8166.71,8.163e-06,8.167e-06,8.17e-06,8.161e-06
1740705180,8.167e-06,8.175e-06,8.175e-06,8.167e-06,156.0,12745.92,8.17e-06,8.175e-06,8.175e-06,8.167e-06
1740705240,8.175e-06,8.175e-06,8.177e-06,8.171e-06,153.0,12509.48,8.176e-06,8.175e-06,8.177e-06,8.171e-06
1740705300,8.175e-06,8.169e-06,8.177e-06,8.164e-06,81.0,6616.6,8.174e-06,8.169e-06,8.177e-06,8.164e-06
1740705360,8.169e-06,8.129e-06,8.169e-06,8.114e-06,2040.0,165658.43,8.169e-06,8.129e-06,8.169e-06,8.114e-06
1740705420,8.129e-06,8.134e-06,8.136e-06,8.126e-06,2039.0,165809.48,8.127e-06,8.134e-06,8.136e-06,8.126e-06
1740705480,8.134e-06,8.142e-06,8.143e-06,8.134e-06,180.0,14643.85,8.135e-06,8.142e-06,8.143e-06,8.135e-06
1740705540,8.142e-06,8.124e-06,8.142e-06,8.123e-06,2120.0,172274.8,8.138e-06,8.124e-06,8.138e-06,8.123e-06
1740705600,8.124e-06,8.128e-06,8.128e-06,8.122e-06,87.0,7068.08,8.124e-06,8.128e-06,8.128e-06,8.122e-06
1740705660,8.128e-06,8.117e-06,8.137e-06,8.117e-06,374.0,30395.42,8.134e-06,8.117e-06,8.137e-06,8.117e-06
1740705720,8.117e-06,8.094e-06,8.125e-06,8.094e-06,5067.0,410714.25,8.124e-06,8.094e-06,8.125e-06,8.094e-06
1740705780,8.094e-06,8.095e-06,8.097e-06,8.082e-06,439.0,35488.09,8.09e-06,8.095e-06,8.097e-06,8.082e-06
1740705840,8.095e-06,8.064e-06,8.099e-06,8.054e-06,949.0,76720.69,8.096e-06,8.064e-06,8.099e-06,8.054e-06
1740705900,8.064e-06,8.039e-06,8.065e-06,8.032e-06,6501.0,523410.58,8.065e-06,8.039e-06,8.065e-06,8.032e-06
1740705960,8.039e-06,8.038e-06,8.051e-06,8.038e-06,1354.0,108883.27,8.038e-06,8.038e-06,8.051e-06,8.038e-06
1740706020,8.038e-06,8.025e-06,8.038e-06,8.007e-06,5455.0,437407.15,8.03e-06,8.025e-06,8.03e-06,8.007e-06
1740706080,8.025e-06,7.998e-06,8.03e-06,7.972e-06,2999.0,239772.98,8.026e-06,7.998e-06,8.03e-06,7.972e-06
1740706140,7.998e-06,7.999e-06,8.013e-06,7.998e-06,3093.0,247675.47,8.008e-06,7.999e-06,8.013e-06,7.998e-06
1740706200,7.999e-06,7.928e-06,7.999e-06,7.895e-06,8599.0,683440.03,7.997e-06,7.928e-06,7.997e-06,7.895e-06
1740706260,7.928e-06,7.924e-06,7.946e-06,7.886e-06,1134.0,89747.57,7.9e-06,7.924e-06,7.946e-06,7.886e-06
1740706320,7.924e-06,7.878e-06,7.945e-06,7.854e-06,7667.0,604156.02,7.919e-06,7.878e-06,7.945e-06,7.854e-06
1740706380,7.878e-06,7.851e-06,7.895e-06,7.812e-06,3574.0,280399.44,7.855e-06,7.851e-06,7.895e-06,7.812e-06
