time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1741219200,1.9329,1.9387,1.9396,1.9327,94635.0,183184.6312,1.9328,1.9387,1.9396,1.9327
1741219260,1.9387,1.9341,1.94,1.9321,135972.0,263247.1498,1.9381,1.9341,1.94,1.9321
1741219320,1.9341,1.9253,1.9356,1.9241,145405.0,280582.8548,1.9335,1.9253,1.9356,1.9241
1741219380,1.9253,1.9297,1.9319,1.9241,90274.0,174022.1503,1.9254,1.9297,1.9319,1.9241
1741219440,1.9297,1.9293,1.9304,1.9252,52465.0,101139.2285,1.9301,1.9293,1.9304,1.9252
1741219500,1.9293,1.9274,1.93,1.9252,82659.0,159345.6321,1.9282,1.9274,1.93,1.9252
1741219560,1.9274,1.9258,1.9274,1.9241,70999.0,136741.556,1.9272,1.9258,1.9274,1.9241
1741219620,1.9258,1.9223,1.9274,1.9223,84339.0,162287.7914,1.9263,1.9223,1.9274,1.9223
1741219680,1.9223,1.9241,1.9242,1.9207,137261.0,263892.9114,1.9225,1.9241,1.9242,1.9207
1741219740,1.9241,1.9105,1.9242,1.9102,159075.0,305057.1807,1.9241,1.9105,1.9242,1.9102
1741219800,1.9105,1.9175,1.9184,1.9105,68810.0,131780.8583,1.9109,1.9175,1.9184,1.9109
1741219860,1.9175,1.9156,1.9188,1.9152,43674.0,83735.6504,1.9175,1.9156,1.9188,1.9152
1741219920,1.9156,1.9178,1.9198,1.9146,50672.0,97178.2971,1.915,1.9178,1.9198,1.9146
1741219980,1.9178,1.9227,1.9227,1.9178,37825.0,72680.8286,1.9188,1.9227,1.9227,1.9187
1741220040,1.9227,1.9216,1.9227,1.921,56434.0,108457.3685,1.9227,1.9216,1.9227,1.921
1741220100,1.9216,1.9264,1.9283,1.9216,93916.0,180914.3911,1.9224,1.9264,1.9283,1.9224
1741220160,1.9264,1.9282,1.9293,1.9248,60423.0,116488.2661,1.9252,1.9282,1.9293,1.9248
1741220220,1.9282,1.9312,1.9327,1.9282,90616.0,175002.0977,1.9294,1.9312,1.9327,1.9292
1741220280,1.9312,1.9366,1.9374,1.931,68917.0,133286.3323,1.9317,1.9366,1.9374,1.931
