time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.27681,0.27659,0.27687,0.27659,1554.0,4301.2828,0.27673,0.27659,0.27687,0.27659
1740700860,0.27659,0.27658,0.27719,0.27658,3349.0,9268.2558,0.27668,0.27658,0.27719,0.27658
1740700920,0.27658,0.27712,0.27726,0.27658,1514.0,4193.009,0.27677,0.27712,0.27726,0.27677
1740700980,0.27712,0.27692,0.27712,0.27666,863.0,2389.9699,0.27696,0.27692,0.27696,0.27666
1740701040,0.27692,0.27731,0.2774,0.27681,2092.0,5802.8705,0.27682,0.27731,0.2774,0.27681
1740701100,0.27731,0.2773,0.27738,0.27719,1581.0,4383.2743,0.27738,0.2773,0.27738,0.27719
1740701160,0.2773,0.27674,0.27736,0.27674,28.0,77.5496,0.27736,0.27674,0.27736,0.27674
1740701220,0.27674,0.2766,0.27674,0.27641,817.0,2258.5297,0.27668,0.2766,0.27668,0.27641
1740701280,0.2766,0.2768,0.2768,0.27644,1845.0,5103.8245,0.27645,0.2768,0.2768,0.27644
1740701340,0.2768,0.27702,0.27721,0.2768,815.0,2259.053,0.27689,0.27702,0.27721,0.27689
1740701400,0.27702,0.27655,0.27702,0.27655,65.0,179.8857,0.27691,0.27655,0.27694,0.27655
1740701460,0.27655,0.27634,0.27658,0.27634,4674.0,12923.3666,0.27656,0.27634,0.27658,0.27634
1740701520,0.27634,0.27655,0.27655,0.27622,798.0,2205.0222,0.27622,0.27655,0.27655,0.27622
1740701580,0.27655,0.27602,0.27655,0.27602,776.0,2145.371,0.27651,0.27602,0.27651,0.27602
1740701640,0.27602,0.27596,0.27602,0.2758,2464.0,6796.8634,0.27599,0.27596,0.27601,0.2758
1740701700,0.27596,0.27579,0.27596,0.27569,2940.0,8107.5507,0.27591,0.27579,0.27593,0.27569
1740701760,0.27579,0.27593,0.27606,0.27579,1639.0,4522.4379,0.27583,0.27593,0.27606,0.27583
1740701820,0.27593,0.27555,0.27612,0.27555,1608.0,4437.0708,0.27596,0.27555,0.27612,0.27555
1740701880,0.27555,0.2757,0.27607,0.2754,1846.0,5090.9367,0.2754,0.2757,0.27607,0.2754
1740701940,0.2757,0.27639,0.27641,0.2757,2478.0,6844.5446,0.27581,0.27639,0.27641,0.27581
1740702000,0.27639,0.27648,0.27654,0.27636,65.0,179.6712,0.27636,0.27648,0.27654,0.27636
1740702060,0.27648,0.27622,0.27648,0.27615,2487.0,6872.0478,0.27648,0.27622,0.27648,0.27615
1740702120,0.27622,0.27632,0.27632,0.27594,1690.0,4664.269,0.27623,0.27632,0.27632,0.27594
1740702180,0.27632,0.27667,0.27667,0.27632,854.0,2361.0797,0.27636,0.27667,0.27667,0.27636
1740702240,0.27667,0.27672,0.27685,0.2766,2118.0,5861.3309,0.2766,0.27672,0.27685,0.2766
1740702300,0.27672,0.2763,0.27672,0.27626,127.0,351.0489,0.27648,0.2763,0.27653,0.27626
1740702360,0.2763,0.27578,0.27631,0.27578,83.0,229.13,0.27631,0.27578,0.27631,0.27578
1740702420,0.27578,0.27609,0.2761,0.27578,2590.0,7147.8829,0.27594,0.27609,0.2761,0.27587
1740702480,0.27609,0.27608,0.2762,0.27606,910.0,2512.8445,0.27606,0.27608,0.2762,0.27606
1740702540,0.27608,0.27579,0.27608,0.27579,35.0,96.563,0.27592,0.27579,0.27594,0.27579
1740702600,0.27579,0.27535,0.27589,0.27535,1807.0,4983.3044,0.27568,0.27535,0.27589,0.27535
1740702660,0.27535,0.27573,0.27574,0.27535,981.0,2703.2553,0.27541,0.27573,0.27574,0.27541
1740702720,0.27573,0.27588,0.27611,0.27573,917.0,2529.9296,0.27577,0.27588,0.27611,0.27577
1740702780,0.27588,0.27571,0.27606,0.27571,1793.0,4948.994,0.27602,0.27571,0.27606,0.27571
1740702840,0.27571,0.27624,0.27624,0.27571,909.0,2508.4193,0.27595,0.27624,0.27624,0.27593
1740702900,0.27624,0.27599,0.27627,0.27591,1302.0,3595.017,0.27627,0.27599,0.27627,0.27591
1740702960,0.27599,0.27591,0.27599,0.2757,10662.0,29405.5,0.27586,0.27591,0.27591,0.2757
1740703020,0.27591,0.27637,0.27637,0.2758,1857.0,5127.1532,0.2758,0.27637,0.27637,0.2758
1740703080,0.27637,0.27668,0.27668,0.27634,19.0,52.5454,0.27634,0.27668,0.27668,0.27634
1740703140,0.27668,0.27683,0.27683,0.2766,1066.0,2948.7762,0.27661,0.27683,0.27683,0.2766
1740703200,0.27683,0.27659,0.27692,0.27655,2707.0,7492.5617,0.27682,0.27659,0.27692,0.27655
1740703260,0.27659,0.27643,0.27667,0.27643,2250.0,6221.9765,0.27656,0.27643,0.27667,0.27643
1740703320,0.27643,0.2762,0.27644,0.27618,63.0,174.062,0.27644,0.2762,0.27644,0.27618
1740703380,0.2762,0.27625,0.27627,0.2762,956.0,2640.825,0.2762,0.27625,0.27627,0.2762
1740703440,0.27625,0.27619,0.27626,0.27592,1928.0,5322.5519,0.27626,0.27619,0.27626,0.27592
1740703500,0.27619,0.27607,0.27627,0.27606,2872.0,7931.9826,0.27627,0.27607,0.27627,0.27606
1740703560,0.27607,0.27589,0.27612,0.27589,2329.0,6428.4489,0.27601,0.27589,0.27612,0.27589
1740703620,0.27589,0.27597,0.27602,0.27581,1332.0,3675.3251,0.27581,0.27597,0.27602,0.27581
1740703680,0.27597,0.27538,0.27597,0.27538,1027.0,2828.1997,0.27569,0.27538,0.27569,0.27538
1740703740,0.27538,0.27542,0.27551,0.27508,1005.0,2768.1082,0.27542,0.27542,0.27551,0.27508
1740703800,0.27542,0.27552,0.27577,0.27542,916.0,2523.9736,0.27561,0.27552,0.27577,0.27552
1740703860,0.27552,0.2755,0.27575,0.27544,2805.0,7731.4591,0.27567,0.2755,0.27575,0.27544
1740703920,0.2755,0.27526,0.2755,0.27517,36.0,99.0759,0.27527,0.27526,0.27527,0.27517
1740703980,0.27526,0.27512,0.27526,0.2751,4662.0,12827.9454,0.27521,0.27512,0.27525,0.2751
1740704040,0.27512,0.27512,0.27533,0.27512,1859.0,5115.6886,0.27519,0.27512,0.27533,0.27512
1740704100,0.27512,0.27527,0.27532,0.27512,8906.0,24512.0078,0.27521,0.27527,0.27532,0.2752
1740704160,0.27527,0.27523,0.27536,0.27523,956.0,2631.6865,0.27533,0.27523,0.27536,0.27523
1740704220,0.27523,0.27529,0.27549,0.27522,922.0,2538.4088,0.27522,0.27529,0.27549,0.27522
1740704280,0.27529,0.27526,0.27564,0.27526,1275.0,3512.7168,0.27529,0.27526,0.27564,0.27526
1740704340,0.27526,0.2748,0.27526,0.2748,183.0,503.135,0.27525,0.2748,0.27525,0.2748
1740704400,0.2748,0.27484,0.27484,0.27468,2004.0,5506.4285,0.27476,0.27484,0.27484,0.27468
1740704460,0.27484,0.27518,0.27518,0.27468,3067.0,8430.4458,0.27495,0.27518,0.27518,0.27468
1740704520,0.27518,0.27562,0.27563,0.27518,72.0,198.3333,0.27535,0.27562,0.27563,0.27535
1740704580,0.27562,0.27565,0.27567,0.27535,1882.0,5185.2171,0.27543,0.27565,0.27567,0.27535
1740704640,0.27565,0.27578,0.27578,0.27545,989.0,2726.3949,0.27568,0.27578,0.27578,0.27545
1740704700,0.27578,0.27537,0.2758,0.27537,3303.0,9100.4829,0.27578,0.27537,0.2758,0.27537
1740704760,0.27537,0.27523,0.27547,0.27517,147.0,404.8232,0.27536,0.27523,0.27547,0.27517
1740704820,0.27523,0.27512,0.27523,0.2751,1933.0,5318.8526,0.27522,0.27512,0.27522,0.2751
1740704880,0.27512,0.27532,0.27532,0.27511,994.0,2735.261,0.27511,0.27532,0.27532,0.27511
1740704940,0.27532,0.27552,0.27552,0.27532,1915.0,5274.8249,0.27551,0.27552,0.27552,0.27536
1740705000,0.27552,0.27558,0.27563,0.27551,990.0,2728.0796,0.27552,0.27558,0.27563,0.27551
1740705060,0.27558,0.2756,0.27574,0.27556,3346.0,9222.3415,0.27556,0.2756,0.27574,0.27556
1740705120,0.2756,0.2755,0.2756,0.2755,2406.0,6629.5699,0.2756,0.2755,0.2756,0.2755
1740705180,0.2755,0.27579,0.27579,0.2755,2859.0,7880.4142,0.27561,0.27579,0.27579,0.27558
1740705240,0.27579,0.27589,0.27589,0.27574,4321.0,11919.9501,0.27575,0.27589,0.27589,0.27574
1740705300,0.27589,0.27559,0.27589,0.27558,1993.0,5495.9058,0.27581,0.27559,0.27585,0.27558
1740705360,0.27559,0.27456,0.27559,0.27442,485.0,1331.0466,0.27557,0.27456,0.27557,0.27442
1740705420,0.27456,0.27492,0.27493,0.27456,974.0,2677.3989,0.27474,0.27492,0.27493,0.27474
1740705480,0.27492,0.2749,0.27507,0.2749,1028.0,2826.0201,0.27507,0.2749,0.27507,0.2749
1740705540,0.2749,0.27472,0.2749,0.27467,1031.0,2832.1449,0.27476,0.27472,0.27476,0.27467
1740705600,0.27472,0.27477,0.2748,0.2747,2067.0,5679.2824,0.27476,0.27477,0.2748,0.2747
1740705660,0.27477,0.27466,0.27501,0.27466,1047.0,2878.5847,0.27497,0.27466,0.27501,0.27466
1740705720,0.27466,0.27405,0.27476,0.27405,1999.0,5484.1974,0.27476,0.27405,0.27476,0.27405
1740705780,0.27405,0.27389,0.27405,0.27355,3215.0,8798.7094,0.27393,0.27389,0.27393,0.27355
1740705840,0.27389,0.27314,0.27401,0.27314,2543.0,6960.2043,0.27395,0.27314,0.27401,0.27314
1740705900,0.27314,0.27202,0.27322,0.27187,2402.0,6533.1704,0.27322,0.27202,0.27322,0.27187
1740705960,0.27202,0.27228,0.27239,0.27202,2357.0,6418.8323,0.27202,0.27228,0.27239,0.27202
1740706020,0.27228,0.27144,0.27228,0.27124,7469.0,20265.9596,0.27224,0.27144,0.27225,0.27124
1740706080,0.27144,0.27046,0.27155,0.27024,3868.0,10473.7401,0.27154,0.27046,0.27155,0.27024
1740706140,0.27046,0.27058,0.27097,0.27046,6500.0,17604.9497,0.27059,0.27058,0.27097,0.27058
1740706200,0.27058,0.26903,0.27084,0.26814,61520.0,165432.2021,0.27084,0.26903,0.27084,0.26814
1740706260,0.26903,0.26834,0.26903,0.26732,5308.0,14216.1418,0.26869,0.26834,0.2688,0.26732
1740706320,0.26834,0.26656,0.26848,0.26656,2576.0,6883.9197,0.26834,0.26656,0.26848,0.26656
1740706380,0.26656,0.26597,0.26768,0.26562,24116.0,64284.5248,0.26668,0.26597,0.26768,0.26562
1740706440,0.26597,0.26545,0.26749,0.26531,5917.0,15761.1339,0.26656,0.26545,0.26749,0.26531
1740706500,0.26545,0.26772,0.26772,0.26545,2350.0,6270.4958,0.26592,0.26772,0.26772,0.26592
1740706560,0.26772,0.26703,0.26843,0.26703,1982.0,5310.167,0.26782,0.26703,0.26843,0.26703
1740706620,0.26703,0.26731,0.26781,0.26703,1376.0,3683.4444,0.26738,0.26731,0.26781,0.2673
1740706680,0.26731,0.26788,0.26788,0.2666,2506.0,6693.3606,0.2666,0.26788,0.26788,0.2666
1740706740,0.26788,0.26773,0.26872,0.26773,1888.0,5056.0895,0.26775,0.26773,0.26872,0.26773
1740706800,0.26773,0.26744,0.26791,0.26731,2742.0,7335.2507,0.26778,0.26744,0.26791,0.26731
1740706860,0.26744,0.26762,0.26764,0.26702,1154.0,3088.3782,0.26702,0.26762,0.26764,0.26702
1740706920,0.26762,0.26835,0.26897,0.26762,1204.0,3230.5785,0.26814,0.26835,0.26897,0.26814
1740706980,0.26835,0.26792,0.26835,0.26767,2842.0,7612.5015,0.26793,0.26792,0.26794,0.26767
1740707040,0.26792,0.26816,0.26858,0.26792,2332.0,6256.1437,0.26836,0.26816,0.26858,0.26816
1740707100,0.26816,0.269,0.269,0.26801,4463.0,11979.0486,0.26843,0.269,0.269,0.26801
1740707160,0.269,0.26909,0.26917,0.26863,20.0,53.8072,0.26863,0.26909,0.26917,0.26863
1740707220,0.26909,0.269,0.26934,0.26884,1121.0,3018.9364,0.26931,0.269,0.26934,0.26884
1740707280,0.269,0.2684,0.2692,0.2684,1776.0,4772.0086,0.2692,0.2684,0.2692,0.2684
1740707340,0.2684,0.2678,0.26868,0.2678,2026.0,5440.1854,0.26868,0.2678,0.26868,0.2678
1740707400,0.2678,0.26767,0.26818,0.26767,1982.0,5311.5963,0.26771,0.26767,0.26818,0.26767
1740707460,0.26767,0.26732,0.26783,0.26723,2725.0,7290.4422,0.26765,0.26732,0.26783,0.26723
1740707520,0.26732,0.26732,0.26741,0.26727,759.0,2028.6594,0.26727,0.26732,0.26741,0.26727
1740707580,0.26732,0.26607,0.26732,0.26603,500.0,1330.2415,0.26666,0.26607,0.26666,0.26603
1740707640,0.26607,0.26528,0.26607,0.26484,1346.0,3565.732,0.26599,0.26528,0.26599,0.26484
1740707700,0.26528,0.26549,0.26549,0.2648,4553.0,12076.2022,0.26539,0.26549,0.26549,0.2648
1740707760,0.26549,0.26627,0.26643,0.26549,956.0,2545.3395,0.26591,0.26627,0.26643,0.26591
1740707820,0.26627,0.26641,0.26659,0.2659,2418.0,6437.4369,0.26659,0.26641,0.26659,0.2659
1740707880,0.26641,0.26569,0.2665,0.26569,1083.0,2881.4184,0.2665,0.26569,0.2665,0.26569
1740707940,0.26569,0.26464,0.26577,0.26464,4326.0,11478.9201,0.26525,0.26464,0.26577,0.26464
1740708000,0.26464,0.26397,0.2649,0.26319,17510.0,46241.2604,0.26464,0.26397,0.2649,0.26319
1740708060,0.26397,0.26318,0.26412,0.26318,19085.0,50311.4073,0.26408,0.26318,0.26412,0.26318
1740708120,0.26318,0.26562,0.26562,0.26318,8488.0,22486.2118,0.26388,0.26562,0.26562,0.26388
1740708180,0.26562,0.2668,0.26697,0.26562,611.0,1630.6762,0.26626,0.2668,0.26697,0.26626
1740708240,0.2668,0.26643,0.26699,0.26614,2888.0,7694.9109,0.26657,0.26643,0.26699,0.26614
1740708300,0.26643,0.26723,0.26723,0.26643,4127.0,11021.3411,0.26701,0.26723,0.26723,0.26679
1740708360,0.26723,0.26792,0.26798,0.26677,8705.0,23302.9005,0.26677,0.26792,0.26798,0.26677
1740708420,0.26792,0.26731,0.26792,0.26721,4461.0,11932.1551,0.2677,0.26731,0.26773,0.26721
1740708480,0.26731,0.26735,0.26757,0.26724,1959.0,5238.7789,0.26724,0.26735,0.26757,0.26724
1740708540,0.26735,0.26687,0.26735,0.26687,1667.0,4450.5769,0.26721,0.26687,0.26721,0.26687
1740708600,0.26687,0.26657,0.26698,0.2663,2134.0,5691.7566,0.26631,0.26657,0.26698,0.2663
1740708660,0.26657,0.2666,0.26692,0.26657,981.0,2616.0057,0.26669,0.2666,0.26692,0.2666
1740708720,0.2666,0.26667,0.26672,0.2664,2198.0,5859.594,0.26656,0.26667,0.26672,0.2664
1740708780,0.26667,0.26645,0.26687,0.2664,4915.0,13096.4418,0.26662,0.26645,0.26687,0.2664
1740708840,0.26645,0.26713,0.26713,0.2664,15862.0,42257.4587,0.2664,0.26713,0.26713,0.2664
1740708900,0.26713,0.26696,0.26713,0.26682,748.0,1997.7907,0.26698,0.26696,0.26709,0.26682
1740708960,0.26696,0.2664,0.26696,0.2664,13130.0,34978.3524,0.26666,0.2664,0.26666,0.2664
1740709020,0.2664,0.26611,0.2664,0.266,1253.0,3334.3364,0.26605,0.26611,0.26618,0.266
