time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.1339,0.1337,0.1339,0.1337,29.0,38.807,0.1339,0.1337,0.1339,0.1337
1740700860,0.1337,0.1341,0.1343,0.1336,41.0,54.966,0.1336,0.1341,0.1343,0.1336
1740700920,0.1341,0.1344,0.1344,0.134,46.0,61.756,0.134,0.1344,0.1344,0.134
1740700980,0.1344,0.1343,0.1344,0.134,66.0,88.495,0.1342,0.1343,0.1343,0.134
1740701040,0.1343,0.1344,0.1344,0.1341,69.0,92.656,0.1343,0.1344,0.1344,0.1341
1740701100,0.1344,0.1345,0.1345,0.1343,50.0,67.199,0.1344,0.1345,0.1345,0.1343
1740701160,0.1345,0.134,0.1345,0.134,73.0,98.001,0.1345,0.134,0.1345,0.134
1740701220,0.134,0.1339,0.134,0.1339,50.0,66.974,0.1339,0.1339,0.134,0.1339
1740701280,0.1339,0.1343,0.1343,0.1338,63.0,84.472,0.1338,0.1343,0.1343,0.1338
1740701340,0.1343,0.1341,0.1343,0.1341,65.0,87.254,0.1343,0.1341,0.1343,0.1341
1740701400,0.1341,0.1338,0.1341,0.1338,46.0,61.639,0.1341,0.1338,0.1341,0.1338
1740701460,0.1338,0.1337,0.1338,0.1337,55.0,73.579,0.1338,0.1337,0.1338,0.1337
1740701520,0.1337,0.1338,0.1338,0.1335,51.0,68.187,0.1335,0.1338,0.1338,0.1335
1740701580,0.1338,0.1335,0.1338,0.1335,65.0,86.87,0.1337,0.1335,0.1338,0.1335
1740701640,0.1335,0.1333,0.1336,0.1333,10897.0,14558.1,0.1335,0.1333,0.1336,0.1333
1740701700,0.1333,0.1332,0.1333,0.1332,59.0,78.612,0.1333,0.1332,0.1333,0.1332
1740701760,0.1332,0.1335,0.1336,0.1332,60.0,80.072,0.1333,0.1335,0.1336,0.1333
1740701820,0.1335,0.1332,0.1335,0.1332,50.0,66.715,0.1335,0.1332,0.1335,0.1332
1740701880,0.1332,0.1334,0.1336,0.133,133.0,177.102,0.133,0.1334,0.1336,0.133
1740701940,0.1334,0.1339,0.1339,0.1334,56.0,74.856,0.1335,0.1339,0.1339,0.1335
1740702000,0.1339,0.1341,0.1341,0.1339,32.0,42.873,0.134,0.1341,0.1341,0.1339
1740702060,0.1341,0.1339,0.1341,0.1338,72.0,96.432,0.134,0.1339,0.134,0.1338
1740702120,0.1339,0.1339,0.1339,0.1337,42.0,56.215,0.1338,0.1339,0.1339,0.1337
1740702180,0.1339,0.1341,0.1342,0.1339,67.0,89.82,0.1339,0.1341,0.1342,0.1339
1740702240,0.1341,0.1339,0.1342,0.1339,53.0,71.051,0.1341,0.1339,0.1342,0.1339
1740702300,0.1339,0.1337,0.1339,0.1336,41.0,54.838,0.1339,0.1337,0.1339,0.1336
1740702360,0.1337,0.1332,0.1337,0.1332,60.0,80.048,0.1337,0.1332,0.1337,0.1332
1740702420,0.1332,0.1329,0.1333,0.1329,45.0,59.907,0.1333,0.1329,0.1333,0.1329
1740702480,0.1329,0.1333,0.1333,0.1329,54.0,71.87,0.133,0.1333,0.1333,0.1329
1740702540,0.1333,0.1334,0.1335,0.1333,55.0,73.395,0.1333,0.1334,0.1335,0.1333
1740702600,0.1334,0.133,0.1334,0.133,1590.0,2114.817,0.1334,0.133,0.1334,0.133
1740702660,0.133,0.1333,0.1334,0.133,64.0,85.265,0.1331,0.1333,0.1334,0.1331
1740702720,0.1333,0.1334,0.1336,0.1333,51.0,68.047,0.1334,0.1334,0.1336,0.1333
1740702780,0.1334,0.1331,0.1334,0.1331,67.0,89.259,0.1333,0.1331,0.1334,0.1331
1740702840,0.1331,0.1334,0.1334,0.1331,44.0,58.662,0.1332,0.1334,0.1334,0.1332
1740702900,0.1334,0.1334,0.1335,0.1333,55.0,73.381,0.1333,0.1334,0.1335,0.1333
1740702960,0.1334,0.1335,0.1335,0.1334,55.0,73.425,0.1335,0.1335,0.1335,0.1335
1740703020,0.1335,0.1338,0.1338,0.1334,47.0,62.807,0.1334,0.1338,0.1338,0.1334
1740703080,0.1338,0.1339,0.1341,0.1337,44.0,58.91,0.1338,0.1339,0.1341,0.1337
1740703140,0.1339,0.1341,0.1341,0.1339,160.0,214.55,0.134,0.1341,0.1341,0.134
1740703200,0.1341,0.134,0.1344,0.134,57.0,76.474,0.1341,0.134,0.1344,0.134
1740703260,0.134,0.1339,0.134,0.1338,48.0,64.262,0.1339,0.1339,0.134,0.1338
1740703320,0.1339,0.1339,0.1339,0.1338,44.0,58.896,0.1339,0.1339,0.1339,0.1338
1740703380,0.1339,0.134,0.1341,0.1339,72.0,96.495,0.134,0.134,0.1341,0.134
1740703440,0.134,0.1341,0.1341,0.1338,66.0,88.412,0.134,0.1341,0.1341,0.1338
1740703500,0.1341,0.1339,0.1341,0.1339,43.0,57.598,0.134,0.1339,0.134,0.1339
1740703560,0.1339,0.1338,0.1339,0.1338,49.0,65.593,0.1339,0.1338,0.1339,0.1338
1740703620,0.1338,0.1334,0.1338,0.1334,65.0,86.803,0.1335,0.1334,0.1336,0.1334
1740703680,0.1334,0.1331,0.1334,0.1331,222.0,295.711,0.1333,0.1331,0.1334,0.1331
1740703740,0.1331,0.133,0.1331,0.1328,67.0,89.089,0.1331,0.133,0.1331,0.1328
1740703800,0.133,0.1331,0.1331,0.1329,42.0,55.882,0.1329,0.1331,0.1331,0.1329
1740703860,0.1331,0.1334,0.1334,0.1331,63.0,83.92,0.1331,0.1334,0.1334,0.1331
1740703920,0.1334,0.1332,0.1334,0.1332,51.0,67.948,0.1332,0.1332,0.1334,0.1332
1740703980,0.1332,0.1331,0.1332,0.1331,47.0,62.58,0.1331,0.1331,0.1332,0.1331
1740704040,0.1331,0.133,0.1332,0.133,68.0,90.524,0.1331,0.133,0.1332,0.133
1740704100,0.133,0.1332,0.1332,0.133,58.0,77.23,0.133,0.1332,0.1332,0.133
1740704160,0.1332,0.1332,0.1332,0.1331,49.0,65.242,0.1332,0.1332,0.1332,0.1331
1740704220,0.1332,0.1329,0.1332,0.1329,106.0,141.127,0.1332,0.1329,0.1332,0.1329
1740704280,0.1329,0.133,0.1332,0.1329,39.0,51.92,0.1332,0.133,0.1332,0.133
1740704340,0.133,0.1329,0.1331,0.1329,48.0,63.819,0.1331,0.1329,0.1331,0.1329
1740704400,0.1329,0.1333,0.1333,0.1328,40.0,53.203,0.1328,0.1333,0.1333,0.1328
1740704460,0.1333,0.1336,0.1336,0.1333,35.0,46.697,0.1334,0.1336,0.1336,0.1333
1740704520,0.1336,0.1336,0.1337,0.1336,52.0,69.486,0.1336,0.1336,0.1337,0.1336
1740704580,0.1336,0.1335,0.1336,0.1334,47.0,62.721,0.1335,0.1335,0.1335,0.1334
1740704640,0.1335,0.1334,0.1335,0.1334,44.0,58.715,0.1334,0.1334,0.1335,0.1334
1740704700,0.1334,0.1335,0.1336,0.1333,46.0,61.404,0.1336,0.1335,0.1336,0.1333
1740704760,0.1335,0.1335,0.1336,0.1334,48.0,64.07,0.1334,0.1335,0.1336,0.1334
1740704820,0.1335,0.1334,0.1335,0.1334,41.0,54.694,0.1334,0.1334,0.1334,0.1334
1740704880,0.1334,0.1339,0.1339,0.1334,52.0,69.492,0.1335,0.1339,0.1339,0.1335
1740704940,0.1339,0.1336,0.1339,0.1336,49.0,65.541,0.1339,0.1336,0.1339,0.1336
1740705000,0.1336,0.1339,0.1339,0.1336,44.0,58.877,0.1338,0.1339,0.1339,0.1338
1740705060,0.1339,0.1338,0.134,0.1337,33.0,44.168,0.134,0.1338,0.134,0.1337
1740705120,0.1338,0.1342,0.1343,0.1337,159.0,212.942,0.1337,0.1342,0.1343,0.1337
1740705180,0.1342,0.1342,0.1343,0.1341,35.0,46.973,0.1343,0.1342,0.1343,0.1341
1740705240,0.1342,0.1342,0.1343,0.1341,57.0,76.512,0.1343,0.1342,0.1343,0.1341
