time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.2099,0.2108,0.2108,0.2099,29.0,61.002,0.2101,0.2108,0.2108,0.2101
1740700860,0.2108,0.2105,0.2111,0.2105,116.0,244.453,0.211,0.2105,0.2111,0.2105
1740700920,0.2105,0.2114,0.2114,0.2105,38.0,80.231,0.2107,0.2114,0.2114,0.2107
1740700980,0.2114,0.2111,0.2114,0.2107,354.0,746.596,0.2109,0.2111,0.2111,0.2107
1740701040,0.2111,0.2114,0.2114,0.2108,23.0,48.541,0.2111,0.2114,0.2114,0.2108
1740701100,0.2114,0.2114,0.2115,0.2113,130.0,274.852,0.2113,0.2114,0.2115,0.2113
1740701160,0.2114,0.2111,0.2116,0.2109,102.0,215.675,0.2116,0.2111,0.2116,0.2109
1740701220,0.2111,0.2111,0.2114,0.2111,216.0,456.171,0.2111,0.2111,0.2114,0.2111
1740701280,0.2111,0.2114,0.2116,0.2111,30.0,63.428,0.2111,0.2114,0.2116,0.2111
1740701340,0.2114,0.2121,0.2123,0.2114,25.0,53.023,0.2119,0.2121,0.2123,0.2119
1740701400,0.2121,0.2118,0.2121,0.2118,377.0,798.554,0.2121,0.2118,0.2121,0.2118
1740701460,0.2118,0.2117,0.212,0.2117,2269.0,4803.738,0.2118,0.2117,0.212,0.2117
1740701520,0.2117,0.2119,0.2119,0.2115,501.0,1061.102,0.2115,0.2119,0.2119,0.2115
1740701580,0.2119,0.2112,0.2119,0.2112,97.0,205.019,0.2117,0.2112,0.2117,0.2112
1740701640,0.2112,0.2109,0.2112,0.2109,95.0,200.424,0.2111,0.2109,0.2111,0.2109
1740701700,0.2109,0.2104,0.2111,0.2104,38.0,80.099,0.211,0.2104,0.2111,0.2104
1740701760,0.2104,0.2104,0.2106,0.2103,112.0,235.729,0.2105,0.2104,0.2106,0.2103
1740701820,0.2104,0.2109,0.211,0.2104,40.0,84.288,0.2105,0.2109,0.211,0.2105
1740701880,0.2109,0.2114,0.2115,0.2109,306.0,646.856,0.211,0.2114,0.2115,0.211
1740701940,0.2114,0.2123,0.2123,0.2114,27.0,57.247,0.2119,0.2123,0.2123,0.2118
