time,open,close,high,low
1741492800,1.898,1.899,1.899,1.898
1741492860,1.899,1.898,1.9,1.897
1741492920,1.898,1.9,1.901,1.898
1741492980,1.9,1.897,1.9,1.897
1741493040,1.897,1.899,1.899,1.896
1741493100,1.899,1.898,1.899,1.898
1741493160,1.898,1.895,1.898,1.894
1741493220,1.895,1.898,1.898,1.895
1741493280,1.898,1.901,1.903,1.898
1741493340,1.901,1.898,1.901,1.898
1741493400,1.898,1.895,1.898,1.895
1741493460,1.895,1.9,1.901,1.895
1741493520,1.9,1.895,1.9,1.895
1741493580,1.895,1.895,1.895,1.894
1741493640,1.895,1.894,1.895,1.894
1741493700,1.894,1.893,1.895,1.893
1741493760,1.893,1.898,1.898,1.893
1741493820,1.898,1.898,1.898,1.896
1741493880,1.898,1.893,1.898,1.893
1741493940,1.893,1.891,1.893,1.891
1741494000,1.891,1.89,1.891,1.889
1741494060,1.89,1.889,1.892,1.889
1741494120,1.889,1.887,1.89,1.887
1741494180,1.887,1.888,1.89,1.887
1741494240,1.888,1.889,1.889,1.888
1741494300,1.889,1.889,1.891,1.888
1741494360,1.889,1.886,1.889,1.885
1741494420,1.886,1.888,1.888,1.886
1741494480,1.888,1.889,1.89,1.887
1741494540,1.889,1.886,1.889,1.886
1741494600,1.886,1.885,1.886,1.884
1741494660,1.885,1.886,1.886,1.883
1741494720,1.886,1.888,1.89,1.886
1741494780,1.888,1.892,1.893,1.888
1741494840,1.892,1.896,1.896,1.891
1741494900,1.896,1.898,1.898,1.895
1741494960,1.898,1.897,1.899,1.897
1741495020,1.897,1.898,1.899,1.897
1741495080,1.898,1.897,1.898,1.896
1741495140,1.897,1.89,1.898,1.89
1741495200,1.89,1.889,1.89,1.883
1741495260,1.889,1.891,1.891,1.887
1741495320,1.891,1.881,1.891,1.875
1741495380,1.881,1.883,1.883,1.881
1741495440,1.883,1.887,1.888,1.882
1741495500,1.887,1.889,1.889,1.887
1741495560,1.889,1.889,1.889,1.887
1741495620,1.889,1.893,1.893,1.888
1741495680,1.893,1.892,1.893,1.891
1741495740,1.892,1.888,1.892,1.888
1741495800,1.888,1.884,1.889,1.884
1741495860,1.884,1.886,1.887,1.884
1741495920,1.886,1.885,1.886,1.885
1741495980,1.885,1.889,1.889,1.885
1741496040,1.889,1.889,1.89,1.888
1741496100,1.889,1.887,1.89,1.887
1741496160,1.887,1.891,1.892,1.887
1741496220,1.891,1.896,1.896,1.891
1741496280,1.896,1.894,1.896,1.892
1741496340,1.894,1.892,1.894,1.892
1741496400,1.892,1.891,1.892,1.891
1741496460,1.891,1.888,1.891,1.888
1741496520,1.888,1.892,1.893,1.888
1741496580,1.892,1.895,1.895,1.892
1741496640,1.895,1.893,1.895,1.892
1741496700,1.893,1.882,1.893,1.871
1741496760,1.882,1.887,1.899,1.882
1741496820,1.887,1.889,1.889,1.887
1741496880,1.889,1.889,1.889,1.887
1741496940,1.889,1.885,1.889,1.885
1741497000,1.885,1.88,1.885,1.88
1741497060,1.88,1.884,1.886,1.879
1741497120,1.884,1.885,1.885,1.883
1741497180,1.885,1.879,1.885,1.879
1741497240,1.879,1.878,1.88,1.878
1741497300,1.878,1.867,1.878,1.867
1741497360,1.867,1.866,1.875,1.866
1741497420,1.866,1.863,1.867,1.863
1741497480,1.863,1.863,1.863,1.861
1741497540,1.863,1.864,1.864,1.863
1741497600,1.864,1.866,1.866,1.862
1741497660,1.866,1.868,1.868,1.866
1741497720,1.868,1.869,1.869,1.867
1741497780,1.869,1.868,1.869,1.867
1741497840,1.868,1.87,1.871,1.868
1741497900,1.87,1.868,1.87,1.867
1741497960,1.868,1.873,1.873,1.867
1741498020,1.873,1.873,1.876,1.871
1741498080,1.873,1.873,1.874,1.873
1741498140,1.873,1.875,1.875,1.872
1741498200,1.875,1.874,1.875,1.872
1741498260,1.874,1.874,1.878,1.874
1741498320,1.874,1.867,1.874,1.867
1741498380,1.867,1.867,1.869,1.866
1741498440,1.867,1.865,1.867,1.863
1741498500,1.865,1.86,1.866,1.86
1741498560,1.86,1.857,1.86,1.855
1741498620,1.857,1.859,1.861,1.857
1741498680,1.859,1.856,1.859,1.856
1741498740,1.856,1.857,1.859,1.856
1741498800,1.857,1.857,1.859,1.855
1741498860,1.857,1.856,1.857,1.856
1741498920,1.856,1.858,1.858,1.855
