time,open,close,high,low
1741320000,1.316e-05,1.3176e-05,1.3176e-05,1.3156e-05
1741320060,1.3176e-05,1.3188e-05,1.3188e-05,1.3174e-05
1741320120,1.3188e-05,1.3177e-05,1.3188e-05,1.317e-05
1741320180,1.3177e-05,1.3157e-05,1.3177e-05,1.3157e-05
1741320240,1.3157e-05,1.3185e-05,1.3185e-05,1.3157e-05
1741320300,1.3185e-05,1.3189e-05,1.3191e-05,1.3185e-05
1741320360,1.3189e-05,1.32e-05,1.32e-05,1.3188e-05
1741320420,1.32e-05,1.3185e-05,1.3202e-05,1.3185e-05
1741320480,1.3185e-05,1.3177e-05,1.3185e-05,1.3172e-05
1741320540,1.3177e-05,1.3166e-05,1.3178e-05,1.3166e-05
1741320600,1.3166e-05,1.3156e-05,1.3166e-05,1.3156e-05
1741320660,1.3156e-05,1.3185e-05,1.3185e-05,1.3156e-05
1741320720,1.3185e-05,1.3175e-05,1.3195e-05,1.3173e-05
1741320780,1.3175e-05,1.3189e-05,1.3189e-05,1.3174e-05
1741320840,1.3189e-05,1.3195e-05,1.3195e-05,1.3188e-05
1741320900,1.3195e-05,1.3199e-05,1.3199e-05,1.3195e-05
1741320960,1.3199e-05,1.3179e-05,1.3199e-05,1.3179e-05
1741321020,1.3179e-05,1.3188e-05,1.3188e-05,1.3174e-05
1741321080,1.3188e-05,1.3196e-05,1.3197e-05,1.3187e-05
1741321140,1.3196e-05,1.3193e-05,1.3196e-05,1.3186e-05
1741321200,1.3193e-05,1.319e-05,1.3196e-05,1.3182e-05
1741321260,1.319e-05,1.3203e-05,1.3207e-05,1.319e-05
1741321320,1.3203e-05,1.3215e-05,1.3215e-05,1.3203e-05
1741321380,1.3215e-05,1.3224e-05,1.3225e-05,1.3214e-05
1741321440,1.3224e-05,1.3233e-05,1.3234e-05,1.3223e-05
1741321500,1.3233e-05,1.3232e-05,1.3237e-05,1.3226e-05
1741321560,1.3232e-05,1.3231e-05,1.3234e-05,1.3225e-05
1741321620,1.3231e-05,1.324e-05,1.324e-05,1.3231e-05
1741321680,1.324e-05,1.3239e-05,1.324e-05,1.3236e-05
1741321740,1.3239e-05,1.3238e-05,1.3242e-05,1.3238e-05
1741321800,1.3238e-05,1.3235e-05,1.3243e-05,1.3235e-05
1741321860,1.3235e-05,1.323e-05,1.3236e-05,1.3222e-05
1741321920,1.323e-05,1.3224e-05,1.323e-05,1.3218e-05
1741321980,1.3224e-05,1.3233e-05,1.3234e-05,1.3221e-05
1741322040,1.3233e-05,1.3232e-05,1.3234e-05,1.3223e-05
1741322100,1.3232e-05,1.3246e-05,1.3255e-05,1.3232e-05
1741322160,1.3246e-05,1.3256e-05,1.3258e-05,1.3246e-05
1741322220,1.3256e-05,1.3252e-05,1.3256e-05,1.3252e-05
1741322280,1.3252e-05,1.3249e-05,1.3253e-05,1.3246e-05
1741322340,1.3249e-05,1.3247e-05,1.3249e-05,1.3243e-05
1741322400,1.3247e-05,1.3252e-05,1.3266e-05,1.3247e-05
1741322460,1.3252e-05,1.3242e-05,1.3252e-05,1.3241e-05
1741322520,1.3242e-05,1.3255e-05,1.3256e-05,1.3242e-05
1741322580,1.3255e-05,1.3252e-05,1.3261e-05,1.3252e-05
1741322640,1.3252e-05,1.3245e-05,1.3253e-05,1.3239e-05
1741322700,1.3245e-05,1.3255e-05,1.3256e-05,1.3244e-05
1741322760,1.3255e-05,1.323e-05,1.3255e-05,1.323e-05
1741322820,1.323e-05,1.3223e-05,1.3233e-05,1.3222e-05
1741322880,1.3223e-05,1.3229e-05,1.3236e-05,1.3218e-05
1741322940,1.3229e-05,1.3228e-05,1.3239e-05,1.3228e-05
1741323000,1.3228e-05,1.322e-05,1.3228e-05,1.3215e-05
1741323060,1.322e-05,1.3214e-05,1.3222e-05,1.3214e-05
1741323120,1.3214e-05,1.3196e-05,1.3214e-05,1.3195e-05
1741323180,1.3196e-05,1.3197e-05,1.3198e-05,1.3195e-05
1741323240,1.3197e-05,1.3198e-05,1.3203e-05,1.3197e-05
