time,open,close,high,low
1741147200,141.75,142.02,142.34,141.71
1741147260,142.02,142.07,142.07,141.8
1741147320,142.07,142.28,142.29,141.93
1741147380,142.28,142.1,142.48,142.1
1741147440,142.1,141.92,142.26,141.92
1741147500,141.92,141.86,142.01,141.51
1741147560,141.86,142.16,142.18,141.83
1741147620,142.16,141.95,142.33,141.94
1741147680,141.95,142.19,142.19,141.91
1741147740,142.19,142.15,142.23,142.06
1741147800,142.15,142.23,142.3,142.13
1741147860,142.23,142.15,142.33,142.15
1741147920,142.15,141.7,142.18,141.68
1741147980,141.7,141.93,141.93,141.6
1741148040,141.93,142.05,142.09,141.93
1741148100,142.05,142.28,142.34,142.02
1741148160,142.28,142.39,142.48,142.2
1741148220,142.39,141.74,142.39,141.74
1741148280,141.74,141.92,141.92,141.67
1741148340,141.92,142.02,142.05,141.72
1741148400,142.02,142.08,142.28,142.0
1741148460,142.08,142.11,142.23,142.02
1741148520,142.11,142.21,142.22,142.1
1741148580,142.21,142.06,142.23,142.05
1741148640,142.06,141.94,142.08,141.83
1741148700,141.94,141.93,142.29,141.91
1741148760,141.93,141.8,142.01,141.71
1741148820,141.8,141.54,141.9,141.54
1741148880,141.54,141.27,141.69,141.19
1741148940,141.27,140.94,141.31,140.91
1741149000,140.94,141.11,141.26,140.93
1741149060,141.11,141.31,141.42,141.11
1741149120,141.31,141.23,141.31,141.15
1741149180,141.23,141.02,141.23,140.98
1741149240,141.02,141.01,141.03,140.77
1741149300,141.01,141.04,141.19,140.98
1741149360,141.04,141.25,141.37,141.04
1741149420,141.25,141.32,141.35,141.2
1741149480,141.32,141.46,141.59,141.31
1741149540,141.46,141.45,141.61,141.43
1741149600,141.45,141.4,141.51,141.35
1741149660,141.4,141.42,141.43,141.2
1741149720,141.42,141.61,141.66,141.42
1741149780,141.61,141.41,141.65,141.41
1741149840,141.41,141.52,141.53,141.41
1741149900,141.52,141.61,141.62,141.43
1741149960,141.61,141.82,141.83,141.59
1741150020,141.82,141.66,141.87,141.6
1741150080,141.66,141.62,141.69,141.55
1741150140,141.62,141.79,141.82,141.59
1741150200,141.79,141.74,141.94,141.72
1741150260,141.74,141.75,141.89,141.7
1741150320,141.75,141.9,141.9,141.75
1741150380,141.9,141.7,141.9,141.7
1741150440,141.7,141.78,141.8,141.7
1741150500,141.78,141.88,141.9,141.76
1741150560,141.88,142.04,142.05,141.83
1741150620,142.04,142.1,142.42,141.96
1741150680,142.1,141.93,142.11,141.93
1741150740,141.93,141.94,141.97,141.87
