time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.2144,0.2142,0.2147,0.2142,467.0,100.1205,0.2145,0.2142,0.2147,0.2142
1740700860,0.2142,0.2136,0.2143,0.2136,256.0,54.7923,0.214,0.2136,0.2143,0.2136
1740700920,0.2136,0.2142,0.2142,0.2133,235.0,50.2714,0.2133,0.2142,0.2142,0.2133
1740700980,0.2142,0.2141,0.2142,0.2137,383.0,81.9443,0.2141,0.2141,0.2141,0.2137
1740701040,0.2141,0.2142,0.2142,0.2139,1121.0,240.0868,0.2141,0.2142,0.2142,0.2139
1740701100,0.2142,0.2141,0.2143,0.2141,255.0,54.6111,0.2141,0.2141,0.2143,0.2141
1740701160,0.2141,0.2137,0.2143,0.2136,301.0,64.3941,0.2143,0.2137,0.2143,0.2136
1740701220,0.2137,0.2136,0.2137,0.2135,342.0,73.047,0.2136,0.2136,0.2136,0.2135
1740701280,0.2136,0.214,0.214,0.2136,269.0,57.524,0.2136,0.214,0.214,0.2136
1740701340,0.214,0.214,0.2142,0.214,350.0,74.9472,0.2141,0.214,0.2142,0.214
1740701400,0.214,0.2138,0.214,0.2138,282.0,60.3253,0.2139,0.2138,0.214,0.2138
1740701460,0.2138,0.2138,0.2138,0.2138,2558.0,546.9004,0.2138,0.2138,0.2138,0.2138
1740701520,0.2138,0.214,0.214,0.2137,336.0,71.8513,0.2137,0.214,0.214,0.2137
1740701580,0.214,0.2135,0.214,0.2135,227.0,48.504,0.2139,0.2135,0.2139,0.2135
1740701640,0.2135,0.2135,0.2138,0.2135,2544.0,543.1687,0.2137,0.2135,0.2138,0.2135
1740701700,0.2135,0.2134,0.2136,0.2134,362.0,77.2606,0.2136,0.2134,0.2136,0.2134
1740701760,0.2134,0.2135,0.2136,0.2134,331.0,70.6954,0.2136,0.2135,0.2136,0.2135
1740701820,0.2135,0.2133,0.2137,0.2133,244.0,52.1177,0.2136,0.2133,0.2137,0.2133
1740701880,0.2133,0.2133,0.2136,0.2132,346.0,73.8238,0.2132,0.2133,0.2136,0.2132
1740701940,0.2133,0.2139,0.2139,0.2133,382.0,81.5943,0.2134,0.2139,0.2139,0.2134
1740702000,0.2139,0.2138,0.214,0.2138,374.0,80.0148,0.214,0.2138,0.214,0.2138
1740702060,0.2138,0.2134,0.2138,0.2134,955.0,204.1019,0.2138,0.2134,0.2138,0.2134
1740702120,0.2134,0.2142,0.2142,0.2134,438.0,93.6202,0.2135,0.2142,0.2142,0.2134
1740702180,0.2142,0.2141,0.2143,0.2141,283.0,60.6091,0.2142,0.2141,0.2143,0.2141
1740702240,0.2141,0.2141,0.2144,0.2141,317.0,67.9111,0.2142,0.2141,0.2144,0.2141
1740702300,0.2141,0.2141,0.2143,0.214,229.0,49.03,0.2143,0.2141,0.2143,0.214
1740702360,0.2141,0.2136,0.2141,0.2136,296.0,63.2721,0.2141,0.2136,0.2141,0.2136
1740702420,0.2136,0.2134,0.2137,0.2134,966.0,206.2389,0.2137,0.2134,0.2137,0.2134
1740702480,0.2134,0.2133,0.2134,0.2133,317.0,67.6327,0.2133,0.2133,0.2134,0.2133
1740702540,0.2133,0.2129,0.2133,0.2129,313.0,66.6731,0.2132,0.2129,0.2132,0.2129
1740702600,0.2129,0.2127,0.213,0.2127,2573.0,547.3195,0.2129,0.2127,0.213,0.2127
1740702660,0.2127,0.2127,0.2129,0.2125,9313.0,1979.1054,0.2127,0.2127,0.2129,0.2125
1740702720,0.2127,0.2128,0.2132,0.2127,285.0,60.686,0.2127,0.2128,0.2132,0.2127
1740702780,0.2128,0.2126,0.213,0.2126,331.0,70.4441,0.2129,0.2126,0.213,0.2126
1740702840,0.2126,0.2131,0.2131,0.2126,378.0,80.4983,0.2128,0.2131,0.2131,0.2128
1740702900,0.2131,0.2127,0.2131,0.2127,425.0,90.4778,0.2131,0.2127,0.2131,0.2127
1740702960,0.2127,0.2127,0.2128,0.2127,252.0,53.6135,0.2128,0.2127,0.2128,0.2127
1740703020,0.2127,0.2133,0.2133,0.2127,356.0,75.8059,0.2127,0.2133,0.2133,0.2127
1740703080,0.2133,0.2136,0.2136,0.2133,228.0,48.6847,0.2134,0.2136,0.2136,0.2134
1740703140,0.2136,0.2136,0.2136,0.2135,389.0,83.0661,0.2135,0.2136,0.2136,0.2135
1740703200,0.2136,0.2134,0.2137,0.2133,415.0,88.6334,0.2136,0.2134,0.2137,0.2133
1740703260,0.2134,0.2134,0.2134,0.2133,382.0,81.5055,0.2134,0.2134,0.2134,0.2133
1740703320,0.2134,0.2132,0.2134,0.2131,208.0,44.3372,0.2132,0.2132,0.2132,0.2131
1740703380,0.2132,0.2132,0.2132,0.2132,410.0,87.412,0.2132,0.2132,0.2132,0.2132
1740703440,0.2132,0.2132,0.2132,0.213,382.0,81.4199,0.2132,0.2132,0.2132,0.213
