time,open,close,high,low
1741147200,2.4593,2.4604,2.4659,2.4567
1741147260,2.4604,2.4659,2.4659,2.4577
1741147320,2.4659,2.4662,2.4685,2.4631
1741147380,2.4662,2.4643,2.4682,2.4643
1741147440,2.4643,2.4608,2.4659,2.4607
1741147500,2.4608,2.4536,2.4634,2.4518
1741147560,2.4536,2.4565,2.4579,2.4529
1741147620,2.4565,2.4571,2.459,2.4565
1741147680,2.4571,2.4651,2.4658,2.4571
1741147740,2.4651,2.4661,2.4669,2.4651
1741147800,2.4661,2.4685,2.4695,2.4661
1741147860,2.4685,2.4693,2.47,2.467
1741147920,2.4693,2.4613,2.4693,2.4612
1741147980,2.4613,2.465,2.4651,2.4582
1741148040,2.465,2.4669,2.468,2.4645
1741148100,2.4669,2.4731,2.4732,2.4667
1741148160,2.4731,2.4743,2.4743,2.4723
1741148220,2.4743,2.4632,2.4743,2.4626
1741148280,2.4632,2.4652,2.466,2.4632
1741148340,2.4652,2.4696,2.47,2.4625
1741148400,2.4696,2.4718,2.4722,2.469
1741148460,2.4718,2.4706,2.4748,2.4696
1741148520,2.4706,2.4754,2.4754,2.4688
1741148580,2.4754,2.4722,2.4766,2.4721
1741148640,2.4722,2.472,2.4733,2.4704
1741148700,2.472,2.4778,2.4794,2.471
1741148760,2.4778,2.4772,2.4793,2.4762
1741148820,2.4772,2.4722,2.4772,2.4721
1741148880,2.4722,2.4686,2.4751,2.4685
1741148940,2.4686,2.4667,2.4713,2.4667
1741149000,2.4667,2.4672,2.4704,2.4667
1741149060,2.4672,2.4744,2.4744,2.4672
1741149120,2.4744,2.4716,2.4744,2.4703
1741149180,2.4716,2.471,2.4719,2.4677
1741149240,2.471,2.4707,2.4712,2.469
1741149300,2.4707,2.4713,2.4737,2.4696
1741149360,2.4713,2.4736,2.4749,2.4699
1741149420,2.4736,2.4737,2.4737,2.4713
1741149480,2.4737,2.4737,2.4754,2.4718
1741149540,2.4737,2.475,2.4761,2.4735
1741149600,2.475,2.4736,2.4766,2.4735
1741149660,2.4736,2.4719,2.4736,2.469
1741149720,2.4719,2.474,2.4745,2.4719
1741149780,2.474,2.4739,2.4755,2.4738
1741149840,2.4739,2.4753,2.4756,2.472
1741149900,2.4753,2.4766,2.4766,2.473
1741149960,2.4766,2.48,2.48,2.4762
1741150020,2.48,2.4743,2.4804,2.4735
1741150080,2.4743,2.4713,2.475,2.4709
1741150140,2.4713,2.4744,2.4744,2.4701
1741150200,2.4744,2.4765,2.4786,2.4716
1741150260,2.4765,2.4766,2.4774,2.475
1741150320,2.4766,2.4801,2.4801,2.4766
1741150380,2.4801,2.4729,2.4804,2.4729
1741150440,2.4729,2.4728,2.474,2.4724
1741150500,2.4728,2.4762,2.4764,2.4728
1741150560,2.4762,2.4789,2.4789,2.4761
1741150620,2.4789,2.477,2.4821,2.477
1741150680,2.477,2.4747,2.4779,2.4747
1741150740,2.4747,2.4742,2.4747,2.4735
1741150800,2.4742,2.4759,2.4769,2.4742
1741150860,2.4759,2.473,2.4763,2.473
1741150920,2.473,2.4728,2.4744,2.4699
1741150980,2.4728,2.4715,2.475,2.4715
1741151040,2.4715,2.4669,2.4715,2.4667
1741151100,2.4669,2.4669,2.4669,2.4653
1741151160,2.4669,2.4722,2.4722,2.465
1741151220,2.4722,2.4747,2.4748,2.4722
1741151280,2.4747,2.4778,2.478,2.4747
1741151340,2.4778,2.4779,2.4779,2.4748
1741151400,2.4779,2.475,2.4786,2.475
1741151460,2.475,2.4771,2.4787,2.474
1741151520,2.4771,2.4762,2.4787,2.4756
1741151580,2.4762,2.4785,2.4785,2.4747
1741151640,2.4785,2.4747,2.4788,2.4745
1741151700,2.4747,2.4678,2.4747,2.4662
1741151760,2.4678,2.4679,2.4696,2.4662
1741151820,2.4679,2.47,2.4735,2.4679
1741151880,2.47,2.4691,2.47,2.4671
1741151940,2.4691,2.4711,2.4711,2.469
1741152000,2.4711,2.4721,2.4725,2.4704
1741152060,2.4721,2.4709,2.4739,2.4709
1741152120,2.4709,2.4673,2.4713,2.467
1741152180,2.4673,2.4671,2.4681,2.4666
1741152240,2.4671,2.4693,2.4698,2.4671
1741152300,2.4693,2.4673,2.4724,2.4667
1741152360,2.4673,2.461,2.4673,2.461
1741152420,2.461,2.4597,2.4633,2.4597
1741152480,2.4597,2.4625,2.4636,2.4597
1741152540,2.4625,2.4632,2.465,2.4625
1741152600,2.4632,2.4666,2.4677,2.4632
1741152660,2.4666,2.4677,2.4695,2.4655
1741152720,2.4677,2.4699,2.4715,2.4677
1741152780,2.4699,2.4655,2.4699,2.4639
1741152840,2.4655,2.4639,2.467,2.4639
1741152900,2.4639,2.4692,2.4692,2.4639
1741152960,2.4692,2.4711,2.4726,2.4692
1741153020,2.4711,2.4678,2.4716,2.4677
1741153080,2.4678,2.4653,2.4678,2.4634
1741153140,2.4653,2.4637,2.4653,2.4623
1741153200,2.4637,2.4661,2.4669,2.4634
1741153260,2.4661,2.4623,2.4667,2.4619
1741153320,2.4623,2.4623,2.4638,2.4617
1741153380,2.4623,2.4628,2.4633,2.459
1741153440,2.4628,2.4595,2.4628,2.4584
1741153500,2.4595,2.4606,2.4614,2.4586
1741153560,2.4606,2.4643,2.4644,2.4606
1741153620,2.4643,2.4627,2.4666,2.4627
1741153680,2.4627,2.4654,2.4655,2.4627
1741153740,2.4654,2.4661,2.4661,2.4625
1741153800,2.4661,2.4655,2.4688,2.4654
1741153860,2.4655,2.4642,2.467,2.4642
1741153920,2.4642,2.4664,2.4666,2.464
1741153980,2.4664,2.4677,2.4685,2.4664
1741154040,2.4677,2.468,2.4688,2.4666
1741154100,2.468,2.4694,2.4716,2.468
1741154160,2.4694,2.4623,2.4694,2.4621
1741154220,2.4623,2.4644,2.4665,2.4623
1741154280,2.4644,2.4661,2.467,2.4634
1741154340,2.4661,2.466,2.4662,2.4655
1741154400,2.466,2.4679,2.4687,2.4646
1741154460,2.4679,2.4568,2.4679,2.4562
1741154520,2.4568,2.4503,2.4573,2.4483
1741154580,2.4503,2.4441,2.4503,2.4413
1741154640,2.4441,2.4485,2.4486,2.4441
1741154700,2.4485,2.4505,2.4506,2.4484
1741154760,2.4505,2.4545,2.4571,2.4494
1741154820,2.4545,2.4514,2.4554,2.4498
1741154880,2.4514,2.4496,2.4514,2.4489
1741154940,2.4496,2.4507,2.4507,2.4487
1741155000,2.4507,2.4477,2.4507,2.4452
1741155060,2.4477,2.4438,2.4499,2.4437
1741155120,2.4438,2.4477,2.4479,2.4438
1741155180,2.4477,2.4464,2.4477,2.4449
1741155240,2.4464,2.4489,2.4502,2.4464
1741155300,2.4489,2.4531,2.4542,2.4459
1741155360,2.4531,2.456,2.4561,2.451
1741155420,2.456,2.4556,2.4574,2.4553
1741155480,2.4556,2.455,2.4559,2.4539
1741155540,2.455,2.4565,2.457,2.4529
1741155600,2.4565,2.4505,2.4567,2.4505
1741155660,2.4505,2.4547,2.4562,2.4505
1741155720,2.4547,2.4582,2.4582,2.4534
1741155780,2.4582,2.4576,2.4582,2.4565
1741155840,2.4576,2.4596,2.4598,2.4576
1741155900,2.4596,2.4608,2.462,2.4575
1741155960,2.4608,2.4586,2.4608,2.4581
1741156020,2.4586,2.4588,2.4598,2.4567
1741156080,2.4588,2.4568,2.4588,2.4568
1741156140,2.4568,2.4578,2.4582,2.4568
1741156200,2.4578,2.4581,2.4594,2.4575
1741156260,2.4581,2.4592,2.4592,2.4544
