time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.02136,0.0213,0.02136,0.0213,22.0,46.89,0.02133,0.0213,0.02133,0.0213
1740700860,0.0213,0.02127,0.02135,0.02127,23.0,49.006,0.0213,0.02127,0.02135,0.02127
1740700920,0.02127,0.02133,0.02134,0.02127,38.0,80.972,0.02127,0.02133,0.02134,0.02127
1740700980,0.02133,0.02131,0.02133,0.02129,36.0,76.701,0.02132,0.02131,0.02132,0.02129
1740701040,0.02131,0.02135,0.02135,0.02128,40.0,85.208,0.02128,0.02135,0.02135,0.02128
1740701100,0.02135,0.02137,0.02137,0.02134,26.0,55.535,0.02135,0.02137,0.02137,0.02134
1740701160,0.02137,0.02134,0.02139,0.02132,41.0,87.54,0.02137,0.02134,0.02139,0.02132
1740701220,0.02134,0.02134,0.02135,0.02132,28.0,59.737,0.02134,0.02134,0.02135,0.02132
1740701280,0.02134,0.02139,0.0214,0.02134,38.0,81.251,0.02135,0.02139,0.0214,0.02135
1740701340,0.02139,0.02145,0.02145,0.02139,1453.0,3109.512,0.0214,0.02145,0.02145,0.0214
1740701400,0.02145,0.02137,0.02145,0.02137,42.0,89.902,0.02145,0.02137,0.02145,0.02137
1740701460,0.02137,0.02137,0.02138,0.02136,25.0,53.418,0.02138,0.02137,0.02138,0.02136
1740701520,0.02137,0.02135,0.02137,0.02133,38.0,81.098,0.02134,0.02135,0.02135,0.02133
1740701580,0.02135,0.0213,0.02136,0.02129,35.0,74.636,0.02136,0.0213,0.02136,0.02129
1740701640,0.0213,0.02129,0.0213,0.02129,29.0,61.747,0.02129,0.02129,0.0213,0.02129
1740701700,0.02129,0.02126,0.02129,0.02126,1237.0,2630.818,0.02129,0.02126,0.02129,0.02126
1740701760,0.02126,0.0213,0.02132,0.02126,1227.0,2615.111,0.0213,0.0213,0.02132,0.0213
1740701820,0.0213,0.02127,0.02132,0.02127,275.0,585.494,0.02131,0.02127,0.02132,0.02127
1740701880,0.02127,0.02128,0.02131,0.02127,26.0,55.351,0.02128,0.02128,0.02131,0.02128
1740701940,0.02128,0.02132,0.02132,0.02128,28.0,59.641,0.02129,0.02132,0.02132,0.02129
1740702000,0.02132,0.02132,0.02133,0.02131,41.0,87.412,0.02133,0.02132,0.02133,0.02131
1740702060,0.02132,0.02131,0.02132,0.02129,38.0,80.95,0.02131,0.02131,0.02131,0.02129
1740702120,0.02131,0.02131,0.02131,0.02128,36.0,76.661,0.02131,0.02131,0.02131,0.02128
1740702180,0.02131,0.02133,0.02133,0.02131,23.0,49.053,0.02131,0.02133,0.02133,0.02131
1740702240,0.02133,0.02132,0.02134,0.02132,25.0,53.333,0.02133,0.02132,0.02134,0.02132
1740702300,0.02132,0.02131,0.02133,0.0213,19.0,40.491,0.02133,0.02131,0.02133,0.0213
1740702360,0.02131,0.02126,0.02131,0.02126,33.0,70.197,0.0213,0.02126,0.0213,0.02126
1740702420,0.02126,0.02126,0.02128,0.02125,30.0,63.802,0.02127,0.02126,0.02128,0.02125
1740702480,0.02126,0.02125,0.02127,0.02125,32.0,68.034,0.02126,0.02125,0.02127,0.02125
1740702540,0.02125,0.02124,0.02125,0.02124,23.0,48.864,0.02124,0.02124,0.02125,0.02124
1740702600,0.02124,0.02119,0.02124,0.02119,38.0,80.63,0.02124,0.02119,0.02124,0.02119
1740702660,0.02119,0.02121,0.02122,0.02119,26.0,55.132,0.02119,0.02121,0.02122,0.02119
1740702720,0.02121,0.02126,0.02126,0.02121,15.0,31.874,0.02122,0.02126,0.02126,0.02122
1740702780,0.02126,0.02122,0.02126,0.02122,27.0,57.334,0.02124,0.02122,0.02124,0.02122
1740702840,0.02122,0.02126,0.02126,0.02122,36.0,76.481,0.02123,0.02126,0.02126,0.02123
1740702900,0.02126,0.02124,0.02126,0.02122,298.0,633.21,0.02125,0.02124,0.02126,0.02122
1740702960,0.02124,0.02123,0.02124,0.0212,34.0,72.131,0.02122,0.02123,0.02123,0.0212
1740703020,0.02123,0.02129,0.02129,0.02122,29.0,61.659,0.02122,0.02129,0.02129,0.02122
1740703080,0.02129,0.02132,0.02132,0.02129,39.0,83.095,0.0213,0.02132,0.02132,0.0213
1740703140,0.02132,0.02133,0.02133,0.02131,25.0,53.308,0.02132,0.02133,0.02133,0.02131
1740703200,0.02133,0.02133,0.02135,0.02133,39.0,83.203,0.02133,0.02133,0.02135,0.02133
1740703260,0.02133,0.02131,0.02133,0.02131,32.0,68.24,0.02133,0.02131,0.02133,0.02131
1740703320,0.02131,0.02129,0.02131,0.02127,41.0,87.248,0.02127,0.02129,0.02129,0.02127
1740703380,0.02129,0.02128,0.02129,0.02127,32.0,68.087,0.02128,0.02128,0.02128,0.02127
1740703440,0.02128,0.02129,0.02129,0.02127,36.0,76.618,0.02129,0.02129,0.02129,0.02127
1740703500,0.02129,0.02125,0.02129,0.02125,31.0,65.929,0.02128,0.02125,0.02128,0.02125
1740703560,0.02125,0.02125,0.02127,0.02123,45.0,95.598,0.02124,0.02125,0.02127,0.02123
1740703620,0.02125,0.02123,0.02126,0.02121,31.0,65.83,0.02121,0.02123,0.02126,0.02121
1740703680,0.02123,0.02117,0.02123,0.02117,28.0,59.332,0.02121,0.02117,0.02121,0.02117
1740703740,0.02117,0.02114,0.02117,0.02112,22.0,46.504,0.02114,0.02114,0.02114,0.02112
1740703800,0.02114,0.02116,0.02117,0.02114,45.0,95.226,0.02115,0.02116,0.02117,0.02115
1740703860,0.02116,0.02117,0.02118,0.02115,30.0,63.504,0.02118,0.02117,0.02118,0.02115
1740703920,0.02117,0.02115,0.02118,0.02115,69.0,145.975,0.02118,0.02115,0.02118,0.02115
1740703980,0.02115,0.02117,0.02117,0.02115,29.0,61.372,0.02116,0.02117,0.02117,0.02115
1740704040,0.02117,0.02117,0.02118,0.02115,36.0,76.23,0.02115,0.02117,0.02118,0.02115
1740704100,0.02117,0.02117,0.02117,0.02116,33.0,69.846,0.02117,0.02117,0.02117,0.02116
1740704160,0.02117,0.02118,0.02119,0.02117,26.0,55.074,0.02118,0.02118,0.02119,0.02118
1740704220,0.02118,0.02116,0.02119,0.02116,33.0,69.894,0.02118,0.02116,0.02119,0.02116
1740704280,0.02116,0.02116,0.02118,0.02116,23.0,48.684,0.02116,0.02116,0.02118,0.02116
1740704340,0.02116,0.02116,0.02118,0.02116,31.0,65.616,0.02116,0.02116,0.02118,0.02116
1740704400,0.02116,0.02116,0.02116,0.02114,40.0,84.588,0.02116,0.02116,0.02116,0.02114
1740704460,0.02116,0.02116,0.02117,0.02115,41.0,86.765,0.02116,0.02116,0.02117,0.02115
1740704520,0.02116,0.02122,0.02122,0.02116,23.0,48.775,0.0212,0.02122,0.02122,0.02119
1740704580,0.02122,0.02122,0.02123,0.02121,29.0,61.534,0.02121,0.02122,0.02123,0.02121
1740704640,0.02122,0.02126,0.02126,0.02122,25.0,53.123,0.02124,0.02126,0.02126,0.02124
1740704700,0.02126,0.02123,0.02126,0.02122,28.0,59.446,0.02126,0.02123,0.02126,0.02122
1740704760,0.02123,0.0212,0.02123,0.0212,40.0,84.87,0.02122,0.0212,0.02123,0.0212
1740704820,0.0212,0.0212,0.02121,0.02119,37.0,78.435,0.0212,0.0212,0.02121,0.02119
1740704880,0.0212,0.02121,0.02121,0.0212,27.0,57.26,0.0212,0.02121,0.02121,0.0212
1740704940,0.02121,0.02125,0.02125,0.02121,29.0,61.56,0.02123,0.02125,0.02125,0.02122
1740705000,0.02125,0.02125,0.02126,0.02125,29.0,61.631,0.02126,0.02125,0.02126,0.02125
1740705060,0.02125,0.02125,0.02125,0.02123,22.0,46.744,0.02125,0.02125,0.02125,0.02123
1740705120,0.02125,0.02125,0.02125,0.02122,47.0,99.803,0.02122,0.02125,0.02125,0.02122
1740705180,0.02125,0.02126,0.02126,0.02125,25.0,53.128,0.02125,0.02126,0.02126,0.02125
1740705240,0.02126,0.02124,0.02126,0.02124,41.0,87.112,0.02125,0.02124,0.02126,0.02124
1740705300,0.02124,0.02123,0.02124,0.02122,35.0,74.316,0.02124,0.02123,0.02124,0.02122
1740705360,0.02123,0.02115,0.02124,0.02115,37.0,78.365,0.02123,0.02115,0.02124,0.02115
1740705420,0.02115,0.02118,0.02118,0.02115,18.0,38.112,0.02116,0.02118,0.02118,0.02116
1740705480,0.02118,0.02122,0.02122,0.02118,26.0,55.142,0.0212,0.02122,0.02122,0.0212
1740705540,0.02122,0.02117,0.02122,0.02116,31.0,65.652,0.02119,0.02117,0.02119,0.02116
1740705600,0.02117,0.0212,0.0212,0.02117,42.0,88.976,0.02118,0.0212,0.0212,0.02118
1740705660,0.0212,0.02119,0.02123,0.02119,24.0,50.916,0.0212,0.02119,0.02123,0.02119
1740705720,0.02119,0.02119,0.02122,0.02119,53.0,112.37,0.0212,0.02119,0.02122,0.02119
1740705780,0.02119,0.02118,0.02119,0.02115,30.0,63.474,0.02115,0.02118,0.02118,0.02115
1740705840,0.02118,0.02112,0.02118,0.02112,29.0,61.374,0.02118,0.02112,0.02118,0.02112
1740705900,0.02112,0.02109,0.02112,0.02109,136.0,286.955,0.02109,0.02109,0.0211,0.02109
1740705960,0.02109,0.0211,0.02111,0.02109,29.0,61.188,0.0211,0.0211,0.02111,0.02109
1740706020,0.0211,0.02102,0.0211,0.021,266.0,558.809,0.02108,0.02102,0.02108,0.021
1740706080,0.02102,0.0209,0.02102,0.02089,182.0,380.923,0.02102,0.0209,0.02102,0.02089
1740706140,0.0209,0.02092,0.02094,0.0209,508.0,1063.701,0.02092,0.02092,0.02094,0.02091
1740706200,0.02092,0.02073,0.02092,0.02073,33.0,68.683,0.02091,0.02073,0.02091,0.02073
1740706260,0.02073,0.0208,0.0208,0.02073,35.0,72.729,0.02078,0.0208,0.0208,0.02074
1740706320,0.0208,0.02061,0.0208,0.02061,41.0,84.894,0.02074,0.02061,0.02078,0.02061
1740706380,0.02061,0.02065,0.02069,0.02061,147.0,303.509,0.02065,0.02065,0.02069,0.02061
1740706440,0.02065,0.02063,0.02079,0.02063,31.0,64.201,0.0207,0.02063,0.02079,0.02063
1740706500,0.02063,0.02076,0.02076,0.02063,21.0,43.563,0.02071,0.02076,0.02076,0.02071
1740706560,0.02076,0.02068,0.02083,0.02068,39.0,81.004,0.02078,0.02068,0.02083,0.02068
1740706620,0.02068,0.02062,0.02074,0.02062,226.0,466.816,0.02068,0.02062,0.02074,0.02062
1740706680,0.02062,0.02069,0.02069,0.02058,29.0,59.783,0.02059,0.02069,0.02069,0.02058
1740706740,0.02069,0.02064,0.02075,0.02064,34.0,70.422,0.0207,0.02064,0.02075,0.02064
1740706800,0.02064,0.02056,0.02064,0.02055,2522.0,5182.777,0.02061,0.02056,0.02061,0.02055
1740706860,0.02056,0.02055,0.02057,0.0205,2672.0,5480.427,0.02054,0.02055,0.02057,0.0205
1740706920,0.02055,0.0206,0.02065,0.02055,32.0,65.95,0.02057,0.0206,0.02065,0.02057
1740706980,0.0206,0.02056,0.0206,0.02054,32.0,65.769,0.02056,0.02056,0.02056,0.02054
1740707040,0.02056,0.02059,0.02063,0.02056,24.0,49.451,0.02063,0.02059,0.02063,0.02058
1740707100,0.02059,0.0206,0.0206,0.02054,41.0,84.393,0.02058,0.0206,0.0206,0.02054
1740707160,0.0206,0.02062,0.02062,0.02056,45.0,92.688,0.02056,0.02062,0.02062,0.02056
1740707220,0.02062,0.02062,0.02064,0.02061,34.0,70.109,0.02061,0.02062,0.02064,0.02061
1740707280,0.02062,0.0206,0.02062,0.0206,84.0,173.053,0.02061,0.0206,0.02061,0.0206
1740707340,0.0206,0.02055,0.0206,0.02051,4074.0,8367.424,0.02057,0.02055,0.02058,0.02051
1740707400,0.02055,0.02054,0.02059,0.02053,26.0,53.432,0.02054,0.02054,0.02059,0.02053
1740707460,0.02054,0.02052,0.02054,0.02049,185.0,379.585,0.02053,0.02052,0.02053,0.02049
