time,open,close,high,low
1741478400,2.954,2.953,2.955,2.953
1741478460,2.953,2.956,2.957,2.953
1741478520,2.956,2.95,2.956,2.949
1741478580,2.95,2.95,2.95,2.948
1741478640,2.95,2.951,2.951,2.95
1741478700,2.951,2.951,2.951,2.951
1741478760,2.951,2.953,2.953,2.95
1741478820,2.953,2.954,2.955,2.953
1741478880,2.954,2.956,2.957,2.954
1741478940,2.956,2.954,2.957,2.954
1741479000,2.954,2.954,2.955,2.953
1741479060,2.954,2.955,2.957,2.954
1741479120,2.955,2.96,2.96,2.955
1741479180,2.96,2.959,2.96,2.958
1741479240,2.959,2.959,2.959,2.958
1741479300,2.959,2.962,2.962,2.958
1741479360,2.962,2.963,2.963,2.961
1741479420,2.963,2.96,2.964,2.96
1741479480,2.96,2.958,2.961,2.958
1741479540,2.958,2.959,2.96,2.958
1741479600,2.959,2.96,2.96,2.959
1741479660,2.96,2.958,2.96,2.958
1741479720,2.958,2.96,2.961,2.958
1741479780,2.96,2.962,2.962,2.96
1741479840,2.962,2.961,2.964,2.961
1741479900,2.961,2.96,2.961,2.96
1741479960,2.96,2.961,2.961,2.96
1741480020,2.961,2.963,2.963,2.961
1741480080,2.963,2.96,2.963,2.96
1741480140,2.96,2.961,2.961,2.96
1741480200,2.961,2.961,2.962,2.961
1741480260,2.961,2.962,2.962,2.961
1741480320,2.962,2.963,2.964,2.962
1741480380,2.963,2.962,2.963,2.962
1741480440,2.962,2.959,2.962,2.959
1741480500,2.959,2.959,2.959,2.958
1741480560,2.959,2.96,2.96,2.958
1741480620,2.96,2.959,2.96,2.958
1741480680,2.959,2.959,2.959,2.958
1741480740,2.959,2.958,2.96,2.958
1741480800,2.958,2.959,2.959,2.958
1741480860,2.959,2.958,2.96,2.958
1741480920,2.958,2.959,2.959,2.958
1741480980,2.959,2.957,2.959,2.957
1741481040,2.957,2.956,2.957,2.955
1741481100,2.956,2.956,2.956,2.955
1741481160,2.956,2.958,2.958,2.956
1741481220,2.958,2.96,2.96,2.957
1741481280,2.96,2.96,2.96,2.959
1741481340,2.96,2.959,2.96,2.958
1741481400,2.959,2.96,2.96,2.959
1741481460,2.96,2.959,2.96,2.957
1741481520,2.959,2.959,2.959,2.958
1741481580,2.959,2.96,2.96,2.959
1741481640,2.96,2.959,2.96,2.959
1741481700,2.959,2.959,2.959,2.958
1741481760,2.959,2.96,2.96,2.959
1741481820,2.96,2.96,2.96,2.959
1741481880,2.96,2.958,2.96,2.958
1741481940,2.958,2.958,2.958,2.958
1741482000,2.958,2.96,2.96,2.958
1741482060,2.96,2.961,2.962,2.959
1741482120,2.961,2.96,2.962,2.959
1741482180,2.96,2.959,2.96,2.959
1741482240,2.959,2.961,2.961,2.958
1741482300,2.961,2.962,2.963,2.961
1741482360,2.962,2.965,2.967,2.962
1741482420,2.965,2.964,2.965,2.964
1741482480,2.964,2.964,2.964,2.961
1741482540,2.964,2.964,2.964,2.963
1741482600,2.964,2.965,2.966,2.964
1741482660,2.965,2.965,2.965,2.964
1741482720,2.965,2.964,2.965,2.963
1741482780,2.964,2.966,2.966,2.963
1741482840,2.966,2.964,2.966,2.964
1741482900,2.964,2.963,2.964,2.963
1741482960,2.963,2.965,2.965,2.963
1741483020,2.965,2.962,2.965,2.962
1741483080,2.962,2.963,2.963,2.961
1741483140,2.963,2.962,2.963,2.961
1741483200,2.962,2.962,2.962,2.961
1741483260,2.962,2.96,2.962,2.96
1741483320,2.96,2.961,2.961,2.959
1741483380,2.961,2.963,2.963,2.959
1741483440,2.963,2.963,2.966,2.963
1741483500,2.963,2.964,2.965,2.963
1741483560,2.964,2.962,2.964,2.961
1741483620,2.962,2.962,2.962,2.961
1741483680,2.962,2.959,2.962,2.959
1741483740,2.959,2.959,2.959,2.958
1741483800,2.959,2.96,2.96,2.959
1741483860,2.96,2.957,2.96,2.957
1741483920,2.957,2.958,2.959,2.957
1741483980,2.958,2.959,2.96,2.958
1741484040,2.959,2.957,2.959,2.957
1741484100,2.957,2.956,2.957,2.955
1741484160,2.956,2.954,2.956,2.952
1741484220,2.954,2.956,2.956,2.954
1741484280,2.956,2.955,2.956,2.954
1741484340,2.955,2.949,2.955,2.948
1741484400,2.949,2.95,2.95,2.949
1741484460,2.95,2.954,2.954,2.95
1741484520,2.954,2.954,2.954,2.953
1741484580,2.954,2.954,2.954,2.953
1741484640,2.954,2.954,2.955,2.954
1741484700,2.954,2.951,2.954,2.951
1741484760,2.951,2.953,2.956,2.951
1741484820,2.953,2.954,2.954,2.952
1741484880,2.954,2.953,2.954,2.952
1741484940,2.953,2.952,2.953,2.951
1741485000,2.952,2.949,2.952,2.947
1741485060,2.949,2.947,2.95,2.947
1741485120,2.947,2.948,2.948,2.946
1741485180,2.948,2.947,2.948,2.944
1741485240,2.947,2.947,2.947,2.946
1741485300,2.947,2.945,2.947,2.945
1741485360,2.945,2.946,2.947,2.945
1741485420,2.946,2.948,2.948,2.946
1741485480,2.948,2.948,2.949,2.947
1741485540,2.948,2.948,2.948,2.948
1741485600,2.948,2.947,2.948,2.946
1741485660,2.947,2.948,2.949,2.947
1741485720,2.948,2.945,2.948,2.945
1741485780,2.945,2.948,2.948,2.944
1741485840,2.948,2.945,2.949,2.945
1741485900,2.945,2.947,2.949,2.945
1741485960,2.947,2.943,2.947,2.943
1741486020,2.943,2.942,2.944,2.942
1741486080,2.942,2.944,2.945,2.942
1741486140,2.944,2.943,2.945,2.943
1741486200,2.943,2.945,2.945,2.943
1741486260,2.945,2.942,2.945,2.942
1741486320,2.942,2.942,2.943,2.94
1741486380,2.942,2.945,2.945,2.941
1741486440,2.945,2.941,2.945,2.941
1741486500,2.941,2.938,2.941,2.938
1741486560,2.938,2.935,2.938,2.934
1741486620,2.935,2.937,2.938,2.935
1741486680,2.937,2.939,2.94,2.937
1741486740,2.939,2.94,2.94,2.938
1741486800,2.94,2.938,2.941,2.938
1741486860,2.938,2.939,2.939,2.936
1741486920,2.939,2.936,2.94,2.936
1741486980,2.936,2.938,2.938,2.936
1741487040,2.938,2.935,2.938,2.935
1741487100,2.935,2.936,2.938,2.935
1741487160,2.936,2.936,2.937,2.931
1741487220,2.936,2.939,2.939,2.936
1741487280,2.939,2.94,2.94,2.938
1741487340,2.94,2.94,2.94,2.938
1741487400,2.94,2.939,2.94,2.938
1741487460,2.939,2.938,2.939,2.938
1741487520,2.938,2.939,2.94,2.938
1741487580,2.939,2.941,2.941,2.939
1741487640,2.941,2.94,2.941,2.939
1741487700,2.94,2.938,2.94,2.935
1741487760,2.938,2.941,2.941,2.938
1741487820,2.941,2.94,2.941,2.939
1741487880,2.94,2.939,2.94,2.938
1741487940,2.939,2.937,2.939,2.935
1741488000,2.937,2.936,2.937,2.936
1741488060,2.936,2.933,2.936,2.933
1741488120,2.933,2.934,2.934,2.933
