time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.0935,0.0932,0.0936,0.0932,108.0,100.943,0.0936,0.0932,0.0936,0.0932
1740700860,0.0932,0.093,0.0933,0.093,26409.0,24563.266,0.0932,0.093,0.0933,0.093
1740700920,0.093,0.0937,0.0937,0.093,595.0,556.648,0.0932,0.0937,0.0937,0.0932
1740700980,0.0937,0.0933,0.0937,0.0933,521.0,486.186,0.0937,0.0933,0.0937,0.0933
1740701040,0.0933,0.0934,0.0934,0.0933,63.0,58.799,0.0933,0.0934,0.0934,0.0933
1740701100,0.0934,0.0937,0.0937,0.0933,383.0,358.093,0.0933,0.0937,0.0937,0.0933
1740701160,0.0937,0.0933,0.0937,0.0932,241.0,224.696,0.0936,0.0933,0.0936,0.0932
1740701220,0.0933,0.0932,0.0933,0.0932,64.0,59.673,0.0933,0.0932,0.0933,0.0932
1740701280,0.0932,0.0931,0.0932,0.0931,9589.0,8927.382,0.0932,0.0931,0.0932,0.0931
1740701340,0.0931,0.0932,0.0933,0.0931,2409.0,2247.541,0.0932,0.0932,0.0933,0.0932
1740701400,0.0932,0.0925,0.0932,0.0925,77900.0,72148.068,0.0931,0.0925,0.0931,0.0925
1740701460,0.0925,0.0927,0.093,0.0925,24433.0,22629.097,0.0927,0.0927,0.093,0.0926
1740701520,0.0927,0.0927,0.0928,0.0926,3124.0,2895.833,0.0926,0.0927,0.0928,0.0926
1740701580,0.0927,0.0926,0.0927,0.0925,2936.0,2718.754,0.0927,0.0926,0.0927,0.0925
1740701640,0.0926,0.0927,0.0927,0.0926,70.0,64.876,0.0927,0.0927,0.0927,0.0926
1740701700,0.0927,0.0927,0.0927,0.0927,10394.0,9635.238,0.0927,0.0927,0.0927,0.0927
1740701760,0.0927,0.0928,0.0929,0.0927,101.0,93.756,0.0929,0.0928,0.0929,0.0928
1740701820,0.0928,0.0931,0.0931,0.0928,3386.0,3147.685,0.093,0.0931,0.0931,0.0929
1740701880,0.0931,0.0932,0.0933,0.0931,164.0,152.864,0.0932,0.0932,0.0933,0.0932
1740701940,0.0932,0.093,0.0932,0.0929,114.0,106.005,0.0929,0.093,0.0931,0.0929
1740702000,0.093,0.0929,0.0931,0.0928,479.0,444.576,0.093,0.0929,0.0931,0.0928
1740702060,0.0929,0.0928,0.0929,0.0927,77.0,71.416,0.0927,0.0928,0.0928,0.0927
1740702120,0.0928,0.0927,0.0928,0.0926,161.0,149.113,0.0926,0.0927,0.0927,0.0926
1740702180,0.0927,0.0928,0.0929,0.0927,82.0,76.109,0.0927,0.0928,0.0929,0.0927
1740702240,0.0928,0.093,0.093,0.0928,138.0,128.3,0.0929,0.093,0.093,0.0929
