time,open,high,low,close
1740700800,7.862,7.87,7.858,7.858
1740700860,7.858,7.86,7.837,7.837
1740700920,7.837,7.885,7.837,7.883
1740700980,7.883,7.883,7.867,7.868
1740701040,7.868,7.885,7.864,7.885
1740701100,7.885,7.887,7.882,7.882
1740701160,7.882,7.882,7.856,7.856
1740701220,7.856,7.856,7.844,7.847
1740701280,7.847,7.861,7.843,7.85
1740701340,7.85,7.877,7.85,7.877
1740701400,7.877,7.877,7.863,7.863
1740701460,7.863,7.87,7.859,7.86
1740701520,7.86,7.863,7.851,7.862
1740701580,7.862,7.863,7.841,7.844
1740701640,7.844,7.844,7.835,7.839
1740701700,7.839,7.845,7.833,7.833
1740701760,7.833,7.845,7.833,7.836
1740701820,7.836,7.843,7.825,7.825
1740701880,7.825,7.843,7.825,7.837
1740701940,7.837,7.853,7.837,7.853
1740702000,7.853,7.864,7.853,7.858
1740702060,7.858,7.858,7.838,7.838
1740702120,7.838,7.846,7.834,7.846
1740702180,7.846,7.858,7.846,7.858
1740702240,7.858,7.872,7.858,7.87
1740702300,7.87,7.873,7.869,7.869
1740702360,7.869,7.87,7.86,7.864
1740702420,7.864,7.864,7.845,7.847
1740702480,7.847,7.847,7.842,7.842
1740702540,7.842,7.842,7.83,7.831
1740702600,7.831,7.836,7.823,7.823
1740702660,7.823,7.823,7.813,7.819
1740702720,7.819,7.833,7.819,7.828
1740702780,7.828,7.831,7.821,7.821
1740702840,7.821,7.835,7.821,7.835
1740702900,7.835,7.839,7.83,7.83
1740702960,7.83,7.831,7.827,7.829
1740703020,7.829,7.84,7.824,7.84
1740703080,7.84,7.861,7.84,7.855
1740703140,7.855,7.856,7.848,7.856
1740703200,7.856,7.856,7.841,7.841
1740703260,7.841,7.841,7.834,7.838
1740703320,7.838,7.838,7.834,7.836
1740703380,7.836,7.838,7.836,7.838
1740703440,7.838,7.838,7.827,7.833
1740703500,7.833,7.833,7.823,7.824
1740703560,7.824,7.835,7.824,7.827
1740703620,7.827,7.831,7.821,7.821
