time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.2204,0.2198,0.2205,0.2198,376.0,82.8088,0.2205,0.2198,0.2205,0.2198
1740700860,0.2198,0.2195,0.22,0.2194,301.0,66.1376,0.2198,0.2195,0.22,0.2194
1740700920,0.2195,0.2207,0.2207,0.2195,403.0,88.7562,0.22,0.2207,0.2207,0.22
1740700980,0.2207,0.2202,0.2207,0.2199,211.0,46.4289,0.2203,0.2202,0.2203,0.2199
1740701040,0.2202,0.2199,0.2202,0.2196,304.0,66.8232,0.2202,0.2199,0.2202,0.2196
1740701100,0.2199,0.2202,0.2204,0.2199,2424.0,533.7518,0.22,0.2202,0.2204,0.22
1740701160,0.2202,0.2199,0.2204,0.2198,326.0,71.714,0.2204,0.2199,0.2204,0.2198
1740701220,0.2199,0.2197,0.2199,0.2196,270.0,59.327,0.2199,0.2197,0.2199,0.2196
1740701280,0.2197,0.2204,0.2204,0.2197,398.0,87.5661,0.2197,0.2204,0.2204,0.2197
1740701340,0.2204,0.2206,0.2209,0.2204,394.0,86.9845,0.2207,0.2206,0.2209,0.2206
1740701400,0.2206,0.2202,0.2206,0.2202,246.0,54.2252,0.2205,0.2202,0.2205,0.2202
1740701460,0.2202,0.2204,0.2204,0.2201,272.0,59.9035,0.2202,0.2204,0.2204,0.2201
1740701520,0.2204,0.2203,0.2204,0.22,243.0,53.5127,0.22,0.2203,0.2204,0.22
1740701580,0.2203,0.2201,0.2204,0.22,387.0,85.1945,0.2203,0.2201,0.2204,0.22
1740701640,0.2201,0.2197,0.2201,0.2197,308.0,67.7289,0.2201,0.2197,0.2201,0.2197
1740701700,0.2197,0.2198,0.22,0.2197,262.0,57.622,0.22,0.2198,0.22,0.2198
1740701760,0.2198,0.2199,0.2201,0.2198,367.0,80.7478,0.22,0.2199,0.2201,0.2199
1740701820,0.2199,0.2194,0.22,0.2194,266.0,58.4512,0.22,0.2194,0.22,0.2194
