time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.017117,0.017097,0.017117,0.017097,7.0,119.706,0.017107,0.017097,0.017107,0.017097
1740700860,0.017097,0.01709,0.017101,0.01709,4.0,68.382,0.017101,0.01709,0.017101,0.01709
1740700920,0.01709,0.017169,0.017169,0.01709,6.0,102.7,0.017093,0.017169,0.017169,0.017093
1740700980,0.017169,0.017142,0.017169,0.017122,4.0,68.541,0.017135,0.017142,0.017142,0.017122
1740701040,0.017142,0.017162,0.017162,0.017137,6.0,102.847,0.017137,0.017162,0.017162,0.017137
1740701100,0.017162,0.01716,0.017164,0.01716,4.0,68.652,0.017164,0.01716,0.017164,0.01716
1740701160,0.01716,0.017119,0.01716,0.017119,6.0,102.802,0.017148,0.017119,0.017148,0.017119
1740701220,0.017119,0.017117,0.017144,0.017117,290.0,4970.109,0.017125,0.017117,0.017144,0.017117
1740701280,0.017117,0.017123,0.017123,0.017113,4.0,68.476,0.017117,0.017123,0.017123,0.017113
1740701340,0.017123,0.017158,0.017162,0.017123,6.0,102.906,0.017133,0.017158,0.017162,0.017133
1740701400,0.017158,0.017142,0.017158,0.017142,2.0,34.298,0.017156,0.017142,0.017156,0.017142
1740701460,0.017142,0.01712,0.017142,0.017119,4.0,68.486,0.017128,0.01712,0.017128,0.017119
1740701520,0.01712,0.017148,0.017148,0.01712,5.0,85.675,0.017123,0.017148,0.017148,0.017123
1740701580,0.017148,0.017118,0.017148,0.017118,4.0,68.503,0.017143,0.017118,0.017143,0.017118
1740701640,0.017118,0.017107,0.017119,0.017107,6.0,102.668,0.017119,0.017107,0.017119,0.017107
1740701700,0.017107,0.017102,0.017107,0.017101,7.0,119.718,0.017105,0.017102,0.017106,0.017101
1740701760,0.017102,0.017122,0.01713,0.017102,4.0,68.49,0.017115,0.017122,0.01713,0.017115
1740701820,0.017122,0.017098,0.017127,0.017098,4.0,68.446,0.017123,0.017098,0.017127,0.017098
1740701880,0.017098,0.017081,0.017103,0.017081,5.0,85.452,0.017084,0.017081,0.017103,0.017081
1740701940,0.017081,0.017117,0.017117,0.017081,107.0,1830.822,0.017086,0.017117,0.017117,0.017086
1740702000,0.017117,0.017102,0.017117,0.017099,8.0,136.804,0.017099,0.017102,0.017102,0.017099
1740702060,0.017102,0.017091,0.017102,0.017082,9.0,153.788,0.017096,0.017091,0.017096,0.017082
1740702120,0.017091,0.017073,0.017091,0.017073,3.0,51.225,0.017079,0.017073,0.017079,0.017073
1740702180,0.017073,0.017087,0.017094,0.017073,24.0,410.062,0.017088,0.017087,0.017094,0.017083
1740702240,0.017087,0.017099,0.017099,0.017087,11.0,188.077,0.017095,0.017099,0.017099,0.017095
1740702300,0.017099,0.017102,0.017104,0.017094,7.0,119.7,0.017094,0.017102,0.017104,0.017094
1740702360,0.017102,0.017067,0.017102,0.017067,7.0,119.532,0.017088,0.017067,0.017088,0.017067
1740702420,0.017067,0.017042,0.017073,0.017041,8.0,136.396,0.017073,0.017042,0.017073,0.017041
1740702480,0.017042,0.017045,0.017048,0.017042,5.0,85.228,0.017048,0.017045,0.017048,0.017045
1740702540,0.017045,0.017035,0.017045,0.017035,3.0,51.11,0.01704,0.017035,0.01704,0.017035
1740702600,0.017035,0.01703,0.017035,0.01703,5.0,85.161,0.017034,0.01703,0.017034,0.01703
1740702660,0.01703,0.017018,0.01703,0.017013,7.0,119.106,0.017018,0.017018,0.017018,0.017013
1740702720,0.017018,0.017041,0.017052,0.017018,6.0,102.225,0.017025,0.017041,0.017052,0.017025
1740702780,0.017041,0.017029,0.017041,0.017029,4.0,68.14,0.017041,0.017029,0.017041,0.017029
1740702840,0.017029,0.01704,0.01704,0.017026,10.0,170.36,0.017027,0.01704,0.01704,0.017026
1740702900,0.01704,0.017042,0.017044,0.017039,6.0,102.25,0.017044,0.017042,0.017044,0.017039
1740702960,0.017042,0.01704,0.017043,0.017033,4.0,68.149,0.017043,0.01704,0.017043,0.017033
1740703020,0.01704,0.017059,0.017059,0.017028,10.0,170.448,0.017028,0.017059,0.017059,0.017028
1740703080,0.017059,0.017092,0.017092,0.017059,6.0,102.48,0.017072,0.017092,0.017092,0.017072
1740703140,0.017092,0.017094,0.017094,0.017091,7.0,119.655,0.017094,0.017094,0.017094,0.017091
1740703200,0.017094,0.017101,0.017102,0.017094,4.0,68.393,0.017095,0.017101,0.017102,0.017095
1740703260,0.017101,0.017075,0.017101,0.017069,7.0,119.5,0.017074,0.017075,0.017075,0.017069
1740703320,0.017075,0.017083,0.017083,0.017059,23.0,392.513,0.017075,0.017083,0.017083,0.017059
1740703380,0.017083,0.017075,0.017083,0.017075,4.0,68.306,0.017079,0.017075,0.017079,0.017075
1740703440,0.017075,0.017055,0.017075,0.017055,4.0,68.23,0.017063,0.017055,0.017063,0.017055
1740703500,0.017055,0.017047,0.017057,0.017047,4.0,68.208,0.017057,0.017047,0.017057,0.017047
1740703560,0.017047,0.017028,0.017049,0.017028,5.0,85.193,0.017049,0.017028,0.017049,0.017028
1740703620,0.017028,0.017024,0.017041,0.017022,4.0,68.111,0.017022,0.017024,0.017041,0.017022
1740703680,0.017024,0.016975,0.017024,0.016975,302.0,5128.576,0.017017,0.016975,0.017017,0.016975
1740703740,0.016975,0.016943,0.016975,0.016938,118.0,1999.017,0.016964,0.016943,0.016964,0.016938
1740703800,0.016943,0.016964,0.016964,0.016943,6.0,101.768,0.016953,0.016964,0.016964,0.016953
1740703860,0.016964,0.016959,0.016966,0.016959,89.0,1509.358,0.016966,0.016959,0.016966,0.016959
1740703920,0.016959,0.016962,0.016963,0.016959,6.0,101.773,0.016963,0.016962,0.016963,0.016962
1740703980,0.016962,0.016981,0.016981,0.016962,7.0,118.838,0.016972,0.016981,0.016981,0.016972
1740704040,0.016981,0.017016,0.017022,0.016981,6.0,102.095,0.016997,0.017016,0.017022,0.016997
1740704100,0.017016,0.017017,0.017017,0.017013,5.0,85.076,0.017016,0.017017,0.017017,0.017013
1740704160,0.017017,0.017037,0.017037,0.017016,6.0,102.201,0.017016,0.017037,0.017037,0.017016
1740704220,0.017037,0.017033,0.017037,0.017033,3.0,51.102,0.017033,0.017033,0.017036,0.017033
1740704280,0.017033,0.017034,0.017037,0.017031,5.0,85.17,0.017031,0.017034,0.017037,0.017031
1740704340,0.017034,0.017018,0.017034,0.017018,3.0,51.054,0.017018,0.017018,0.017018,0.017018
1740704400,0.017018,0.017021,0.017021,0.01701,4.0,68.059,0.01701,0.017021,0.017021,0.01701
1740704460,0.017021,0.017051,0.017051,0.017003,136.0,2313.283,0.017021,0.017051,0.017051,0.017003
1740704520,0.017051,0.017054,0.017054,0.017051,4.0,68.213,0.017051,0.017054,0.017054,0.017051
1740704580,0.017054,0.017052,0.017054,0.017044,4.0,68.192,0.017044,0.017052,0.017052,0.017044
1740704640,0.017052,0.01707,0.01707,0.017052,5.0,85.308,0.017056,0.01707,0.01707,0.017056
1740704700,0.01707,0.017061,0.01707,0.017048,351.0,5988.367,0.017053,0.017061,0.01707,0.017048
1740704760,0.017061,0.01704,0.017061,0.017039,5.0,85.229,0.017055,0.01704,0.017055,0.017039
1740704820,0.01704,0.017036,0.01704,0.017035,4.0,68.142,0.017035,0.017036,0.017036,0.017035
1740704880,0.017036,0.017039,0.017042,0.017036,4.0,68.16,0.017042,0.017039,0.017042,0.017039
1740704940,0.017039,0.017056,0.017056,0.017039,6.0,102.284,0.017045,0.017056,0.017056,0.017041
1740705000,0.017056,0.017048,0.017057,0.017048,6.0,102.322,0.017056,0.017048,0.017057,0.017048
1740705060,0.017048,0.017042,0.01705,0.017042,5.0,85.226,0.01705,0.017042,0.01705,0.017042
1740705120,0.017042,0.017051,0.017053,0.017042,4.0,68.188,0.017042,0.017051,0.017053,0.017042
1740705180,0.017051,0.017062,0.017062,0.017047,5.0,85.273,0.017051,0.017062,0.017062,0.017047
1740705240,0.017062,0.017063,0.017063,0.017059,6.0,102.37,0.017063,0.017063,0.017063,0.017059
1740705300,0.017063,0.017041,0.017073,0.017041,40.0,682.679,0.017062,0.017041,0.017073,0.017041
1740705360,0.017041,0.016963,0.017049,0.016959,143.0,2426.458,0.017049,0.016963,0.017049,0.016959
1740705420,0.016963,0.017018,0.017018,0.016963,34.0,577.09,0.016969,0.017018,0.017018,0.016965
1740705480,0.017018,0.017015,0.017038,0.017015,4.0,68.115,0.017031,0.017015,0.017038,0.017015
1740705540,0.017015,0.016989,0.017015,0.016989,3.0,50.972,0.016991,0.016989,0.016992,0.016989
1740705600,0.016989,0.017006,0.017006,0.016989,4.0,68.005,0.016997,0.017006,0.017006,0.016996
1740705660,0.017006,0.016991,0.017009,0.016991,9.0,153.013,0.017002,0.016991,0.017009,0.016991
1740705720,0.016991,0.016973,0.016991,0.01697,7.0,118.815,0.016989,0.016973,0.016989,0.01697
1740705780,0.016973,0.016932,0.016973,0.016924,4.0,67.704,0.016924,0.016932,0.016932,0.016924
1740705840,0.016932,0.016914,0.016946,0.016912,130.0,2199.208,0.016931,0.016914,0.016946,0.016912
1740705900,0.016914,0.016855,0.016914,0.016855,340.0,5733.815,0.016876,0.016855,0.016876,0.016855
1740705960,0.016855,0.016874,0.016906,0.016855,41.0,691.773,0.016874,0.016874,0.016906,0.016868
1740706020,0.016874,0.016807,0.016874,0.016807,235.0,3950.855,0.016826,0.016807,0.016826,0.016807
1740706080,0.016807,0.016736,0.016807,0.016736,580.0,9719.654,0.016801,0.016736,0.016801,0.016736
1740706140,0.016736,0.016773,0.016787,0.016736,22.0,369.018,0.016776,0.016773,0.016787,0.016768
1740706200,0.016773,0.01667,0.016773,0.016665,255.0,4253.236,0.016773,0.01667,0.016773,0.016665
1740706260,0.01667,0.016525,0.01667,0.016525,3654.0,60481.4,0.016643,0.016525,0.016657,0.016525
1740706320,0.016525,0.016547,0.016652,0.016524,290.0,4798.042,0.016652,0.016547,0.016652,0.016524
1740706380,0.016547,0.016479,0.016597,0.016477,151.0,2488.789,0.016527,0.016479,0.016597,0.016477
1740706440,0.016479,0.016415,0.016508,0.016415,12.0,197.259,0.016508,0.016415,0.016508,0.016415
1740706500,0.016415,0.016561,0.016561,0.016415,5.0,82.663,0.016523,0.016561,0.016561,0.016523
1740706560,0.016561,0.016564,0.016626,0.016559,326.0,5409.847,0.016595,0.016564,0.016626,0.016559
1740706620,0.016564,0.016606,0.016632,0.016564,191.0,3170.827,0.016577,0.016606,0.016632,0.016565
1740706680,0.016606,0.016514,0.016606,0.016504,53.0,877.349,0.016504,0.016514,0.016559,0.016504
1740706740,0.016514,0.016601,0.01662,0.016514,38.0,631.326,0.016602,0.016601,0.01662,0.016592
1740706800,0.016601,0.016594,0.016601,0.016582,3.0,49.765,0.016589,0.016594,0.016594,0.016582
1740706860,0.016594,0.016597,0.016597,0.016577,3.0,49.771,0.016577,0.016597,0.016597,0.016577
1740706920,0.016597,0.016669,0.016674,0.016597,5.0,83.134,0.016597,0.016669,0.016674,0.016597
1740706980,0.016669,0.016628,0.016669,0.016628,10.0,166.45,0.016642,0.016628,0.016657,0.016628
1740707040,0.016628,0.016651,0.016651,0.016628,5.0,83.236,0.016632,0.016651,0.016651,0.016632
1740707100,0.016651,0.01669,0.016696,0.016651,10.0,166.804,0.01666,0.01669,0.016696,0.01666
1740707160,0.01669,0.0167,0.0167,0.01669,4.0,66.791,0.016691,0.0167,0.0167,0.016691
1740707220,0.0167,0.016735,0.016758,0.0167,135.0,2260.767,0.016751,0.016735,0.016758,0.016735
1740707280,0.016735,0.016727,0.016755,0.016721,242.0,4049.757,0.016748,0.016727,0.016755,0.016721
1740707340,0.016727,0.016635,0.016727,0.016635,122.0,2031.745,0.016685,0.016635,0.016689,0.016635
1740707400,0.016635,0.016615,0.016656,0.016615,98.0,1629.932,0.016642,0.016615,0.016656,0.016615
1740707460,0.016615,0.016545,0.016615,0.016545,35.0,580.538,0.01659,0.016545,0.016605,0.016545
1740707520,0.016545,0.016479,0.016545,0.016479,102.0,1683.607,0.016535,0.016479,0.016535,0.016479
1740707580,0.016479,0.016395,0.016479,0.016385,269.0,4409.778,0.016417,0.016395,0.016417,0.016385
1740707640,0.016395,0.016353,0.016395,0.016324,160.0,2616.991,0.016374,0.016353,0.016374,0.016324
1740707700,0.016353,0.016369,0.016369,0.016344,2.0,32.713,0.016344,0.016369,0.016369,0.016344
1740707760,0.016369,0.016457,0.016457,0.016369,7.0,115.119,0.016432,0.016457,0.016457,0.016432
1740707820,0.016457,0.016459,0.016493,0.016442,4.0,65.887,0.016493,0.016459,0.016493,0.016442
1740707880,0.016459,0.016442,0.016471,0.016442,172.0,2831.399,0.016466,0.016442,0.016471,0.016442
1740707940,0.016442,0.016403,0.016442,0.016403,5.0,82.123,0.016439,0.016403,0.016439,0.016403
1740708000,0.016403,0.01621,0.016403,0.01621,876.0,14252.316,0.016367,0.01621,0.016369,0.01621
1740708060,0.01621,0.016279,0.016301,0.01621,4.0,65.126,0.016301,0.016279,0.016301,0.016273
1740708120,0.016279,0.016267,0.016288,0.016196,449.0,7286.847,0.016288,0.016267,0.016288,0.016196
1740708180,0.016267,0.016265,0.016284,0.016265,31.0,504.31,0.016265,0.016265,0.016284,0.016265
