time,open,close,high,low
1741492800,0.7215,0.7213,0.722,0.7213
1741492860,0.7213,0.7221,0.7221,0.72
1741492920,0.7221,0.7222,0.7227,0.722
1741492980,0.7222,0.7224,0.7224,0.7216
1741493040,0.7224,0.7226,0.7231,0.7224
1741493100,0.7226,0.721,0.7226,0.721
1741493160,0.721,0.7211,0.7211,0.72
1741493220,0.7211,0.7207,0.7211,0.72
1741493280,0.7207,0.7218,0.7224,0.7207
1741493340,0.7218,0.7192,0.7218,0.7192
1741493400,0.7192,0.7187,0.7195,0.7187
1741493460,0.7187,0.719,0.7192,0.7186
1741493520,0.719,0.7192,0.7192,0.7186
1741493580,0.7192,0.7176,0.7192,0.7176
1741493640,0.7176,0.7181,0.7181,0.7174
1741493700,0.7181,0.7189,0.7197,0.7181
1741493760,0.7189,0.7217,0.7218,0.7189
1741493820,0.7217,0.7205,0.7217,0.7205
1741493880,0.7205,0.7192,0.7205,0.7189
1741493940,0.7192,0.7196,0.72,0.7192
1741494000,0.7196,0.7183,0.7196,0.7183
1741494060,0.7183,0.717,0.7183,0.717
1741494120,0.717,0.7153,0.7173,0.7153
1741494180,0.7153,0.7158,0.716,0.7153
1741494240,0.7158,0.7167,0.7169,0.7158
1741494300,0.7167,0.7186,0.7186,0.7167
1741494360,0.7186,0.717,0.7186,0.7166
1741494420,0.717,0.7184,0.7188,0.717
1741494480,0.7184,0.7194,0.7196,0.7184
1741494540,0.7194,0.7202,0.7202,0.7194
1741494600,0.7202,0.7198,0.7212,0.7198
1741494660,0.7198,0.7207,0.7207,0.7198
1741494720,0.7207,0.7209,0.7216,0.7207
1741494780,0.7209,0.7202,0.7209,0.7201
1741494840,0.7202,0.7213,0.7213,0.7202
1741494900,0.7213,0.7212,0.7213,0.721
1741494960,0.7212,0.7203,0.7217,0.7203
1741495020,0.7203,0.7204,0.7208,0.7199
1741495080,0.7204,0.7201,0.7208,0.7201
1741495140,0.7201,0.7209,0.7211,0.7201
1741495200,0.7209,0.7209,0.7214,0.7205
1741495260,0.7209,0.721,0.7218,0.7207
1741495320,0.721,0.721,0.721,0.7204
1741495380,0.721,0.7205,0.7213,0.7201
1741495440,0.7205,0.7199,0.7205,0.7198
1741495500,0.7199,0.7197,0.7203,0.7196
1741495560,0.7197,0.7202,0.7205,0.7197
1741495620,0.7202,0.7202,0.7203,0.7199
1741495680,0.7202,0.7194,0.7202,0.7191
1741495740,0.7194,0.7185,0.7203,0.718
1741495800,0.7185,0.7164,0.7185,0.7161
1741495860,0.7164,0.7185,0.7185,0.7164
1741495920,0.7185,0.7181,0.7186,0.7176
1741495980,0.7181,0.7192,0.7192,0.7181
1741496040,0.7192,0.7196,0.7196,0.7187
1741496100,0.7196,0.72,0.72,0.7191
1741496160,0.72,0.7198,0.7203,0.7198
1741496220,0.7198,0.7211,0.7211,0.7194
