time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.5851,0.5842,0.5858,0.5838,8121.0,47491.246,0.5858,0.5842,0.5858,0.5838
1740700860,0.5842,0.5852,0.5861,0.5841,15456.0,90511.267,0.5842,0.5852,0.5861,0.5841
1740700920,0.5852,0.5867,0.5882,0.5852,29339.0,172322.011,0.5863,0.5867,0.5882,0.5863
1740700980,0.5867,0.5861,0.5867,0.5854,8377.0,49083.741,0.5861,0.5861,0.5862,0.5854
1740701040,0.5861,0.587,0.587,0.5859,9182.0,53878.928,0.5859,0.587,0.587,0.5859
1740701100,0.587,0.5878,0.5879,0.5867,13487.0,79230.34,0.5867,0.5878,0.5879,0.5867
1740701160,0.5878,0.5863,0.5883,0.5858,24780.0,145333.173,0.5883,0.5863,0.5883,0.5858
1740701220,0.5863,0.5866,0.5867,0.5859,10901.0,63893.82,0.5862,0.5866,0.5867,0.5859
1740701280,0.5866,0.5876,0.588,0.5864,3368.0,19787.077,0.5865,0.5876,0.588,0.5864
1740701340,0.5876,0.589,0.5893,0.5876,17049.0,100290.735,0.5879,0.589,0.5893,0.5879
1740701400,0.589,0.5875,0.589,0.5874,25107.0,147612.444,0.5888,0.5875,0.5888,0.5874
1740701460,0.5875,0.5857,0.5876,0.5857,2965.0,17407.279,0.5875,0.5857,0.5876,0.5857
1740701520,0.5857,0.5862,0.5864,0.5855,13072.0,76604.012,0.5855,0.5862,0.5864,0.5855
1740701580,0.5862,0.5851,0.5862,0.5847,3766.0,22033.552,0.5859,0.5851,0.5859,0.5847
1740701640,0.5851,0.5847,0.5851,0.5841,1349.0,7885.422,0.5848,0.5847,0.5849,0.5841
1740701700,0.5847,0.5848,0.5848,0.5838,3918.0,22891.668,0.5845,0.5848,0.5848,0.5838
1740701760,0.5848,0.5853,0.5858,0.5847,2187.0,12801.398,0.585,0.5853,0.5858,0.5847
1740701820,0.5853,0.5849,0.5858,0.5849,14.0,81.962,0.585,0.5849,0.5858,0.5849
1740701880,0.5849,0.5852,0.5861,0.5849,139.0,814.519,0.5849,0.5852,0.5861,0.5849
1740701940,0.5852,0.5871,0.5871,0.5852,1135.0,6654.422,0.5852,0.5871,0.5871,0.5852
1740702000,0.5871,0.587,0.5875,0.587,2767.0,16255.883,0.5873,0.587,0.5875,0.587
1740702060,0.587,0.5863,0.587,0.5859,10778.0,63206.199,0.5868,0.5863,0.5868,0.5859
1740702120,0.5863,0.5867,0.5868,0.5854,2107.0,12343.131,0.5863,0.5867,0.5868,0.5854
1740702180,0.5867,0.588,0.5883,0.5867,1813.0,10659.788,0.5871,0.588,0.5883,0.5871
1740702240,0.588,0.5884,0.5884,0.5879,1728.0,10162.204,0.5879,0.5884,0.5884,0.5879
1740702300,0.5884,0.5879,0.5884,0.5872,279.0,1639.362,0.5882,0.5879,0.5882,0.5872
1740702360,0.5879,0.5868,0.588,0.5861,3966.0,23263.585,0.588,0.5868,0.588,0.5861
1740702420,0.5868,0.5866,0.587,0.5863,20.0,117.294,0.587,0.5866,0.587,0.5863
1740702480,0.5866,0.5878,0.588,0.5866,2037.0,11975.534,0.5872,0.5878,0.588,0.5872
1740702540,0.5878,0.5867,0.5879,0.5866,732.0,4299.272,0.5879,0.5867,0.5879,0.5866
1740702600,0.5867,0.5864,0.5871,0.5864,447.0,2621.27,0.5867,0.5864,0.5871,0.5864
1740702660,0.5864,0.5874,0.5876,0.5864,210.0,1233.299,0.5865,0.5874,0.5876,0.5865
1740702720,0.5874,0.5875,0.5878,0.5869,709.0,4162.049,0.587,0.5875,0.5878,0.5869
1740702780,0.5875,0.5854,0.5875,0.5854,3899.0,22850.119,0.5871,0.5854,0.5875,0.5854
1740702840,0.5854,0.5866,0.5866,0.5854,6656.0,38994.001,0.5857,0.5866,0.5866,0.5855
1740702900,0.5866,0.5859,0.5869,0.5859,4499.0,26388.519,0.5869,0.5859,0.5869,0.5859
1740702960,0.5859,0.5854,0.5859,0.5844,21927.0,128175.057,0.585,0.5854,0.5855,0.5844
1740703020,0.5854,0.5863,0.5863,0.5854,591.0,3461.294,0.5855,0.5863,0.5863,0.5855
1740703080,0.5863,0.587,0.5877,0.5863,925.0,5428.847,0.5865,0.587,0.5877,0.5865
1740703140,0.587,0.5863,0.587,0.5863,1783.0,10456.846,0.5868,0.5863,0.5868,0.5863
1740703200,0.5863,0.5856,0.5868,0.5856,562.0,3295.17,0.5861,0.5856,0.5868,0.5856
1740703260,0.5856,0.5847,0.5856,0.5845,1911.0,11172.931,0.5848,0.5847,0.5849,0.5845
1740703320,0.5847,0.5844,0.5847,0.5841,253.0,1478.473,0.5843,0.5844,0.5845,0.5841
1740703380,0.5844,0.5842,0.5846,0.5842,1310.0,7653.242,0.5846,0.5842,0.5846,0.5842
1740703440,0.5842,0.5841,0.5843,0.5831,4985.0,29082.489,0.5843,0.5841,0.5843,0.5831
1740703500,0.5841,0.5831,0.5845,0.5828,2044.0,11926.44,0.5842,0.5831,0.5845,0.5828
1740703560,0.5831,0.5822,0.5837,0.5822,28971.0,169046.793,0.583,0.5822,0.5837,0.5822
1740703620,0.5822,0.581,0.5833,0.581,20153.0,117414.531,0.5822,0.581,0.5833,0.581
1740703680,0.581,0.5814,0.5816,0.581,7732.0,44957.397,0.5815,0.5814,0.5816,0.5813
1740703740,0.5814,0.5814,0.5819,0.5805,15364.0,89228.628,0.5815,0.5814,0.5819,0.5805
1740703800,0.5814,0.5812,0.5816,0.5812,4371.0,25410.221,0.5815,0.5812,0.5816,0.5812
1740703860,0.5812,0.5816,0.5816,0.5808,1478.0,8590.255,0.5812,0.5816,0.5816,0.5808
1740703920,0.5816,0.5817,0.5819,0.5809,2044.0,11882.818,0.5819,0.5817,0.5819,0.5809
1740703980,0.5817,0.5816,0.582,0.5813,4826.0,28062.433,0.5818,0.5816,0.582,0.5813
1740704040,0.5816,0.5824,0.5827,0.5816,2993.0,17435.548,0.5818,0.5824,0.5827,0.5818
1740704100,0.5824,0.5827,0.5827,0.582,11.0,64.089,0.582,0.5827,0.5827,0.582
1740704160,0.5827,0.5827,0.5831,0.5825,6964.0,40574.946,0.5827,0.5827,0.5831,0.5825
1740704220,0.5827,0.582,0.583,0.5817,15037.0,87603.399,0.5826,0.582,0.583,0.5817
1740704280,0.582,0.5815,0.5824,0.5813,14386.0,83699.332,0.5817,0.5815,0.5824,0.5813
1740704340,0.5815,0.5799,0.5815,0.5799,5513.0,32006.037,0.5813,0.5799,0.5815,0.5799
1740704400,0.5799,0.5808,0.5808,0.5797,993.0,5759.912,0.5799,0.5808,0.5808,0.5797
1740704460,0.5808,0.5815,0.5815,0.5804,679.0,3942.938,0.5806,0.5815,0.5815,0.5804
1740704520,0.5815,0.582,0.5822,0.5814,2589.0,15060.909,0.5816,0.582,0.5822,0.5814
1740704580,0.582,0.5827,0.5827,0.5817,3274.0,19056.037,0.5817,0.5827,0.5827,0.5817
1740704640,0.5827,0.5835,0.5835,0.5826,1603.0,9350.199,0.5826,0.5835,0.5835,0.5826
1740704700,0.5835,0.5834,0.5844,0.5833,8971.0,52346.435,0.5836,0.5834,0.5844,0.5833
1740704760,0.5834,0.5824,0.5837,0.5824,2000.0,11660.544,0.5835,0.5824,0.5837,0.5824
1740704820,0.5824,0.5818,0.5825,0.5818,1413.0,8222.144,0.5825,0.5818,0.5825,0.5818
1740704880,0.5818,0.5832,0.5832,0.5818,358.0,2085.064,0.5819,0.5832,0.5832,0.5818
1740704940,0.5832,0.5843,0.5843,0.5832,1214.0,7086.418,0.5836,0.5843,0.5843,0.5833
1740705000,0.5843,0.5834,0.5843,0.5832,920.0,5371.291,0.5838,0.5834,0.584,0.5832
1740705060,0.5834,0.5844,0.5845,0.5834,809.0,4727.355,0.5835,0.5844,0.5845,0.5835
1740705120,0.5844,0.586,0.586,0.5844,11952.0,69997.519,0.5844,0.586,0.586,0.5844
1740705180,0.586,0.5872,0.5873,0.586,3667.0,21510.418,0.5862,0.5872,0.5873,0.5862
1740705240,0.5872,0.5873,0.5875,0.5865,2639.0,15494.392,0.5875,0.5873,0.5875,0.5865
1740705300,0.5873,0.5875,0.5876,0.5872,27785.0,163199.118,0.5875,0.5875,0.5876,0.5872
1740705360,0.5875,0.5841,0.5875,0.5838,8067.0,47149.978,0.5873,0.5841,0.5873,0.5838
1740705420,0.5841,0.5856,0.5856,0.5841,3467.0,20282.56,0.5843,0.5856,0.5856,0.5843
1740705480,0.5856,0.5861,0.5864,0.5853,1180.0,6911.05,0.5861,0.5861,0.5864,0.5853
1740705540,0.5861,0.5851,0.5861,0.5848,3315.0,19389.809,0.5856,0.5851,0.5856,0.5848
1740705600,0.5851,0.5856,0.5856,0.5851,989.0,5789.527,0.5853,0.5856,0.5856,0.5853
1740705660,0.5856,0.5846,0.5865,0.5844,1755.0,10284.604,0.5861,0.5846,0.5865,0.5844
1740705720,0.5846,0.5823,0.5846,0.5823,5191.0,30257.124,0.5844,0.5823,0.5844,0.5823
1740705780,0.5823,0.5821,0.5826,0.5814,13010.0,75700.784,0.5825,0.5821,0.5826,0.5814
1740705840,0.5821,0.58,0.5822,0.58,6236.0,36238.772,0.5821,0.58,0.5822,0.58
1740705900,0.58,0.58,0.5803,0.5793,10361.0,60090.229,0.5802,0.58,0.5803,0.5793
1740705960,0.58,0.5803,0.581,0.58,9512.0,55236.953,0.58,0.5803,0.581,0.58
1740706020,0.5803,0.579,0.5803,0.5778,47934.0,277647.927,0.5798,0.579,0.5798,0.5778
1740706080,0.579,0.5776,0.5799,0.5769,9281.0,53643.832,0.5792,0.5776,0.5799,0.5769
1740706140,0.5776,0.5779,0.5792,0.5776,5791.0,33501.537,0.5782,0.5779,0.5792,0.5776
1740706200,0.5779,0.5749,0.5783,0.5729,43161.0,248083.743,0.5783,0.5749,0.5783,0.5729
1740706260,0.5749,0.5744,0.5757,0.5716,40537.0,232915.923,0.5739,0.5744,0.5757,0.5716
1740706320,0.5744,0.5692,0.5749,0.5687,29835.0,170078.008,0.5746,0.5692,0.5749,0.5687
1740706380,0.5692,0.5675,0.5718,0.5658,35035.0,199331.258,0.569,0.5675,0.5718,0.5658
1740706440,0.5675,0.5658,0.5715,0.5648,17232.0,97963.412,0.5684,0.5658,0.5715,0.5648
1740706500,0.5658,0.5713,0.5716,0.5658,74598.0,424148.996,0.5663,0.5713,0.5716,0.5659
1740706560,0.5713,0.5703,0.5731,0.5696,57055.0,325953.489,0.5706,0.5703,0.5731,0.5696
1740706620,0.5703,0.5687,0.5726,0.5684,10446.0,59621.455,0.5711,0.5687,0.5726,0.5684
1740706680,0.5687,0.5718,0.5719,0.5671,6018.0,34252.102,0.5672,0.5718,0.5719,0.5671
1740706740,0.5718,0.5711,0.5733,0.571,5667.0,32401.054,0.5715,0.5711,0.5733,0.571
