time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.0882,0.0881,0.0883,0.0881,80.0,70.536,0.0881,0.0881,0.0883,0.0881
1740700860,0.0881,0.088,0.0884,0.088,87.0,76.702,0.0881,0.088,0.0884,0.088
1740700920,0.088,0.0883,0.0883,0.088,74.0,65.299,0.0882,0.0883,0.0883,0.0881
1740700980,0.0883,0.0883,0.0883,0.0882,75.0,66.168,0.0882,0.0883,0.0883,0.0882
1740701040,0.0883,0.0883,0.0883,0.0883,81.0,71.523,0.0883,0.0883,0.0883,0.0883
1740701100,0.0883,0.0883,0.0884,0.0883,69.0,60.949,0.0883,0.0883,0.0884,0.0883
1740701160,0.0883,0.0881,0.0885,0.0881,61.0,53.818,0.0885,0.0881,0.0885,0.0881
1740701220,0.0881,0.088,0.0882,0.088,100.0,88.078,0.0881,0.088,0.0882,0.088
1740701280,0.088,0.0882,0.0883,0.088,98.0,86.412,0.0881,0.0882,0.0883,0.0881
1740701340,0.0882,0.0883,0.0884,0.0882,114.0,100.698,0.0882,0.0883,0.0884,0.0882
1740701400,0.0883,0.0881,0.0883,0.0881,110.0,97.048,0.0883,0.0881,0.0883,0.0881
1740701460,0.0881,0.088,0.0882,0.088,83.0,73.126,0.0881,0.088,0.0882,0.088
1740701520,0.088,0.088,0.088,0.0879,57.0,50.152,0.0879,0.088,0.088,0.0879
1740701580,0.088,0.0878,0.088,0.0878,77.0,67.68,0.088,0.0878,0.088,0.0878
1740701640,0.0878,0.0878,0.0878,0.0877,195.0,171.087,0.0878,0.0878,0.0878,0.0877
1740701700,0.0878,0.0878,0.0878,0.0877,81.0,71.049,0.0877,0.0878,0.0878,0.0877
1740701760,0.0878,0.0879,0.088,0.0878,112.0,98.408,0.0878,0.0879,0.088,0.0878
1740701820,0.0879,0.0877,0.0879,0.0877,89.0,78.167,0.0879,0.0877,0.0879,0.0877
1740701880,0.0877,0.0878,0.0878,0.0877,89.0,78.101,0.0877,0.0878,0.0878,0.0877
1740701940,0.0878,0.0879,0.0879,0.0877,84.0,73.743,0.0878,0.0879,0.0879,0.0877
1740702000,0.0879,0.0879,0.0879,0.0879,84.0,73.836,0.0879,0.0879,0.0879,0.0879
1740702060,0.0879,0.0878,0.0879,0.0878,96.0,84.352,0.0879,0.0878,0.0879,0.0878
1740702120,0.0878,0.0878,0.0878,0.0877,90.0,79.005,0.0878,0.0878,0.0878,0.0877
1740702180,0.0878,0.0879,0.088,0.0878,86.0,75.612,0.0878,0.0879,0.088,0.0878
1740702240,0.0879,0.0879,0.088,0.0879,194.0,170.594,0.0879,0.0879,0.088,0.0879
1740702300,0.0879,0.0879,0.0879,0.0878,92.0,80.835,0.0878,0.0879,0.0879,0.0878
1740702360,0.0879,0.0877,0.0879,0.0876,56.0,49.097,0.0876,0.0877,0.0877,0.0876
1740702420,0.0877,0.0877,0.0877,0.0876,72.0,63.102,0.0877,0.0877,0.0877,0.0876
1740702480,0.0877,0.0877,0.0877,0.0877,59.0,51.743,0.0877,0.0877,0.0877,0.0877
1740702540,0.0877,0.0876,0.0877,0.0875,80.0,70.067,0.0877,0.0876,0.0877,0.0875
1740702600,0.0876,0.0874,0.0876,0.0874,85.0,74.323,0.0875,0.0874,0.0875,0.0874
1740702660,0.0874,0.0874,0.0874,0.0873,84.0,73.401,0.0873,0.0874,0.0874,0.0873
1740702720,0.0874,0.0875,0.0876,0.0874,92.0,80.452,0.0874,0.0875,0.0876,0.0874
1740702780,0.0875,0.0874,0.0875,0.0874,66.0,57.711,0.0875,0.0874,0.0875,0.0874
