time,open,high,low,close
1740700800,0.28297,0.2833,0.28297,0.2833
1740700860,0.2833,0.28366,0.28282,0.28282
1740700920,0.28282,0.28325,0.2827,0.28324
1740700980,0.28324,0.28324,0.28288,0.28294
1740701040,0.28294,0.28333,0.28268,0.28333
1740701100,0.28333,0.28366,0.28333,0.28351
1740701160,0.28351,0.28351,0.28265,0.28279
1740701220,0.28279,0.28279,0.28242,0.28242
1740701280,0.28242,0.28265,0.28235,0.28265
1740701340,0.28265,0.28327,0.28265,0.28291
1740701400,0.28291,0.28291,0.28253,0.28253
1740701460,0.28253,0.28268,0.28239,0.28239
1740701520,0.28239,0.28286,0.28234,0.28277
1740701580,0.28277,0.28289,0.28211,0.28211
1740701640,0.28211,0.28218,0.28191,0.28215
1740701700,0.28215,0.28233,0.28182,0.28182
1740701760,0.28182,0.28229,0.28182,0.28217
1740701820,0.28217,0.28245,0.28186,0.28186
1740701880,0.28186,0.2825,0.28179,0.28207
1740701940,0.28207,0.28268,0.28207,0.28268
1740702000,0.28268,0.28278,0.2826,0.2826
1740702060,0.2826,0.2826,0.28225,0.28235
1740702120,0.28235,0.28237,0.28201,0.28237
1740702180,0.28237,0.28287,0.28237,0.28278
1740702240,0.28278,0.28299,0.28274,0.28281
1740702300,0.28281,0.28281,0.28249,0.28263
1740702360,0.28263,0.28264,0.28197,0.28198
1740702420,0.28198,0.28223,0.28191,0.28208
1740702480,0.28208,0.28215,0.28201,0.28206
1740702540,0.28206,0.28206,0.28172,0.28172
1740702600,0.28172,0.28175,0.28125,0.28135
1740702660,0.28135,0.28175,0.28135,0.28175
1740702720,0.28175,0.28229,0.28175,0.28192
1740702780,0.28192,0.28224,0.28175,0.28175
1740702840,0.28175,0.28222,0.28175,0.28222
1740702900,0.28222,0.28222,0.28192,0.28192
1740702960,0.28192,0.28192,0.28167,0.28183
1740703020,0.28183,0.28238,0.28183,0.28238
1740703080,0.28238,0.2827,0.28238,0.28256
1740703140,0.28256,0.28256,0.28227,0.28234
1740703200,0.28234,0.28239,0.28228,0.28228
1740703260,0.28228,0.28228,0.28213,0.28228
1740703320,0.28228,0.28228,0.28188,0.28199
1740703380,0.28199,0.2821,0.28199,0.28208
1740703440,0.28208,0.28208,0.28173,0.28198
1740703500,0.28198,0.28198,0.28166,0.28167
1740703560,0.28167,0.28183,0.28165,0.28165
1740703620,0.28165,0.28185,0.28156,0.28157
1740703680,0.28157,0.28157,0.28099,0.28113
1740703740,0.28113,0.28113,0.28072,0.28101
1740703800,0.28101,0.28125,0.28101,0.28124
1740703860,0.28124,0.28124,0.281,0.28118
1740703920,0.28118,0.28118,0.28086,0.28091
1740703980,0.28091,0.28103,0.28085,0.28093
1740704040,0.28093,0.28104,0.28093,0.28094
1740704100,0.28094,0.28118,0.28094,0.28104
1740704160,0.28104,0.28118,0.28104,0.28104
1740704220,0.28104,0.28115,0.28103,0.28108
1740704280,0.28108,0.28129,0.28086,0.28101
1740704340,0.28101,0.28101,0.2805,0.2805
1740704400,0.2805,0.28071,0.28039,0.28071
1740704460,0.28071,0.28107,0.28054,0.28107
1740704520,0.28107,0.28144,0.28107,0.28131
1740704580,0.28131,0.28139,0.28122,0.28138
1740704640,0.28138,0.28151,0.28123,0.28151
1740704700,0.28151,0.28157,0.28108,0.28108
1740704760,0.28108,0.28108,0.28081,0.28083
1740704820,0.28083,0.28083,0.28075,0.28081
1740704880,0.28081,0.28094,0.28062,0.28094
1740704940,0.28094,0.28095,0.28076,0.28095
1740705000,0.28095,0.28118,0.28095,0.28115
1740705060,0.28115,0.28139,0.28093,0.28093
1740705120,0.28093,0.28109,0.2809,0.28109
1740705180,0.28109,0.28139,0.28095,0.28139
1740705240,0.28139,0.28149,0.28132,0.28149
1740705300,0.28149,0.28149,0.28115,0.28115
1740705360,0.28115,0.28118,0.27993,0.28001
1740705420,0.28001,0.28048,0.28001,0.28045
1740705480,0.28045,0.28065,0.28045,0.28058
1740705540,0.28058,0.28058,0.28017,0.28023
1740705600,0.28023,0.28032,0.28011,0.28032
1740705660,0.28032,0.28048,0.28008,0.28009
1740705720,0.28009,0.28023,0.27973,0.27973
1740705780,0.27973,0.27973,0.27902,0.27925
1740705840,0.27925,0.27935,0.27857,0.27859
1740705900,0.27859,0.27859,0.27726,0.27772
1740705960,0.27772,0.27802,0.27751,0.27751
1740706020,0.27751,0.27761,0.27662,0.27689
1740706080,0.27689,0.2769,0.2755,0.276
1740706140,0.276,0.27646,0.27585,0.27585
1740706200,0.27585,0.27585,0.27349,0.27385
1740706260,0.27385,0.27398,0.27267,0.27322
1740706320,0.27322,0.27385,0.27199,0.272
1740706380,0.272,0.27235,0.27087,0.27091
1740706440,0.27091,0.27275,0.27035,0.27037
1740706500,0.27037,0.27184,0.27037,0.27175
1740706560,0.27175,0.27212,0.27037,0.27037
1740706620,0.27037,0.27153,0.27037,0.27046
1740706680,0.27046,0.27108,0.26989,0.27108
1740706740,0.27108,0.27196,0.27081,0.27082
1740706800,0.27082,0.27082,0.2701,0.27053
1740706860,0.27053,0.2713,0.2701,0.2713
1740706920,0.2713,0.2723,0.2713,0.27169
1740706980,0.27169,0.27169,0.27097,0.27128
1740707040,0.27128,0.27211,0.27128,0.27193
1740707100,0.27193,0.27302,0.27193,0.27275
1740707160,0.27275,0.27322,0.27232,0.27322
1740707220,0.27322,0.2735,0.2728,0.27289
1740707280,0.27289,0.27299,0.27196,0.27198
1740707340,0.27198,0.27214,0.27117,0.27128
1740707400,0.27128,0.27167,0.27105,0.27105
1740707460,0.27105,0.27129,0.27091,0.27094
1740707520,0.27094,0.2711,0.2708,0.27093
1740707580,0.27093,0.27093,0.26982,0.27018
1740707640,0.27018,0.27018,0.26868,0.26883
1740707700,0.26883,0.26966,0.2686,0.26966
1740707760,0.26966,0.27061,0.26966,0.27061
1740707820,0.27061,0.27088,0.27031,0.27068
1740707880,0.27068,0.2709,0.27023,0.27023
1740707940,0.27023,0.27035,0.26963,0.26963
1740708000,0.26963,0.26973,0.26796,0.26873
1740708060,0.26873,0.269,0.26801,0.26848
1740708120,0.26848,0.27073,0.26848,0.27073
1740708180,0.27073,0.27154,0.27073,0.27152
1740708240,0.27152,0.2717,0.27099,0.2715
1740708300,0.2715,0.27197,0.27128,0.27197
1740708360,0.27197,0.27283,0.27154,0.27283
1740708420,0.27283,0.27302,0.27209,0.27224
1740708480,0.27224,0.2728,0.27207,0.27241
1740708540,0.27241,0.27246,0.27188,0.27188
1740708600,0.27188,0.27193,0.27155,0.27156
1740708660,0.27156,0.27175,0.27099,0.27129
1740708720,0.27129,0.2713,0.271,0.27117
1740708780,0.27117,0.27121,0.27087,0.27087
1740708840,0.27087,0.2715,0.27056,0.2715
1740708900,0.2715,0.2715,0.27081,0.27081
1740708960,0.27081,0.27081,0.27019,0.27019
1740709020,0.27019,0.27022,0.27005,0.27017
1740709080,0.27017,0.27037,0.2695,0.2695
1740709140,0.2695,0.26954,0.26934,0.26934
1740709200,0.26934,0.26939,0.26854,0.26863
1740709260,0.26863,0.26927,0.26863,0.26904
1740709320,0.26904,0.26909,0.26845,0.26886
1740709380,0.26886,0.2693,0.26886,0.2693
1740709440,0.2693,0.26945,0.26898,0.26945
1740709500,0.26945,0.26945,0.26892,0.26914
1740709560,0.26914,0.26937,0.26907,0.26934
1740709620,0.26934,0.26944,0.26921,0.26923
1740709680,0.26923,0.26978,0.26907,0.26978
1740709740,0.26978,0.27036,0.26974,0.2698
1740709800,0.2698,0.26992,0.269,0.269
1740709860,0.269,0.26907,0.26711,0.26711
1740709920,0.26711,0.26792,0.26597,0.26597
1740709980,0.26597,0.26626,0.26491,0.26495
1740710040,0.26495,0.2671,0.2648,0.26635
1740710100,0.26635,0.26708,0.26597,0.26603
1740710160,0.26603,0.26731,0.26603,0.26683
1740710220,0.26683,0.26683,0.26621,0.26635
1740710280,0.26635,0.26722,0.26614,0.26615
1740710340,0.26615,0.26621,0.26535,0.26543
1740710400,0.26543,0.26546,0.26454,0.26477
1740710460,0.26477,0.26562,0.26477,0.26551
1740710520,0.26551,0.2657,0.26474,0.26511
1740710580,0.26511,0.26541,0.2647,0.26494
1740710640,0.26494,0.2651,0.26372,0.2647
1740710700,0.2647,0.26634,0.2647,0.26486
1740710760,0.26486,0.26499,0.26389,0.26458
1740710820,0.26458,0.26559,0.26413,0.26437
1740710880,0.26437,0.26475,0.26381,0.26418
1740710940,0.26418,0.26435,0.26353,0.26375
1740711000,0.26375,0.2643,0.26375,0.26387
1740711060,0.26387,0.26417,0.26341,0.26417
1740711120,0.26417,0.26436,0.26401,0.26429
1740711180,0.26429,0.26551,0.26429,0.26545
1740711240,0.26545,0.26561,0.26532,0.26547
1740711300,0.26547,0.26641,0.26544,0.26641
1740711360,0.26641,0.26669,0.26608,0.26639
1740711420,0.26639,0.26738,0.26639,0.26727
1740711480,0.26727,0.26732,0.26707,0.26712
1740711540,0.26712,0.26729,0.26686,0.26686
1740711600,0.26686,0.26823,0.26686,0.26808
1740711660,0.26808,0.26828,0.26734,0.26734
1740711720,0.26734,0.26792,0.26734,0.26781
1740711780,0.26781,0.26807,0.26738,0.26805
1740711840,0.26805,0.26869,0.26787,0.26869
1740711900,0.26869,0.26923,0.26844,0.26923
1740711960,0.26923,0.26929,0.26869,0.26881
1740712020,0.26881,0.2691,0.26842,0.2691
1740712080,0.2691,0.2691,0.26872,0.26877
1740712140,0.26877,0.26894,0.26821,0.26868
1740712200,0.26868,0.26896,0.26868,0.26887
1740712260,0.26887,0.26909,0.26856,0.26909
1740712320,0.26909,0.26917,0.26872,0.26916
1740712380,0.26916,0.26918,0.26884,0.26885
1740712440,0.26885,0.26896,0.26866,0.2688
1740712500,0.2688,0.26885,0.26841,0.26855
1740712560,0.26855,0.26908,0.26836,0.26901
1740712620,0.26901,0.26934,0.26879,0.26903
1740712680,0.26903,0.26917,0.26892,0.26917
1740712740,0.26917,0.26917,0.26862,0.2689
1740712800,0.2689,0.2689,0.26826,0.26826
1740712860,0.26826,0.26826,0.26737,0.2675
1740712920,0.2675,0.26766,0.26682,0.26682
1740712980,0.26682,0.26728,0.26682,0.26721
1740713040,0.26721,0.26721,0.2666,0.2666
1740713100,0.2666,0.26671,0.26643,0.26643
1740713160,0.26643,0.26643,0.26583,0.26591
1740713220,0.26591,0.26626,0.26589,0.26625
1740713280,0.26625,0.26638,0.26593,0.26593
1740713340,0.26593,0.26593,0.26555,0.26581
1740713400,0.26581,0.26608,0.26553,0.2656
1740713460,0.2656,0.26561,0.26539,0.26551
1740713520,0.26551,0.26551,0.2651,0.2651
1740713580,0.2651,0.2651,0.26474,0.2648
1740713640,0.2648,0.26494,0.26479,0.26479
1740713700,0.26479,0.26505,0.26441,0.26505
1740713760,0.26505,0.26505,0.2646,0.26463
1740713820,0.26463,0.26489,0.26463,0.26477
1740713880,0.26477,0.26488,0.26416,0.26421
1740713940,0.26421,0.26448,0.26399,0.26399
