time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1740700800,0.098,0.0979,0.0981,0.0978,66.0,64.663,0.0981,0.0979,0.0981,0.0978
1740700860,0.0979,0.098,0.0983,0.0979,52.0,50.996,0.0979,0.098,0.0983,0.0979
1740700920,0.098,0.0982,0.0982,0.098,44.0,43.164,0.098,0.0982,0.0982,0.098
1740700980,0.0982,0.0981,0.0982,0.098,96.0,94.142,0.0981,0.0981,0.0981,0.098
1740701040,0.0981,0.0983,0.0983,0.0981,1629.0,1601.235,0.0982,0.0983,0.0983,0.0981
1740701100,0.0983,0.0984,0.0984,0.0982,84.0,82.586,0.0983,0.0984,0.0984,0.0982
1740701160,0.0984,0.098,0.0984,0.098,101.0,99.159,0.0984,0.098,0.0984,0.098
1740701220,0.098,0.098,0.098,0.0979,89.0,87.19,0.098,0.098,0.098,0.0979
1740701280,0.098,0.098,0.0981,0.098,83.0,81.403,0.0981,0.098,0.0981,0.098
1740701340,0.098,0.0983,0.0983,0.098,60.0,58.952,0.0981,0.0983,0.0983,0.0981
1740701400,0.0983,0.098,0.0983,0.098,63.0,61.838,0.0982,0.098,0.0982,0.098
1740701460,0.098,0.0979,0.0981,0.0979,76.0,74.506,0.0981,0.0979,0.0981,0.0979
1740701520,0.0979,0.098,0.0981,0.0979,70.0,68.605,0.098,0.098,0.0981,0.0979
1740701580,0.098,0.098,0.098,0.0979,29.0,28.409,0.098,0.098,0.098,0.0979
1740701640,0.098,0.098,0.098,0.0979,608.0,595.279,0.098,0.098,0.098,0.0979
1740701700,0.098,0.098,0.098,0.098,59.0,57.82,0.098,0.098,0.098,0.098
1740701760,0.098,0.098,0.098,0.0979,87.0,85.244,0.098,0.098,0.098,0.0979
1740701820,0.098,0.098,0.098,0.0979,54.0,52.895,0.0979,0.098,0.098,0.0979
1740701880,0.098,0.098,0.098,0.0979,66.0,64.672,0.098,0.098,0.098,0.0979
1740701940,0.098,0.0979,0.098,0.0979,81.0,79.344,0.098,0.0979,0.098,0.0979
1740702000,0.0979,0.098,0.098,0.0979,63.0,61.74,0.098,0.098,0.098,0.098
1740702060,0.098,0.098,0.098,0.0979,2646.0,2590.49,0.0979,0.098,0.098,0.0979
1740702120,0.098,0.0978,0.098,0.0976,8968.0,8782.906,0.098,0.0978,0.098,0.0976
1740702180,0.0978,0.0979,0.0979,0.0978,98.0,95.925,0.0979,0.0979,0.0979,0.0978
1740702240,0.0979,0.0979,0.098,0.0978,78.0,76.37,0.098,0.0979,0.098,0.0978
1740702300,0.0979,0.0978,0.0979,0.0978,70.0,68.475,0.0978,0.0978,0.0979,0.0978
1740702360,0.0978,0.0976,0.0978,0.0975,88.0,85.918,0.0977,0.0976,0.0977,0.0975
1740702420,0.0976,0.0975,0.0977,0.0975,56.0,54.638,0.0977,0.0975,0.0977,0.0975
1740702480,0.0975,0.0975,0.0975,0.0975,77.0,75.075,0.0975,0.0975,0.0975,0.0975
1740702540,0.0975,0.0974,0.0975,0.0974,93.0,90.657,0.0975,0.0974,0.0975,0.0974
1740702600,0.0974,0.0973,0.0974,0.0972,78.0,75.889,0.0973,0.0973,0.0974,0.0972
1740702660,0.0973,0.0974,0.0974,0.0973,73.0,71.068,0.0973,0.0974,0.0974,0.0973
1740702720,0.0974,0.0974,0.0976,0.0974,66.0,64.348,0.0974,0.0974,0.0976,0.0974
1740702780,0.0974,0.0975,0.0975,0.0974,75.0,73.11,0.0975,0.0975,0.0975,0.0974
1740702840,0.0975,0.0975,0.0976,0.0975,67.0,65.356,0.0976,0.0975,0.0976,0.0975
1740702900,0.0975,0.0975,0.0977,0.0975,67.0,65.388,0.0977,0.0975,0.0977,0.0975
1740702960,0.0975,0.0976,0.0976,0.0975,75.0,73.185,0.0975,0.0976,0.0976,0.0975
1740703020,0.0976,0.0978,0.0978,0.0976,81.0,79.168,0.0976,0.0978,0.0978,0.0976
1740703080,0.0978,0.0978,0.098,0.0978,59.0,57.741,0.0979,0.0978,0.098,0.0978
1740703140,0.0978,0.098,0.098,0.0978,72.0,70.494,0.0979,0.098,0.098,0.0978
1740703200,0.098,0.0979,0.0981,0.0979,74.0,72.513,0.098,0.0979,0.0981,0.0979
1740703260,0.0979,0.0979,0.0979,0.0979,56.0,54.824,0.0979,0.0979,0.0979,0.0979
1740703320,0.0979,0.0979,0.0979,0.0977,67.0,65.567,0.0978,0.0979,0.0979,0.0977
1740703380,0.0979,0.0979,0.0979,0.0978,82.0,80.271,0.0979,0.0979,0.0979,0.0978
1740703440,0.0979,0.0979,0.0979,0.0977,71.0,69.481,0.0979,0.0979,0.0979,0.0977
1740703500,0.0979,0.0977,0.0979,0.0977,80.0,78.242,0.0979,0.0977,0.0979,0.0977
1740703560,0.0977,0.0977,0.0979,0.0977,40.0,39.099,0.0977,0.0977,0.0979,0.0977
1740703620,0.0977,0.0977,0.0978,0.0977,75.0,73.314,0.0977,0.0977,0.0978,0.0977
1740703680,0.0977,0.0974,0.0977,0.0973,126.0,122.75,0.0976,0.0974,0.0976,0.0973
1740703740,0.0974,0.0974,0.0974,0.0973,89.0,86.655,0.0973,0.0974,0.0974,0.0973
1740703800,0.0974,0.0974,0.0975,0.0974,88.0,85.728,0.0974,0.0974,0.0975,0.0974
1740703860,0.0974,0.0973,0.0974,0.0973,167.0,162.506,0.0973,0.0973,0.0974,0.0973
1740703920,0.0973,0.0973,0.0973,0.0972,56.0,54.462,0.0973,0.0973,0.0973,0.0972
1740703980,0.0973,0.0973,0.0973,0.0972,77.0,74.88,0.0972,0.0973,0.0973,0.0972
1740704040,0.0973,0.0973,0.0974,0.0973,75.0,73.002,0.0973,0.0973,0.0974,0.0973
1740704100,0.0973,0.0973,0.0974,0.0973,62.0,60.345,0.0973,0.0973,0.0974,0.0973
1740704160,0.0973,0.0974,0.0974,0.0973,43.0,41.882,0.0974,0.0974,0.0974,0.0974
1740704220,0.0974,0.0974,0.0974,0.0974,67.0,65.258,0.0974,0.0974,0.0974,0.0974
1740704280,0.0974,0.0974,0.0976,0.0974,65.0,63.38,0.0974,0.0974,0.0976,0.0974
1740704340,0.0974,0.0973,0.0974,0.0973,42.0,40.888,0.0974,0.0973,0.0974,0.0973
1740704400,0.0973,0.0972,0.0973,0.0972,100.0,97.2,0.0972,0.0972,0.0972,0.0972
1740704460,0.0972,0.0975,0.0975,0.0971,62.0,60.293,0.0972,0.0975,0.0975,0.0971
1740704520,0.0975,0.0976,0.0976,0.0975,70.0,68.283,0.0975,0.0976,0.0976,0.0975
1740704580,0.0976,0.0975,0.0977,0.0975,112.0,109.328,0.0976,0.0975,0.0977,0.0975
1740704640,0.0975,0.0976,0.0977,0.0975,51.0,49.8,0.0976,0.0976,0.0977,0.0976
1740704700,0.0976,0.0974,0.0977,0.0974,75.0,73.146,0.0976,0.0974,0.0977,0.0974
1740704760,0.0974,0.0974,0.0975,0.0974,41.0,39.969,0.0975,0.0974,0.0975,0.0974
1740704820,0.0974,0.0974,0.0975,0.0973,73.0,71.109,0.0974,0.0974,0.0975,0.0973
1740704880,0.0974,0.0974,0.0975,0.0974,70.0,68.222,0.0974,0.0974,0.0975,0.0974
1740704940,0.0974,0.0975,0.0975,0.0974,55.0,53.625,0.0975,0.0975,0.0975,0.0975
1740705000,0.0975,0.0975,0.0975,0.0974,68.0,66.282,0.0975,0.0975,0.0975,0.0974
1740705060,0.0975,0.0975,0.0976,0.0975,79.0,77.055,0.0975,0.0975,0.0976,0.0975
1740705120,0.0975,0.0976,0.0976,0.0975,87.0,84.912,0.0976,0.0976,0.0976,0.0976
1740705180,0.0976,0.0977,0.0977,0.0976,80.0,78.102,0.0976,0.0977,0.0977,0.0976
1740705240,0.0977,0.0977,0.0977,0.0976,78.0,76.177,0.0977,0.0977,0.0977,0.0976
1740705300,0.0977,0.0976,0.0977,0.0972,26496.0,25799.334,0.0977,0.0976,0.0977,0.0972
1740705360,0.0976,0.0972,0.0976,0.0972,667.0,648.715,0.0976,0.0972,0.0976,0.0972
1740705420,0.0972,0.0974,0.0974,0.0972,82.0,79.794,0.0973,0.0974,0.0974,0.0973
1740705480,0.0974,0.0975,0.0975,0.0974,57.0,55.562,0.0974,0.0975,0.0975,0.0974
1740705540,0.0975,0.0973,0.0975,0.0972,189.0,183.793,0.0974,0.0973,0.0974,0.0972
1740705600,0.0973,0.0973,0.0974,0.0972,76.0,73.961,0.0973,0.0973,0.0974,0.0972
1740705660,0.0973,0.0972,0.0974,0.0972,63.0,61.318,0.0974,0.0972,0.0974,0.0972
1740705720,0.0972,0.097,0.0973,0.097,2629.0,2550.205,0.0973,0.097,0.0973,0.097
1740705780,0.097,0.097,0.097,0.0967,76.0,73.56,0.0968,0.097,0.097,0.0967
1740705840,0.097,0.0967,0.097,0.0967,63.0,61.046,0.097,0.0967,0.097,0.0967
1740705900,0.0967,0.0966,0.0967,0.0966,456.0,440.718,0.0967,0.0966,0.0967,0.0966
1740705960,0.0966,0.0968,0.0968,0.0966,42.0,40.656,0.0968,0.0968,0.0968,0.0968
1740706020,0.0968,0.0963,0.0968,0.0963,86.0,82.941,0.0967,0.0963,0.0967,0.0963
1740706080,0.0963,0.0959,0.0963,0.0958,2973.0,2859.827,0.0963,0.0959,0.0963,0.0958
1740706140,0.0959,0.0961,0.0962,0.0959,109.0,104.742,0.0962,0.0961,0.0962,0.096
1740706200,0.0961,0.0956,0.0961,0.0952,294.0,281.152,0.0961,0.0956,0.0961,0.0952
