symbol,displayName,displayNameEn,positionOpenType,baseCoin,quoteCoin,baseCoinName,quoteCoinName,futureType,settleCoin,contractSize,minLeverage,maxLeverage,countryConfigContractMaxLeverage,priceScale,volScale,amountScale,priceUnit,volUnit,minVol,maxVol,bidLimitPriceRate,askLimitPriceRate,takerFeeRate,makerFeeRate,maintenanceMarginRate,initialMarginRate,riskBaseVol,riskIncrVol,riskLongShortSwitch,riskIncrMmr,riskIncrImr,riskLevelLimit,priceCoefficientVariation,indexOrigin,state,isNew,isHot,isHidden,conceptPlate,conceptPlateId,riskLimitType,maxNumOrders,marketOrderMaxLevel,marketOrderPriceLimitRate1,marketOrderPriceLimitRate2,triggerProtect,appraisal,showAppraisalCountdown,automaticDelivery,apiAllowed,depthStepList,limitMaxVol,threshold,baseCoinIconUrl,id,vid,baseCoinId,createTime,openingTime,openingCountdownOption,showBeforeOpen,isMaxLeverage,isZeroFeeRate,riskLimitMode,isZeroFeeSymbol,riskLimitCustom,deliveryTime,deliveryPriceTrend
BTC_USDT,BTC_USDT永续,BTC_USDT PERPETUAL,3,BTC,USDT,BTC,USDT,1,USDT,0.0001,1,400,200,1,0,4,0.1,1,1,1500000,0.1,0.1,0.0004,0,0.0015,0.0025,15000000,0,0,0.0,0.0,1,0.004,['BITGET' 'BYBIT' 'BINANCE' 'HTX' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,['mc-trade-zone-pow'],[12],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.1' '1' '10' '100'],10000000,0,https://public.mocortech.com/coin/F20210514192151938ROhGjOFp2Fpgb7.png,10,128f589271cb4951b03e71e6323eb7be,febc9973be4d4d53bb374476239eb219,1591242684000,0,1,True,False,False,CUSTOM,False,"[{'imr': 0.0025, 'level': 1, 'maxLeverage': 400, 'maxVol': 30000, 'mmr': 0.0015}
 {'imr': 0.005, 'level': 2, 'maxLeverage': 200, 'maxVol': 60000, 'mmr': 0.004}
 {'imr': 0.01, 'level': 3, 'maxLeverage': 100, 'maxVol': 250000, 'mmr': 0.005}
 {'imr': 0.02, 'level': 4, 'maxLeverage': 50, 'maxVol': 1200000, 'mmr': 0.01}
 {'imr': 0.05, 'level': 5, 'maxLeverage': 20, 'maxVol': 10000000, 'mmr': 0.02}
 {'imr': 0.1, 'level': 6, 'maxLeverage': 10, 'maxVol': 15000000, 'mmr': 0.05}]",,
ETH_USDT,ETH_USDT永续,ETH_USDT PERPETUAL,3,ETH,USDT,ETH,USDT,1,USDT,0.01,1,400,200,2,0,4,0.01,1,1,250000,0.1,0.1,0.0002,0,0.0015,0.0025,4500000,0,0,0.0,0.0,1,0.004,['BITGET' 'BYBIT' 'BINANCE' 'HTX' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.01' '0.1' '1' '10'],750000,0,https://public.mocortech.com/coin/F20210514192245176s204wBafa2yLQ0.png,11,128f589271cb4951b03e71e6323eb7be,93c38b0169214f8689763ce9a63a73ff,1591243107000,0,1,True,False,False,CUSTOM,False,"[{'imr': 0.0025, 'level': 1, 'maxLeverage': 400, 'maxVol': 15000, 'mmr': 0.0015}
 {'imr': 0.005, 'level': 2, 'maxLeverage': 200, 'maxVol': 30000, 'mmr': 0.004}
 {'imr': 0.01, 'level': 3, 'maxLeverage': 100, 'maxVol': 90000, 'mmr': 0.005}
 {'imr': 0.02, 'level': 4, 'maxLeverage': 50, 'maxVol': 400000, 'mmr': 0.01}
 {'imr': 0.05, 'level': 5, 'maxLeverage': 20, 'maxVol': 3000000, 'mmr': 0.02}
 {'imr': 0.1, 'level': 6, 'maxLeverage': 10, 'maxVol': 4500000, 'mmr': 0.05}]",,
SOL_USDT,SOL_USDT永续,SOL_USDT PERPETUAL,3,SOL,USDT,SOL,USDT,1,USDT,0.1,1,200,0,2,0,4,0.01,1,1,150000,0.1,0.1,0.0,0,0.004,0.005,700000,700000,0,0.056,0.095,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'HTX' 'OKX' 'MEXC' 'KUCOIN'],0,False,True,False,['mc-trade-zone-0fees' 'mc-trade-zone-SOL'],[45 37],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.01' '0.1' '1'],900000,0,https://public.mocortech.com/coin/F20250215193518264H6zzNm9ofQqCcy.png,51,128f589271cb4951b03e71e6323eb7be,8dedc95886d14867ad9a1668a38666db,1601014066000,0,1,True,False,True,INCREASE,True,,,
FUN_USDT,FUN_USDT永续,FUN_USDT PERPETUAL,3,FUN,USDT,FUN,USDT,1,USDT,1000.0,1,50,0,6,0,4,1e-06,1,1,10000,0.2,0.2,0.0002,0,0.004,0.02,10000,10000,0,0.004,0.004,1,0.05,['BINANCE'],0,False,True,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.000001' '0.00001'],10000,0,https://public.mocortech.com/coin/F20230505214132379301nmsZTF6hzyo.png,514,128f589271cb4951b03e71e6323eb7be,e43bfc8af8ef47e986e9ef3faf3b7108,1702612658000,0,1,True,False,False,INCREASE,False,,,
TUT_USDT,TUT_USDT永续,TUT_USDT PERPETUAL,3,TUT,USDT,TUT,USDT,1,USDT,100.0,1,20,0,5,0,4,1e-05,1,1,7000,0.5,0.5,0.0002,0,0.005,0.05,7000,7000,0,0.005,0.005,1,0.2,['BITGET' 'MEXC' 'KUCOIN'],0,False,True,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.00001' '0.0001'],7000,0,https://public.mocortech.com/coin/F20250317210459709YxB07CgP6uRp9c.png,1092,128f589271cb4951b03e71e6323eb7be,0cc6ee7392bf42f89bd1e85ed432f5e7,1742280624000,0,1,False,False,False,INCREASE,False,,,
XRP_USDT,XRP_USDT永续,XRP_USDT PERPETUAL,3,XRP,USDT,XRP,USDT,1,USDT,1.0,1,200,0,4,0,4,0.0001,1,1,840000,0.1,0.1,0.0002,0,0.004,0.005,840000,3360000,0,0.016,0.035,2,0.2,['BITGET' 'BYBIT' 'BINANCE' 'HTX' 'OKX' 'MEXC' 'KUCOIN'],0,False,True,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001' '0.01' '0.1'],840000,0,https://public.mocortech.com/coin/F202104221745146880dOdh9YlnLZonx.png,16,128f589271cb4951b03e71e6323eb7be,a7ceba5c75644a82ad2ccc1069f7a177,1592559058000,0,1,True,False,False,INCREASE,False,,,
BTC_USD,BTC_USD永续,BTC_USD PERPETUAL,3,BTC,USD,BTC,USD,1,BTC,100.0,1,125,0,1,0,8,0.1,1,1,3000,0.1,0.1,0.0004,0,0.004,0.008,1000,1000,0,0.004,0.004,1,0.004,['BITSTAMP' 'COINBASE' 'KRAKEN'],0,False,False,False,['mc-trade-zone-pow'],[12],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.1' '1' '10' '100'],3000,0,https://public.mocortech.com/coin/F20231101111825680YsbkMWhkkPyroH.png,77,febc9973be4d4d53bb374476239eb219,febc9973be4d4d53bb374476239eb219,1608718223000,0,1,True,False,False,INCREASE,False,,,
ETH_USD,ETH_USD永续,ETH_USD PERPETUAL,3,ETH,USD,ETH,USD,1,ETH,10.0,1,125,0,2,0,8,0.01,1,1,30000,0.1,0.1,0.0002,0,0.004,0.008,30000,30000,0,0.004,0.004,1,0.004,['BITSTAMP' 'COINBASE' 'KRAKEN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.01' '0.1' '1' '10'],30000,0,https://public.mocortech.com/coin/F20241211153103061QboHcHdi9ZO354.png,78,93c38b0169214f8689763ce9a63a73ff,93c38b0169214f8689763ce9a63a73ff,1608719685000,0,1,True,False,False,INCREASE,False,,,
VON_USDT,VON_USDT永续,VON_USDT PERPETUAL,3,VON,USDT,VON,USDT,1,USDT,1000.0,1,50,0,7,0,4,1e-07,1,1,10500,0.2,0.2,0.0002,0,0.01,0.02,10500,10500,0,0.005,0.005,1,0.05,['MEXC'],0,False,True,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0000001' '0.000001'],10500,0,https://public.mocortech.com/coin/F20250221222644251nxMa4xzrEMZZnd.png,1068,128f589271cb4951b03e71e6323eb7be,86577a25011a4dba9dc9427e084523ef,1740710210000,0,1,False,False,False,INCREASE,False,,,
LTC_USD,LTC_USD永续,LTC_USD PERPETUAL,3,LTC,USD,LTC,USD,1,LTC,10.0,1,200,0,2,0,4,0.01,1,1,5000,0.2,0.2,0.0002,0,0.004,0.005,5000,5000,0,0.004,0.004,1,0.2,['BITSTAMP' 'COINBASE' 'BITFINEX' 'KRAKEN'],0,False,False,False,['mc-trade-zone-pow'],[12],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.01' '0.1' '1' '10'],5000,0,https://public.mocortech.com/coin/F20241213153000670eOXQ5HV3uUywEi.png,84,e9b47a809bd1456fa1d378f0d7db14ec,e9b47a809bd1456fa1d378f0d7db14ec,1611670134000,1733909220000,1,False,False,False,INCREASE,False,,,
