symbol,pip_size,pip_round,pip_price_%,contractId,lastPrice,bid1,ask1,volume24,amount24,holdVol,lower24Price,high24Price,riseFallRate,riseFallValue,indexPrice,fairPrice,fundingRate,maxBidPrice,minAskPrice,timestamp,riseFallRates,riseFallRatesOfTimezone
XLM_USDT,0.00001,5,0.00371,65,0.26942,0.26923,0.26925,2921067,7799688.2386,1394020,0.26167,0.27233,0.0121,0.00323,0.26946,0.26942,-9.7e-05,0.2964,0.24251,1743334332456,"{'zone': 'UTC+8', 'r': 0.0121, 'v': 0.00323, 'r7': -0.0202, 'r30': -0.0607, 'r90': -0.2257, 'r180': 1.6909, 'r365': 0.891}","[0.0132, 0.0089, 0.0121]"
SUI_USDT,0.0001,4,0.00421,397,2.3761,2.3745,2.3746,375261235,877116012.2869,18704690,2.2472,2.4537,0.0363,0.0834,2.3775,2.3761,-5.9e-05,2.853,1.902,1743334332301,"{'zone': 'UTC+8', 'r': 0.0363, 'v': 0.0834, 'r7': 0.0358, 'r30': -0.1675, 'r90': -0.4293, 'r180': 0.362, 'r365': 0.2208}","[0.0043, 0.0293, 0.0363]"
POL_USDT,0.00001,5,0.00489,681,0.20477,0.20467,0.20468,1789781,3614569.7401,2549970,0.1974,0.20687,0.0165,0.00334,0.20486,0.20478,1.8e-05,0.24583,0.16388,1743334332521,"{'zone': 'UTC+8', 'r': 0.0165, 'v': 0.00334, 'r7': -0.0246, 'r30': -0.2653, 'r90': -0.5721, 'r180': -0.4911}","[0.0058, 0.012, 0.0165]"
CAKE_USDT,0.0001,4,0.00499,393,2.0036,2.0025,2.0026,5813448,11618668.6355,2028792,1.9201,2.0596,0.0026,0.0053,2.0048,2.0036,-0.000101,2.4057,1.6038,1743334332390,"{'zone': 'UTC+8', 'r': 0.0026, 'v': 0.0053, 'r7': -0.268, 'r30': -0.0289, 'r90': -0.2258, 'r180': -0.0174, 'r365': -0.567}","[0.0258, 0.0038, 0.0026]"
AVAX_USDT,0.001,3,0.00518,49,19.326,19.318,19.319,68392408,135104004.9738,12404770,19.165,20.308,-0.0328,-0.656,19.341,19.326,-0.000146,23.209,15.472,1743334332323,"{'zone': 'UTC+8', 'r': -0.0328, 'v': -0.656, 'r7': -0.0107, 'r30': -0.1515, 'r90': -0.4713, 'r180': -0.3079, 'r365': -0.6359}","[-0.0287, -0.0133, -0.0328]"
HBAR_USDT,0.00001,5,0.00583,106,0.17173,0.17164,0.17165,334799019,57135291.6074,68398755,0.16643,0.17523,0.0176,0.00298,0.17181,0.17173,2.5e-05,0.20617,0.13744,1743334332344,"{'zone': 'UTC+8', 'r': 0.0176, 'v': 0.00298, 'r7': -0.0628, 'r30': -0.1474, 'r90': -0.3994, 'r180': 1.936, 'r365': 0.49}","[0.0005, -0.0007, 0.0176]"
DOGE_USDT,0.00001,5,0.00589,68,0.16966,0.16966,0.16967,76525125,1299987368.674,3152147,0.16573,0.17258,-0.0005,-9e-05,0.16977,0.16973,-0.000132,0.20372,0.13581,1743334332314,"{'zone': 'UTC+8', 'r': -0.0005, 'v': -9e-05, 'r7': 0.0101, 'r30': -0.1883, 'r90': -0.4692, 'r180': 0.449, 'r365': -0.1877}","[-0.007, 0.0011, -0.0005]"
ETC_USDT,0.001,3,0.00599,15,16.708,16.703,16.704,2733356,4547206.9176,4557482,16.359,16.872,0.0046,0.078,16.71,16.708,1.8e-05,20.052,13.368,1743334332541,"{'zone': 'UTC+8', 'r': 0.0046, 'v': 0.078, 'r7': -0.0662, 'r30': -0.1136, 'r90': -0.359, 'r180': -0.1445, 'r365': -0.5024}","[-0.008, 0.0071, 0.0046]"
AAVE_USDT,0.01,2,0.00606,62,165.21,165.1,165.12,35937749,60790821.2467,5409045,164.28,177.4,-0.038,-6.54,165.35,165.22,-9.2e-05,198.42,132.28,1743334332343,"{'zone': 'UTC+8', 'r': -0.038, 'v': -6.54, 'r7': -0.0806, 'r30': -0.1917, 'r90': -0.505, 'r180': 0.0675, 'r365': 0.2976}","[-0.0661, -0.0164, -0.038]"
LINK_USDT,0.001,3,0.00729,18,13.726,13.725,13.726,163927131,223509673.1107,16433120,13.363,13.855,0.0072,0.099,13.733,13.725,-9.9e-05,16.479,10.986,1743334332333,"{'zone': 'UTC+8', 'r': 0.0072, 'v': 0.099, 'r7': -0.0348, 'r30': -0.1076, 'r90': -0.3597, 'r180': 0.1511, 'r365': -0.2771}","[-0.0028, 0.0137, 0.0072]"
